"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","7.7"
"cpu.usage.average","2014-03-28 13:30:00","8.5"
"cpu.usage.average","2014-03-28 13:00:00","8.68"
"cpu.usage.average","2014-03-28 12:30:00","7.42"
"cpu.usage.average","2014-03-28 12:00:00","7.92"
"cpu.usage.average","2014-03-28 11:30:00","7.91"
"cpu.usage.average","2014-03-28 11:00:00","8.22"
"cpu.usage.average","2014-03-28 10:30:00","8.18"
"cpu.usage.average","2014-03-28 10:00:00","8.38"
"cpu.usage.average","2014-03-28 09:30:00","7.2"
"cpu.usage.average","2014-03-28 09:00:00","0.01"
"cpu.usage.average","2014-03-28 08:30:00","6"
"cpu.usage.average","2014-03-28 08:00:00","4.81"
"cpu.usage.average","2014-03-28 07:30:00","4.77"
"cpu.usage.average","2014-03-28 07:00:00","3.35"
"cpu.usage.average","2014-03-28 06:30:00","2.62"
"cpu.usage.average","2014-03-28 06:00:00","2.16"
"cpu.usage.average","2014-03-28 05:30:00","3.17"
"cpu.usage.average","2014-03-28 05:00:00","2.31"
"cpu.usage.average","2014-03-28 04:30:00","2.26"
"cpu.usage.average","2014-03-28 04:00:00","2.6"
"cpu.usage.average","2014-03-28 03:30:00","1.71"
"cpu.usage.average","2014-03-28 03:00:00","2.37"
"cpu.usage.average","2014-03-28 02:30:00","2.13"
"cpu.usage.average","2014-03-28 02:00:00","2.15"
"cpu.usage.average","2014-03-28 01:30:00","2.09"
"cpu.usage.average","2014-03-28 01:00:00","2.62"
"cpu.usage.average","2014-03-28 00:30:00","2.81"
"cpu.usage.average","2014-03-28 00:00:00","4.15"
"cpu.usage.average","2014-03-27 23:30:00","5.35"
"cpu.usage.average","2014-03-27 23:00:00","5.7"
"cpu.usage.average","2014-03-27 22:30:00","7.35"
"cpu.usage.average","2014-03-27 22:00:00","8.54"
"cpu.usage.average","2014-03-27 21:30:00","10.18"
"cpu.usage.average","2014-03-27 21:00:00","9.95"
"cpu.usage.average","2014-03-27 20:30:00","10.65"
"cpu.usage.average","2014-03-27 20:00:00","10.7"
"cpu.usage.average","2014-03-27 19:30:00","10.33"
"cpu.usage.average","2014-03-27 19:00:00","8.81"
"cpu.usage.average","2014-03-27 18:30:00","8.72"
"cpu.usage.average","2014-03-27 18:00:00","9.33"
"cpu.usage.average","2014-03-27 17:30:00","8.52"
"cpu.usage.average","2014-03-27 17:00:00","9.1"
"cpu.usage.average","2014-03-27 16:30:00","9.58"
"cpu.usage.average","2014-03-27 16:00:00","8.12"
"cpu.usage.average","2014-03-27 15:30:00","9.24"
"cpu.usage.average","2014-03-27 15:00:00","9.49"
"cpu.usage.average","2014-03-27 14:30:00","7.68"
"cpu.usage.average","2014-03-27 14:00:00","8.1"
"cpu.usage.average","2014-03-27 13:30:00","8.44"
"cpu.usage.average","2014-03-27 13:00:00","8.65"
"cpu.usage.average","2014-03-27 12:30:00","10.13"
"cpu.usage.average","2014-03-27 12:00:00","8.4"
"cpu.usage.average","2014-03-27 11:30:00","8.03"
"cpu.usage.average","2014-03-27 11:00:00","8.75"
"cpu.usage.average","2014-03-27 10:30:00","8.28"
"cpu.usage.average","2014-03-27 10:00:00","7.11"
"cpu.usage.average","2014-03-27 09:30:00","7.21"
"cpu.usage.average","2014-03-27 09:00:00","7.36"
"cpu.usage.average","2014-03-27 08:30:00","6.14"
"cpu.usage.average","2014-03-27 08:00:00","4.84"
"cpu.usage.average","2014-03-27 07:30:00","4.49"
"cpu.usage.average","2014-03-27 07:00:00","2.95"
"cpu.usage.average","2014-03-27 06:30:00","1.82"
"cpu.usage.average","2014-03-27 06:00:00","1.31"
"cpu.usage.average","2014-03-27 05:30:00","1.39"
"cpu.usage.average","2014-03-27 05:00:00","1.44"
"cpu.usage.average","2014-03-27 04:30:00","1.54"
"cpu.usage.average","2014-03-27 04:00:00","3.13"
"cpu.usage.average","2014-03-27 03:30:00","1.52"
"cpu.usage.average","2014-03-27 03:00:00","1.85"
"cpu.usage.average","2014-03-27 02:30:00","2.25"
"cpu.usage.average","2014-03-27 02:00:00","1.87"
"cpu.usage.average","2014-03-27 01:30:00","1.89"
"cpu.usage.average","2014-03-27 01:00:00","2.16"
"cpu.usage.average","2014-03-27 00:30:00","2.77"
"cpu.usage.average","2014-03-27 00:00:00","3.23"
"cpu.usage.average","2014-03-26 23:30:00","4.39"
"cpu.usage.average","2014-03-26 23:00:00","6.17"
"cpu.usage.average","2014-03-26 22:30:00","7"
"cpu.usage.average","2014-03-26 22:00:00","8.41"
"cpu.usage.average","2014-03-26 21:30:00","10.22"
"cpu.usage.average","2014-03-26 21:00:00","11.01"
