"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","52.59"
"cpu.usage.average","2014-03-28 13:30:00","57.09"
"cpu.usage.average","2014-03-28 13:00:00","52.7"
"cpu.usage.average","2014-03-28 12:30:00","42.36"
"cpu.usage.average","2014-03-28 12:00:00","40.16"
"cpu.usage.average","2014-03-28 11:30:00","41.29"
"cpu.usage.average","2014-03-28 11:00:00","40.76"
"cpu.usage.average","2014-03-28 10:30:00","43.92"
"cpu.usage.average","2014-03-28 10:00:00","46.18"
"cpu.usage.average","2014-03-28 09:30:00","45.55"
"cpu.usage.average","2014-03-28 09:00:00","50.65"
"cpu.usage.average","2014-03-28 08:30:00","51.8"
"cpu.usage.average","2014-03-28 08:00:00","32.4"
"cpu.usage.average","2014-03-28 07:30:00","15.95"
"cpu.usage.average","2014-03-28 07:00:00","16.18"
"cpu.usage.average","2014-03-28 06:30:00","17.63"
"cpu.usage.average","2014-03-28 06:00:00","19.69"
"cpu.usage.average","2014-03-28 05:30:00","20.55"
"cpu.usage.average","2014-03-28 05:00:00","15.88"
"cpu.usage.average","2014-03-28 04:30:00","16.53"
"cpu.usage.average","2014-03-28 04:00:00","37.98"
"cpu.usage.average","2014-03-28 03:30:00","54.28"
"cpu.usage.average","2014-03-28 03:00:00","53.57"
"cpu.usage.average","2014-03-28 02:30:00","46.09"
"cpu.usage.average","2014-03-28 02:00:00","21.54"
"cpu.usage.average","2014-03-28 01:30:00","32.8"
"cpu.usage.average","2014-03-28 01:00:00","37.55"
"cpu.usage.average","2014-03-28 00:30:00","18.73"
"cpu.usage.average","2014-03-28 00:00:00","16.39"
"cpu.usage.average","2014-03-27 23:30:00","16.69"
"cpu.usage.average","2014-03-27 23:00:00","16.88"
"cpu.usage.average","2014-03-27 22:30:00","22.4"
"cpu.usage.average","2014-03-27 22:00:00","20.55"
"cpu.usage.average","2014-03-27 21:30:00","18.79"
"cpu.usage.average","2014-03-27 21:00:00","17.6"
"cpu.usage.average","2014-03-27 20:30:00","13.75"
"cpu.usage.average","2014-03-27 20:00:00","19.59"
"cpu.usage.average","2014-03-27 19:30:00","24.18"
