"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","21.01"
"cpu.usage.average","2014-03-28 13:30:00","20.86"
"cpu.usage.average","2014-03-28 13:00:00","23.42"
"cpu.usage.average","2014-03-28 12:30:00","25.95"
"cpu.usage.average","2014-03-28 12:00:00","25.8"
"cpu.usage.average","2014-03-28 11:30:00","26.12"
"cpu.usage.average","2014-03-28 11:00:00","25.88"
"cpu.usage.average","2014-03-28 10:30:00","23.19"
"cpu.usage.average","2014-03-28 10:00:00","20.78"
"cpu.usage.average","2014-03-28 09:30:00","20.5"
"cpu.usage.average","2014-03-28 09:00:00","0.01"
"cpu.usage.average","2014-03-28 08:30:00","19.79"
"cpu.usage.average","2014-03-28 08:00:00","19.13"
"cpu.usage.average","2014-03-28 07:30:00","18.97"
"cpu.usage.average","2014-03-28 07:00:00","18.26"
"cpu.usage.average","2014-03-28 06:30:00","18.18"
"cpu.usage.average","2014-03-28 06:00:00","17.87"
"cpu.usage.average","2014-03-28 05:30:00","17.64"
"cpu.usage.average","2014-03-28 05:00:00","17.46"
"cpu.usage.average","2014-03-28 04:30:00","17.71"
"cpu.usage.average","2014-03-28 04:00:00","17.74"
"cpu.usage.average","2014-03-28 03:30:00","18.01"
"cpu.usage.average","2014-03-28 03:00:00","18.41"
"cpu.usage.average","2014-03-28 02:30:00","18.32"
"cpu.usage.average","2014-03-28 02:00:00","19.02"
"cpu.usage.average","2014-03-28 01:30:00","18.51"
"cpu.usage.average","2014-03-28 01:00:00","18.76"
"cpu.usage.average","2014-03-28 00:30:00","19.35"
"cpu.usage.average","2014-03-28 00:00:00","19.54"
"cpu.usage.average","2014-03-27 23:30:00","20.14"
"cpu.usage.average","2014-03-27 23:00:00","20.97"
"cpu.usage.average","2014-03-27 22:30:00","21.76"
"cpu.usage.average","2014-03-27 22:00:00","21.97"
"cpu.usage.average","2014-03-27 21:30:00","22.61"
"cpu.usage.average","2014-03-27 21:00:00","23.06"
"cpu.usage.average","2014-03-27 20:30:00","22.72"
"cpu.usage.average","2014-03-27 20:00:00","22.61"
"cpu.usage.average","2014-03-27 19:30:00","22.85"
"cpu.usage.average","2014-03-27 19:00:00","22.61"
"cpu.usage.average","2014-03-27 18:30:00","22.57"
"cpu.usage.average","2014-03-27 18:00:00","22.54"
"cpu.usage.average","2014-03-27 17:30:00","22.02"
"cpu.usage.average","2014-03-27 17:00:00","22.05"
"cpu.usage.average","2014-03-27 16:30:00","22.07"
"cpu.usage.average","2014-03-27 16:00:00","22.08"
"cpu.usage.average","2014-03-27 15:30:00","22.31"
"cpu.usage.average","2014-03-27 15:00:00","21.66"
"cpu.usage.average","2014-03-27 14:30:00","21.81"
"cpu.usage.average","2014-03-27 14:00:00","21.92"
"cpu.usage.average","2014-03-27 13:30:00","21.79"
"cpu.usage.average","2014-03-27 13:00:00","22.1"
"cpu.usage.average","2014-03-27 12:30:00","23.27"
"cpu.usage.average","2014-03-27 12:00:00","23.82"
"cpu.usage.average","2014-03-27 11:30:00","24.23"
"cpu.usage.average","2014-03-27 11:00:00","24.35"
"cpu.usage.average","2014-03-27 10:30:00","24.13"
"cpu.usage.average","2014-03-27 10:00:00","23.39"
"cpu.usage.average","2014-03-27 09:30:00","23.47"
"cpu.usage.average","2014-03-27 09:00:00","22.81"
"cpu.usage.average","2014-03-27 08:30:00","21.8"
"cpu.usage.average","2014-03-27 08:00:00","20.18"
"cpu.usage.average","2014-03-27 07:30:00","19.78"
"cpu.usage.average","2014-03-27 07:00:00","18.99"
"cpu.usage.average","2014-03-27 06:30:00","18.61"
"cpu.usage.average","2014-03-27 06:00:00","18.23"
"cpu.usage.average","2014-03-27 05:30:00","17.82"
"cpu.usage.average","2014-03-27 05:00:00","17.8"
"cpu.usage.average","2014-03-27 04:30:00","17.65"
"cpu.usage.average","2014-03-27 04:00:00","17.9"
"cpu.usage.average","2014-03-27 03:30:00","17.93"
"cpu.usage.average","2014-03-27 03:00:00","19.8"
"cpu.usage.average","2014-03-27 02:30:00","22.84"
"cpu.usage.average","2014-03-27 02:00:00","23.53"
"cpu.usage.average","2014-03-27 01:30:00","23.41"
"cpu.usage.average","2014-03-27 01:00:00","24.1"
"cpu.usage.average","2014-03-27 00:30:00","24.62"
"cpu.usage.average","2014-03-27 00:00:00","25.39"
"cpu.usage.average","2014-03-26 23:30:00","25.87"
"cpu.usage.average","2014-03-26 23:00:00","26.6"
"cpu.usage.average","2014-03-26 22:30:00","27.99"
"cpu.usage.average","2014-03-26 22:00:00","28.02"
"cpu.usage.average","2014-03-26 21:30:00","30.11"
"cpu.usage.average","2014-03-26 21:00:00","31.05"
"cpu.usage.average","2014-03-26 20:30:00","30.42"
"cpu.usage.average","2014-03-26 20:00:00","29.22"
"cpu.usage.average","2014-03-26 19:30:00","29.03"
"cpu.usage.average","2014-03-26 19:00:00","29.28"
"cpu.usage.average","2014-03-26 18:30:00","29.19"
"cpu.usage.average","2014-03-26 18:00:00","29.3"
"cpu.usage.average","2014-03-26 17:30:00","29.27"
"cpu.usage.average","2014-03-26 17:00:00","28.95"
"cpu.usage.average","2014-03-26 16:30:00","28.59"
"cpu.usage.average","2014-03-26 16:00:00","28.79"
"cpu.usage.average","2014-03-26 15:30:00","28.36"
"mem.active.average","2014-03-28 14:00:00","7723108"
"mem.active.average","2014-03-28 13:30:00","7646678"
"mem.active.average","2014-03-28 13:00:00","8427753"
"mem.active.average","2014-03-28 12:30:00","8671954"
"mem.active.average","2014-03-28 12:00:00","8569427"
"mem.active.average","2014-03-28 11:30:00","8735335"
"mem.active.average","2014-03-28 11:00:00","8662634"
"mem.active.average","2014-03-28 10:30:00","8739063"
"mem.active.average","2014-03-28 10:00:00","8571291"
"mem.active.average","2014-03-28 09:30:00","8576511"
"mem.active.average","2014-03-28 09:00:00","1"
"mem.active.average","2014-03-28 08:30:00","7831601"
"mem.active.average","2014-03-28 08:00:00","7834957"
"mem.active.average","2014-03-28 07:30:00","7866647"
"mem.active.average","2014-03-28 07:00:00","7732429"
"mem.active.average","2014-03-28 06:30:00","8088479"
"mem.active.average","2014-03-28 06:00:00","7842413"
"mem.active.average","2014-03-28 05:30:00","8077294"
"mem.active.average","2014-03-28 05:00:00","7641086"
"mem.active.average","2014-03-28 04:30:00","7732429"
"mem.active.average","2014-03-28 04:00:00","7827500"
"mem.active.average","2014-03-28 03:30:00","7846141"
"mem.active.average","2014-03-28 03:00:00","8356915"
"mem.active.average","2014-03-28 02:30:00","7993408"
"mem.active.average","2014-03-28 02:00:00","8228289"
"mem.active.average","2014-03-28 01:30:00","7506868"
"mem.active.average","2014-03-28 01:00:00","7629901"
"mem.active.average","2014-03-28 00:30:00","8200327"
"mem.active.average","2014-03-28 00:00:00","8123898"
"mem.active.average","2014-03-27 23:30:00","8053060"
"mem.active.average","2014-03-27 23:00:00","8097800"
"mem.active.average","2014-03-27 22:30:00","7918842"
"mem.active.average","2014-03-27 22:00:00","8030691"
"mem.active.average","2014-03-27 21:30:00","7782760"
"mem.active.average","2014-03-27 21:00:00","8097800"
"mem.active.average","2014-03-27 20:30:00","8107120"
"mem.active.average","2014-03-27 20:00:00","7874103"
"mem.active.average","2014-03-27 19:30:00","8073566"
"mem.active.average","2014-03-27 19:00:00","7536695"
"mem.active.average","2014-03-27 18:30:00","7851733"
"mem.active.average","2014-03-27 18:00:00","7866647"
"mem.active.average","2014-03-27 17:30:00","7909522"
"mem.active.average","2014-03-27 17:00:00","8114577"
"mem.active.average","2014-03-27 16:30:00","7846141"
"mem.active.average","2014-03-27 16:00:00","7902065"
"mem.active.average","2014-03-27 15:30:00","7724972"
"mem.active.average","2014-03-27 15:00:00","7721244"
"mem.active.average","2014-03-27 14:30:00","7760391"
"mem.active.average","2014-03-27 14:00:00","8222697"
"mem.active.average","2014-03-27 13:30:00","7861054"
"mem.active.average","2014-03-27 13:00:00","7678369"
"mem.active.average","2014-03-27 12:30:00","8304719"
"mem.active.average","2014-03-27 12:00:00","8086615"
"mem.active.average","2014-03-27 11:30:00","7730565"
"mem.active.average","2014-03-27 11:00:00","7711923"
"mem.active.average","2014-03-27 10:30:00","8356915"
"mem.active.average","2014-03-27 10:00:00","7956126"
"mem.active.average","2014-03-27 09:30:00","7980359"
"mem.active.average","2014-03-27 09:00:00","8401654"
"mem.active.average","2014-03-27 08:30:00","7982224"
"mem.active.average","2014-03-27 08:00:00","7223520"
"mem.active.average","2014-03-27 07:30:00","7626173"
"mem.active.average","2014-03-27 07:00:00","7432303"
"mem.active.average","2014-03-27 06:30:00","7201150"
"mem.active.average","2014-03-27 06:00:00","7516189"
"mem.active.average","2014-03-27 05:30:00","7501276"
"mem.active.average","2014-03-27 05:00:00","7368922"
"mem.active.average","2014-03-27 04:30:00","7434167"
"mem.active.average","2014-03-27 04:00:00","7078117"
"mem.active.average","2014-03-27 03:30:00","7255210"
"mem.active.average","2014-03-27 03:00:00","8459442"
"mem.active.average","2014-03-27 02:30:00","7959854"
"mem.active.average","2014-03-27 02:00:00","8220832"
"mem.active.average","2014-03-27 01:30:00","8040011"
"mem.active.average","2014-03-27 01:00:00","7646678"
"mem.active.average","2014-03-27 00:30:00","8304719"
"mem.active.average","2014-03-27 00:00:00","7728700"
"mem.active.average","2014-03-26 23:30:00","8062381"
"mem.active.average","2014-03-26 23:00:00","8017641"
"mem.active.average","2014-03-26 22:30:00","8168637"
"mem.active.average","2014-03-26 22:00:00","8334545"
"mem.active.average","2014-03-26 21:30:00","8131354"
"mem.active.average","2014-03-26 21:00:00","8358779"
"mem.active.average","2014-03-26 20:30:00","8192871"
"mem.active.average","2014-03-26 20:00:00","8213376"
"mem.active.average","2014-03-26 19:30:00","8012049"
"mem.active.average","2014-03-26 19:00:00","8258115"
"mem.active.average","2014-03-26 18:30:00","7915114"
"mem.active.average","2014-03-26 18:00:00","8107121"
"mem.active.average","2014-03-26 17:30:00","7999001"
"mem.active.average","2014-03-26 17:00:00","8543329"
"mem.active.average","2014-03-26 16:30:00","8442666"
"mem.active.average","2014-03-26 16:00:00","8796850"
"mem.active.average","2014-03-26 15:30:00","8280485"
"disk.read.average","2014-03-28 14:00:00","1"
"disk.read.average","2014-03-28 13:30:00","37"
"disk.read.average","2014-03-28 13:00:00","1"
"disk.read.average","2014-03-28 12:30:00","0"
"disk.read.average","2014-03-28 12:00:00","0"
"disk.read.average","2014-03-28 11:30:00","0"
"disk.read.average","2014-03-28 11:00:00","0"
"disk.read.average","2014-03-28 10:30:00","1"
"disk.read.average","2014-03-28 10:00:00","31"
"disk.read.average","2014-03-28 09:30:00","28"
"disk.read.average","2014-03-28 09:00:00","1"
"disk.read.average","2014-03-28 08:30:00","0"
"disk.read.average","2014-03-28 08:00:00","1"
"disk.read.average","2014-03-28 07:30:00","0"
"disk.read.average","2014-03-28 07:00:00","5"
"disk.read.average","2014-03-28 06:30:00","28"
"disk.read.average","2014-03-28 06:00:00","0"
"disk.read.average","2014-03-28 05:30:00","0"
"disk.read.average","2014-03-28 05:00:00","0"
"disk.read.average","2014-03-28 04:30:00","2"
"disk.read.average","2014-03-28 04:00:00","0"
"disk.read.average","2014-03-28 03:30:00","0"
"disk.read.average","2014-03-28 03:00:00","33"
"disk.read.average","2014-03-28 02:30:00","0"
"disk.read.average","2014-03-28 02:00:00","56"
"disk.read.average","2014-03-28 01:30:00","0"
"disk.read.average","2014-03-28 01:00:00","0"
"disk.read.average","2014-03-28 00:30:00","1"
"disk.read.average","2014-03-28 00:00:00","0"
"disk.read.average","2014-03-27 23:30:00","6"
"disk.read.average","2014-03-27 23:00:00","172"
"disk.read.average","2014-03-27 22:30:00","0"
"disk.read.average","2014-03-27 22:00:00","2"
"disk.read.average","2014-03-27 21:30:00","0"
"disk.read.average","2014-03-27 21:00:00","23"
"disk.read.average","2014-03-27 20:30:00","0"
"disk.read.average","2014-03-27 20:00:00","6"
"disk.read.average","2014-03-27 19:30:00","169"
"disk.read.average","2014-03-27 19:00:00","1"
"disk.read.average","2014-03-27 18:30:00","0"
"disk.read.average","2014-03-27 18:00:00","0"
"disk.read.average","2014-03-27 17:30:00","0"
"disk.read.average","2014-03-27 17:00:00","6"
"disk.read.average","2014-03-27 16:30:00","12"
"disk.read.average","2014-03-27 16:00:00","181"
"disk.read.average","2014-03-27 15:30:00","0"
"disk.read.average","2014-03-27 15:00:00","0"
"disk.read.average","2014-03-27 14:30:00","0"
