"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","2.84"
"cpu.usage.average","2014-03-28 14:00:00","2.91"
"cpu.usage.average","2014-03-28 13:30:00","2.89"
"cpu.usage.average","2014-03-28 13:00:00","3.1"
"cpu.usage.average","2014-03-28 12:30:00","3.1"
"cpu.usage.average","2014-03-28 12:00:00","3.01"
"cpu.usage.average","2014-03-28 11:30:00","2.77"
"cpu.usage.average","2014-03-28 11:00:00","2.82"
"cpu.usage.average","2014-03-28 10:30:00","2.77"
"cpu.usage.average","2014-03-28 10:00:00","3.73"
"cpu.usage.average","2014-03-28 09:30:00","2.78"
"cpu.usage.average","2014-03-28 09:00:00","2.87"
"cpu.usage.average","2014-03-28 08:30:00","2.67"
"cpu.usage.average","2014-03-28 08:00:00","2.63"
"cpu.usage.average","2014-03-28 07:30:00","2.32"
"cpu.usage.average","2014-03-28 07:00:00","2.1"
"cpu.usage.average","2014-03-28 06:30:00","2.04"
"cpu.usage.average","2014-03-28 06:00:00","1.89"
"cpu.usage.average","2014-03-28 05:30:00","1.79"
"cpu.usage.average","2014-03-28 05:00:00","1.83"
"cpu.usage.average","2014-03-28 04:30:00","1.73"
"cpu.usage.average","2014-03-28 04:00:00","1.83"
"cpu.usage.average","2014-03-28 03:30:00","1.82"
"cpu.usage.average","2014-03-28 03:00:00","2.07"
"cpu.usage.average","2014-03-28 02:30:00","1.97"
"cpu.usage.average","2014-03-28 02:00:00","2.1"
"cpu.usage.average","2014-03-28 01:30:00","2.02"
"cpu.usage.average","2014-03-28 01:00:00","2.11"
"cpu.usage.average","2014-03-28 00:30:00","2.57"
"cpu.usage.average","2014-03-28 00:00:00","2.59"
"cpu.usage.average","2014-03-27 23:30:00","2.95"
"cpu.usage.average","2014-03-27 23:00:00","3.42"
"cpu.usage.average","2014-03-27 22:30:00","3.52"
"cpu.usage.average","2014-03-27 22:00:00","3.92"
"cpu.usage.average","2014-03-27 21:30:00","4.06"
"cpu.usage.average","2014-03-27 21:00:00","3.91"
"cpu.usage.average","2014-03-27 20:30:00","4.27"
"cpu.usage.average","2014-03-27 20:00:00","4.16"
"cpu.usage.average","2014-03-27 19:30:00","4.19"
"cpu.usage.average","2014-03-27 19:00:00","3.84"
"cpu.usage.average","2014-03-27 18:30:00","3.91"
"cpu.usage.average","2014-03-27 18:00:00","4.28"
"cpu.usage.average","2014-03-27 17:30:00","4.42"
"cpu.usage.average","2014-03-27 17:00:00","4.48"
"cpu.usage.average","2014-03-27 16:30:00","4.91"
"cpu.usage.average","2014-03-27 16:00:00","6.2"
"cpu.usage.average","2014-03-27 15:30:00","6.47"
"cpu.usage.average","2014-03-27 15:00:00","6.42"
"cpu.usage.average","2014-03-27 14:30:00","8.03"
"cpu.usage.average","2014-03-27 14:00:00","10.93"
"cpu.usage.average","2014-03-27 13:30:00","9.65"
"cpu.usage.average","2014-03-27 13:00:00","5"
"cpu.usage.average","2014-03-27 12:30:00","2.64"
"cpu.usage.average","2014-03-27 12:00:00","2.42"
