"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","2.85"
"cpu.usage.average","2014-03-28 13:30:00","3.6"
"cpu.usage.average","2014-03-28 13:00:00","3.04"
"cpu.usage.average","2014-03-28 12:30:00","2.5"
"cpu.usage.average","2014-03-28 12:00:00","2.37"
"cpu.usage.average","2014-03-28 11:30:00","2.34"
"cpu.usage.average","2014-03-28 11:00:00","2.48"
"cpu.usage.average","2014-03-28 10:30:00","16.82"
"cpu.usage.average","2014-03-28 10:00:00","27.11"
"cpu.usage.average","2014-03-28 09:30:00","23.79"
"cpu.usage.average","2014-03-28 09:00:00","17.74"
"cpu.usage.average","2014-03-28 08:30:00","2.11"
"cpu.usage.average","2014-03-28 08:00:00","1.89"
"cpu.usage.average","2014-03-28 07:30:00","1.86"
"cpu.usage.average","2014-03-28 07:00:00","1.9"
"cpu.usage.average","2014-03-28 06:30:00","5.7"
"cpu.usage.average","2014-03-28 06:00:00","1.89"
"cpu.usage.average","2014-03-28 05:30:00","1.89"
"cpu.usage.average","2014-03-28 05:00:00","12.15"
"cpu.usage.average","2014-03-28 04:30:00","2.04"
"cpu.usage.average","2014-03-28 04:00:00","1.91"
"cpu.usage.average","2014-03-28 03:30:00","1.91"
"cpu.usage.average","2014-03-28 03:00:00","1.88"
"cpu.usage.average","2014-03-28 02:30:00","1.92"
"cpu.usage.average","2014-03-28 02:00:00","1.88"
"cpu.usage.average","2014-03-28 01:30:00","5.41"
"cpu.usage.average","2014-03-28 01:00:00","13.12"
"cpu.usage.average","2014-03-28 00:30:00","24.7"
"cpu.usage.average","2014-03-28 00:00:00","29.71"
"cpu.usage.average","2014-03-27 23:30:00","50.66"
"cpu.usage.average","2014-03-27 23:00:00","59.48"
"cpu.usage.average","2014-03-27 22:30:00","44.8"
"cpu.usage.average","2014-03-27 22:00:00","1.93"
"cpu.usage.average","2014-03-27 21:30:00","2.08"
"cpu.usage.average","2014-03-27 21:00:00","1.95"
"cpu.usage.average","2014-03-27 20:30:00","1.91"
"cpu.usage.average","2014-03-27 20:00:00","1.92"
"cpu.usage.average","2014-03-27 19:30:00","1.93"
"cpu.usage.average","2014-03-27 19:00:00","2.08"
"cpu.usage.average","2014-03-27 18:30:00","2.11"
"cpu.usage.average","2014-03-27 18:00:00","1.98"
"cpu.usage.average","2014-03-27 17:30:00","1.93"
"cpu.usage.average","2014-03-27 17:00:00","2.39"
"cpu.usage.average","2014-03-27 16:30:00","1.93"
"cpu.usage.average","2014-03-27 16:00:00","1.99"
"cpu.usage.average","2014-03-27 15:30:00","1.96"
"cpu.usage.average","2014-03-27 15:00:00","1.94"
"cpu.usage.average","2014-03-27 14:30:00","2.07"
"cpu.usage.average","2014-03-27 14:00:00","1.96"
"cpu.usage.average","2014-03-27 13:30:00","1.96"
"cpu.usage.average","2014-03-27 13:00:00","1.91"
"cpu.usage.average","2014-03-27 12:30:00","1.92"
"cpu.usage.average","2014-03-27 12:00:00","1.93"
"cpu.usage.average","2014-03-27 11:30:00","1.9"
"cpu.usage.average","2014-03-27 11:00:00","2.1"
"cpu.usage.average","2014-03-27 10:30:00","16.32"
"cpu.usage.average","2014-03-27 10:00:00","26.94"
"cpu.usage.average","2014-03-27 09:30:00","23.55"
"cpu.usage.average","2014-03-27 09:00:00","20.46"
"cpu.usage.average","2014-03-27 08:30:00","1.9"
"cpu.usage.average","2014-03-27 08:00:00","1.91"
"cpu.usage.average","2014-03-27 07:30:00","2.05"
"cpu.usage.average","2014-03-27 07:00:00","1.9"
"cpu.usage.average","2014-03-27 06:30:00","5.75"
"cpu.usage.average","2014-03-27 06:00:00","1.89"
"cpu.usage.average","2014-03-27 05:30:00","1.89"
"cpu.usage.average","2014-03-27 05:00:00","11.89"
"cpu.usage.average","2014-03-27 04:30:00","1.89"
"cpu.usage.average","2014-03-27 04:00:00","2.02"
"cpu.usage.average","2014-03-27 03:30:00","1.92"
"cpu.usage.average","2014-03-27 03:00:00","1.94"
"cpu.usage.average","2014-03-27 02:30:00","1.91"
"cpu.usage.average","2014-03-27 02:00:00","1.92"
"cpu.usage.average","2014-03-27 01:30:00","5.78"
"cpu.usage.average","2014-03-27 01:00:00","14.12"
"cpu.usage.average","2014-03-27 00:30:00","25.19"
"cpu.usage.average","2014-03-27 00:00:00","30.64"
"cpu.usage.average","2014-03-26 23:30:00","51.9"
"cpu.usage.average","2014-03-26 23:00:00","58.79"
"cpu.usage.average","2014-03-26 22:30:00","41.99"
"cpu.usage.average","2014-03-26 22:00:00","2"
