"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","7.46"
"cpu.usage.average","2014-03-28 14:00:00","7.59"
"cpu.usage.average","2014-03-28 13:30:00","7.37"
"cpu.usage.average","2014-03-28 13:00:00","7.29"
"cpu.usage.average","2014-03-28 12:30:00","7.43"
"cpu.usage.average","2014-03-28 12:00:00","7.29"
"cpu.usage.average","2014-03-28 11:30:00","7.21"
"cpu.usage.average","2014-03-28 11:00:00","7.34"
"cpu.usage.average","2014-03-28 10:30:00","7.37"
"cpu.usage.average","2014-03-28 10:00:00","7.24"
"cpu.usage.average","2014-03-28 09:30:00","7.49"
"cpu.usage.average","2014-03-28 09:00:00","7.65"
"cpu.usage.average","2014-03-28 08:30:00","7.05"
"cpu.usage.average","2014-03-28 08:00:00","6.98"
"cpu.usage.average","2014-03-28 07:30:00","6.96"
"cpu.usage.average","2014-03-28 07:00:00","6.76"
"cpu.usage.average","2014-03-28 06:30:00","6.74"
"cpu.usage.average","2014-03-28 06:00:00","7.01"
"cpu.usage.average","2014-03-28 05:30:00","6.91"
"cpu.usage.average","2014-03-28 05:00:00","6.77"
"cpu.usage.average","2014-03-28 04:30:00","6.82"
"cpu.usage.average","2014-03-28 04:00:00","8.31"
"cpu.usage.average","2014-03-28 03:30:00","6.5"
"cpu.usage.average","2014-03-28 03:00:00","6.34"
"cpu.usage.average","2014-03-28 02:30:00","6.76"
"cpu.usage.average","2014-03-28 02:00:00","6.71"
"cpu.usage.average","2014-03-28 01:30:00","6.73"
"cpu.usage.average","2014-03-28 01:00:00","6.75"
"cpu.usage.average","2014-03-28 00:30:00","6.85"
"cpu.usage.average","2014-03-28 00:00:00","6.87"
"cpu.usage.average","2014-03-27 23:30:00","7.18"
"cpu.usage.average","2014-03-27 23:00:00","7.11"
"cpu.usage.average","2014-03-27 22:30:00","7.41"
"cpu.usage.average","2014-03-27 22:00:00","7.41"
"cpu.usage.average","2014-03-27 21:30:00","7.43"
"cpu.usage.average","2014-03-27 21:00:00","7.44"
"cpu.usage.average","2014-03-27 20:30:00","7.74"
"cpu.usage.average","2014-03-27 20:00:00","7.6"
"cpu.usage.average","2014-03-27 19:30:00","7.9"
"cpu.usage.average","2014-03-27 19:00:00","7.42"
"cpu.usage.average","2014-03-27 18:30:00","7.54"
"cpu.usage.average","2014-03-27 18:00:00","7.35"
"cpu.usage.average","2014-03-27 17:30:00","7.31"
"cpu.usage.average","2014-03-27 17:00:00","7.37"
"cpu.usage.average","2014-03-27 16:30:00","7.48"
"cpu.usage.average","2014-03-27 16:00:00","7.34"
"cpu.usage.average","2014-03-27 15:30:00","7.55"
"cpu.usage.average","2014-03-27 15:00:00","7.39"
"cpu.usage.average","2014-03-27 14:30:00","7.59"
"cpu.usage.average","2014-03-27 14:00:00","7.45"
"cpu.usage.average","2014-03-27 13:30:00","7.49"
"cpu.usage.average","2014-03-27 13:00:00","7.56"
"cpu.usage.average","2014-03-27 12:30:00","7.6"
"cpu.usage.average","2014-03-27 12:00:00","7.56"
"cpu.usage.average","2014-03-27 11:30:00","7.54"
"cpu.usage.average","2014-03-27 11:00:00","7.53"
"cpu.usage.average","2014-03-27 10:30:00","7.47"
"cpu.usage.average","2014-03-27 10:00:00","7.44"
"cpu.usage.average","2014-03-27 09:30:00","7.26"
"cpu.usage.average","2014-03-27 09:00:00","7.12"
"cpu.usage.average","2014-03-27 08:30:00","6.87"
"cpu.usage.average","2014-03-27 08:00:00","6.94"
"cpu.usage.average","2014-03-27 07:30:00","6.94"
"cpu.usage.average","2014-03-27 07:00:00","6.89"
"cpu.usage.average","2014-03-27 06:30:00","6.58"
"cpu.usage.average","2014-03-27 06:00:00","6.95"
"cpu.usage.average","2014-03-27 05:30:00","6.48"
"cpu.usage.average","2014-03-27 05:00:00","6.78"
"cpu.usage.average","2014-03-27 04:30:00","6.76"
"cpu.usage.average","2014-03-27 04:00:00","8.33"
"cpu.usage.average","2014-03-27 03:30:00","6.52"
"cpu.usage.average","2014-03-27 03:00:00","6.43"
"cpu.usage.average","2014-03-27 02:30:00","6.79"
"cpu.usage.average","2014-03-27 02:00:00","6.99"
"cpu.usage.average","2014-03-27 01:30:00","6.89"
"cpu.usage.average","2014-03-27 01:00:00","6.88"
"cpu.usage.average","2014-03-27 00:30:00","6.77"
"cpu.usage.average","2014-03-27 00:00:00","6.94"
"cpu.usage.average","2014-03-26 23:30:00","6.97"
"cpu.usage.average","2014-03-26 23:00:00","7.18"
"cpu.usage.average","2014-03-26 22:30:00","7.15"
"cpu.usage.average","2014-03-26 22:00:00","7.51"
"cpu.usage.average","2014-03-26 21:30:00","7.56"
"cpu.usage.average","2014-03-26 21:00:00","7.81"
"cpu.usage.average","2014-03-26 20:30:00","7.53"
"cpu.usage.average","2014-03-26 20:00:00","7.64"
"cpu.usage.average","2014-03-26 19:30:00","7.57"
"cpu.usage.average","2014-03-26 19:00:00","7.48"
"cpu.usage.average","2014-03-26 18:30:00","7.75"
"cpu.usage.average","2014-03-26 18:00:00","7.62"
"cpu.usage.average","2014-03-26 17:30:00","7.59"
"cpu.usage.average","2014-03-26 17:00:00","7.7"
"cpu.usage.average","2014-03-26 16:30:00","7.7"
"cpu.usage.average","2014-03-26 16:00:00","7.81"
"mem.active.average","2014-03-28 14:30:00","725146"
"mem.active.average","2014-03-28 14:00:00","716291"
"mem.active.average","2014-03-28 13:30:00","699048"
"mem.active.average","2014-03-28 13:00:00","730738"
"mem.active.average","2014-03-28 12:30:00","801109"
"mem.active.average","2014-03-28 12:00:00","689727"
"mem.active.average","2014-03-28 11:30:00","759632"
"mem.active.average","2014-03-28 11:00:00","795982"
"mem.active.average","2014-03-28 10:30:00","787128"
"mem.active.average","2014-03-28 10:00:00","746583"
"mem.active.average","2014-03-28 09:30:00","849111"
"mem.active.average","2014-03-28 09:00:00","866821"
"mem.active.average","2014-03-28 08:30:00","685999"
"mem.active.average","2014-03-28 08:00:00","774545"
"mem.active.average","2014-03-28 07:30:00","666891"
"mem.active.average","2014-03-28 07:00:00","687863"
"mem.active.average","2014-03-28 06:30:00","708834"
"mem.active.average","2014-03-28 06:00:00","732136"
