"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","31.94"
"cpu.usage.average","2014-03-28 13:30:00","30.98"
"cpu.usage.average","2014-03-28 13:00:00","30.41"
"cpu.usage.average","2014-03-28 12:30:00","30.79"
"cpu.usage.average","2014-03-28 12:00:00","28.87"
"cpu.usage.average","2014-03-28 11:30:00","27.42"
"cpu.usage.average","2014-03-28 11:00:00","26.41"
"cpu.usage.average","2014-03-28 10:30:00","26.09"
"cpu.usage.average","2014-03-28 10:00:00","25.21"
"cpu.usage.average","2014-03-28 09:30:00","25.54"
"cpu.usage.average","2014-03-28 09:00:00","0.01"
"cpu.usage.average","2014-03-28 08:30:00","23.51"
"cpu.usage.average","2014-03-28 08:00:00","21.91"
"cpu.usage.average","2014-03-28 07:30:00","21.59"
"cpu.usage.average","2014-03-28 07:00:00","20.19"
"cpu.usage.average","2014-03-28 06:30:00","15.89"
"cpu.usage.average","2014-03-28 06:00:00","11.1"
"cpu.usage.average","2014-03-28 05:30:00","7.89"
"cpu.usage.average","2014-03-28 05:00:00","6.91"
"cpu.usage.average","2014-03-28 04:30:00","6.34"
"cpu.usage.average","2014-03-28 04:00:00","6.54"
"cpu.usage.average","2014-03-28 03:30:00","8.5"
"cpu.usage.average","2014-03-28 03:00:00","8.43"
"cpu.usage.average","2014-03-28 02:30:00","10.29"
"cpu.usage.average","2014-03-28 02:00:00","13.37"
"cpu.usage.average","2014-03-28 01:30:00","16.67"
"cpu.usage.average","2014-03-28 01:00:00","22.26"
"cpu.usage.average","2014-03-28 00:30:00","28.71"
"cpu.usage.average","2014-03-28 00:00:00","36.61"
"cpu.usage.average","2014-03-27 23:30:00","46.21"
"cpu.usage.average","2014-03-27 23:00:00","55.51"
"cpu.usage.average","2014-03-27 22:30:00","63.63"
"cpu.usage.average","2014-03-27 22:00:00","68.6"
"cpu.usage.average","2014-03-27 21:30:00","70.06"
"cpu.usage.average","2014-03-27 21:00:00","70.06"
"cpu.usage.average","2014-03-27 20:30:00","65.31"
"cpu.usage.average","2014-03-27 20:00:00","59.62"
"cpu.usage.average","2014-03-27 19:30:00","54.24"
"cpu.usage.average","2014-03-27 19:00:00","51.17"
"cpu.usage.average","2014-03-27 18:30:00","48.3"
"cpu.usage.average","2014-03-27 18:00:00","44.14"
"cpu.usage.average","2014-03-27 17:30:00","40.76"
"cpu.usage.average","2014-03-27 17:00:00","37.81"
"cpu.usage.average","2014-03-27 16:30:00","35.79"
"cpu.usage.average","2014-03-27 16:00:00","33.61"
"cpu.usage.average","2014-03-27 15:30:00","32.28"
"cpu.usage.average","2014-03-27 15:00:00","30.64"
"cpu.usage.average","2014-03-27 14:30:00","30.34"
"cpu.usage.average","2014-03-27 14:00:00","30.85"
"cpu.usage.average","2014-03-27 13:30:00","30.43"
"cpu.usage.average","2014-03-27 13:00:00","30.59"
"cpu.usage.average","2014-03-27 12:30:00","32.98"
"cpu.usage.average","2014-03-27 12:00:00","30.13"
"cpu.usage.average","2014-03-27 11:30:00","28.07"
