"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","0.97"
"cpu.usage.average","2014-03-28 13:30:00","1"
"cpu.usage.average","2014-03-28 13:00:00","0.95"
"cpu.usage.average","2014-03-28 12:30:00","0.96"
"cpu.usage.average","2014-03-28 12:00:00","0.95"
"cpu.usage.average","2014-03-28 11:30:00","0.94"
"cpu.usage.average","2014-03-28 11:00:00","1.08"
"cpu.usage.average","2014-03-28 10:30:00","0.96"
"cpu.usage.average","2014-03-28 10:00:00","0.93"
"cpu.usage.average","2014-03-28 09:30:00","0.95"
"cpu.usage.average","2014-03-28 09:00:00","0.42"
"cpu.usage.average","2014-03-28 08:30:00","1.05"
"cpu.usage.average","2014-03-28 08:00:00","0.94"
"cpu.usage.average","2014-03-28 07:30:00","1.68"
"cpu.usage.average","2014-03-28 07:00:00","1.13"
"cpu.usage.average","2014-03-28 06:30:00","0.39"
"cpu.usage.average","2014-03-28 06:00:00","0.4"
"cpu.usage.average","2014-03-28 05:30:00","0.94"
"cpu.usage.average","2014-03-28 05:00:00","0.97"
"cpu.usage.average","2014-03-28 04:30:00","0.94"
"cpu.usage.average","2014-03-28 04:00:00","0.94"
"cpu.usage.average","2014-03-28 03:30:00","1.04"
"cpu.usage.average","2014-03-28 03:00:00","1.07"
"cpu.usage.average","2014-03-28 02:30:00","0.95"
"cpu.usage.average","2014-03-28 02:00:00","0.94"
"cpu.usage.average","2014-03-28 01:30:00","0.94"
"cpu.usage.average","2014-03-28 01:00:00","1.11"
"cpu.usage.average","2014-03-28 00:30:00","0.94"
"cpu.usage.average","2014-03-28 00:00:00","0.94"
"cpu.usage.average","2014-03-27 23:30:00","0.92"
"cpu.usage.average","2014-03-27 23:00:00","1.04"
"cpu.usage.average","2014-03-27 22:30:00","0.92"
"cpu.usage.average","2014-03-27 22:00:00","0.99"
"cpu.usage.average","2014-03-27 21:30:00","0.95"
"cpu.usage.average","2014-03-27 21:00:00","0.94"
"cpu.usage.average","2014-03-27 20:30:00","0.95"
"cpu.usage.average","2014-03-27 20:00:00","0.94"
"cpu.usage.average","2014-03-27 19:30:00","0.93"
"cpu.usage.average","2014-03-27 19:00:00","1.03"
"cpu.usage.average","2014-03-27 18:30:00","0.91"
"cpu.usage.average","2014-03-27 18:00:00","0.91"
"cpu.usage.average","2014-03-27 17:30:00","0.96"
"cpu.usage.average","2014-03-27 17:00:00","0.94"
"cpu.usage.average","2014-03-27 16:30:00","0.98"
"cpu.usage.average","2014-03-27 16:00:00","0.97"
"cpu.usage.average","2014-03-27 15:30:00","0.97"
"cpu.usage.average","2014-03-27 15:00:00","1.09"
"cpu.usage.average","2014-03-27 14:30:00","0.96"
"cpu.usage.average","2014-03-27 14:00:00","0.97"
"cpu.usage.average","2014-03-27 13:30:00","0.98"
"cpu.usage.average","2014-03-27 13:00:00","0.96"
"cpu.usage.average","2014-03-27 12:30:00","0.94"
"cpu.usage.average","2014-03-27 12:00:00","0.94"
"cpu.usage.average","2014-03-27 11:30:00","0.93"
"cpu.usage.average","2014-03-27 11:00:00","1.35"
"cpu.usage.average","2014-03-27 10:30:00","0.72"
"cpu.usage.average","2014-03-27 10:00:00","0.95"
"cpu.usage.average","2014-03-27 09:30:00","0.97"
"cpu.usage.average","2014-03-27 09:00:00","1.01"
"cpu.usage.average","2014-03-27 08:30:00","0.98"
"cpu.usage.average","2014-03-27 08:00:00","0.98"
"cpu.usage.average","2014-03-27 07:30:00","1.6"
"cpu.usage.average","2014-03-27 07:00:00","1.65"
"cpu.usage.average","2014-03-27 06:30:00","0.81"
"cpu.usage.average","2014-03-27 06:00:00","1"
"cpu.usage.average","2014-03-27 05:30:00","0.93"
"cpu.usage.average","2014-03-27 05:00:00","1"
"cpu.usage.average","2014-03-27 04:30:00","0.96"
"cpu.usage.average","2014-03-27 04:00:00","0.94"
"cpu.usage.average","2014-03-27 03:30:00","0.93"
"cpu.usage.average","2014-03-27 03:00:00","1.15"
"cpu.usage.average","2014-03-27 02:30:00","0.99"
"cpu.usage.average","2014-03-27 02:00:00","0.95"
"cpu.usage.average","2014-03-27 01:30:00","0.93"
"cpu.usage.average","2014-03-27 01:00:00","1.12"
"cpu.usage.average","2014-03-27 00:30:00","0.96"
"cpu.usage.average","2014-03-27 00:00:00","0.97"
"cpu.usage.average","2014-03-26 23:30:00","0.93"
"cpu.usage.average","2014-03-26 23:00:00","1.05"
"cpu.usage.average","2014-03-26 22:30:00","0.95"
"cpu.usage.average","2014-03-26 22:00:00","0.95"
"cpu.usage.average","2014-03-26 21:30:00","0.95"
"cpu.usage.average","2014-03-26 21:00:00","0.92"
"cpu.usage.average","2014-03-26 20:30:00","0.96"
"cpu.usage.average","2014-03-26 20:00:00","0.94"
"cpu.usage.average","2014-03-26 19:30:00","0.93"
"cpu.usage.average","2014-03-26 19:00:00","1.03"
"cpu.usage.average","2014-03-26 18:30:00","0.9"
"cpu.usage.average","2014-03-26 18:00:00","0.94"
"cpu.usage.average","2014-03-26 17:30:00","0.91"
"cpu.usage.average","2014-03-26 17:00:00","0.93"
"cpu.usage.average","2014-03-26 16:30:00","0.95"
"cpu.usage.average","2014-03-26 16:00:00","0.95"
"cpu.usage.average","2014-03-26 15:30:00","0.97"
"mem.active.average","2014-03-28 14:00:00","1440974"
"mem.active.average","2014-03-28 13:30:00","1406487"
"mem.active.average","2014-03-28 13:00:00","1447964"
"mem.active.average","2014-03-28 12:30:00","1392040"
"mem.active.average","2014-03-28 12:00:00","1431653"
"mem.active.average","2014-03-28 11:30:00","1396701"
"mem.active.average","2014-03-28 11:00:00","1499694"
"mem.active.average","2014-03-28 10:30:00","1490373"
"mem.active.average","2014-03-28 10:00:00","1453556"
"mem.active.average","2014-03-28 09:30:00","1484781"
"mem.active.average","2014-03-28 09:00:00","1317009"
"mem.active.average","2014-03-28 08:30:00","1507151"
"mem.active.average","2014-03-28 08:00:00","1447964"
"mem.active.average","2014-03-28 07:30:00","1384118"
"mem.active.average","2014-03-28 07:00:00","1486179"
"mem.active.average","2014-03-28 06:30:00","1327262"
"mem.active.average","2014-03-28 06:00:00","1402293"
"mem.active.average","2014-03-28 05:30:00","1387846"
"mem.active.average","2014-03-28 05:00:00","1408352"
"mem.active.average","2014-03-28 04:30:00","1323533"
"mem.active.average","2014-03-28 04:00:00","1427458"
"mem.active.average","2014-03-28 03:30:00","1212617"
"mem.active.average","2014-03-28 03:00:00","1030398"
"mem.active.average","2014-03-28 02:30:00","1438178"
"mem.active.average","2014-03-28 02:00:00","1393438"
"mem.active.average","2014-03-28 01:30:00","1431653"
"mem.active.average","2014-03-28 01:00:00","1473596"
"mem.active.average","2014-03-28 00:30:00","1405555"
"mem.active.average","2014-03-28 00:00:00","1424197"
"mem.active.average","2014-03-27 23:30:00","1468936"
"mem.active.average","2014-03-27 23:00:00","1419536"
"mem.active.average","2014-03-27 22:30:00","1460081"
"mem.active.average","2014-03-27 22:00:00","1437245"
"mem.active.average","2014-03-27 21:30:00","1472198"
"mem.active.average","2014-03-27 21:00:00","1399963"
"mem.active.average","2014-03-27 20:30:00","1392506"
"mem.active.average","2014-03-27 20:00:00","1506218"
"mem.active.average","2014-03-27 19:30:00","1455421"
"mem.active.average","2014-03-27 19:00:00","1516471"
"mem.active.average","2014-03-27 18:30:00","1481984"
"mem.active.average","2014-03-27 18:00:00","1509947"
"mem.active.average","2014-03-27 17:30:00","1532782"
"mem.active.average","2014-03-27 17:00:00","1465207"
"mem.active.average","2014-03-27 16:30:00","1408351"
"mem.active.average","2014-03-27 16:00:00","1457751"
"mem.active.average","2014-03-27 15:30:00","1448431"
"mem.active.average","2014-03-27 15:00:00","1490839"
"mem.active.average","2014-03-27 14:30:00","1431653"
"mem.active.average","2014-03-27 14:00:00","1420002"
"mem.active.average","2014-03-27 13:30:00","1430721"
"mem.active.average","2014-03-27 13:00:00","1420002"
"mem.active.average","2014-03-27 12:30:00","1456353"
"mem.active.average","2014-03-27 12:00:00","1405555"
"mem.active.average","2014-03-27 11:30:00","1375263"
"mem.active.average","2014-03-27 11:00:00","1516471"
"mem.active.average","2014-03-27 10:30:00","1550958"
"mem.active.average","2014-03-27 10:00:00","1439576"
"mem.active.average","2014-03-27 09:30:00","1422332"
"mem.active.average","2014-03-27 09:00:00","1432585"
"mem.active.average","2014-03-27 08:30:00","1417672"
"mem.active.average","2014-03-27 08:00:00","1446100"
