"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","5.1"
"cpu.usage.average","2014-03-28 14:00:00","4.67"
"cpu.usage.average","2014-03-28 13:30:00","4.05"
"cpu.usage.average","2014-03-28 13:00:00","5.49"
"cpu.usage.average","2014-03-28 12:30:00","5.49"
"cpu.usage.average","2014-03-28 12:00:00","5.65"
"cpu.usage.average","2014-03-28 11:30:00","5.01"
"cpu.usage.average","2014-03-28 11:00:00","4.69"
"cpu.usage.average","2014-03-28 10:30:00","5.01"
"cpu.usage.average","2014-03-28 10:00:00","4.68"
"cpu.usage.average","2014-03-28 09:30:00","4.11"
"cpu.usage.average","2014-03-28 09:00:00","3.1"
"cpu.usage.average","2014-03-28 08:30:00","3.68"
"cpu.usage.average","2014-03-28 08:00:00","3.41"
"cpu.usage.average","2014-03-28 07:30:00","3.03"
"cpu.usage.average","2014-03-28 07:00:00","2.44"
"cpu.usage.average","2014-03-28 06:30:00","1.71"
"cpu.usage.average","2014-03-28 06:00:00","1.16"
"cpu.usage.average","2014-03-28 05:30:00","1.21"
"cpu.usage.average","2014-03-28 05:00:00","1.45"
"cpu.usage.average","2014-03-28 04:30:00","1.05"
"cpu.usage.average","2014-03-28 04:00:00","1.04"
"cpu.usage.average","2014-03-28 03:30:00","2.13"
"cpu.usage.average","2014-03-28 03:00:00","0.93"
"cpu.usage.average","2014-03-28 02:30:00","1.05"
"cpu.usage.average","2014-03-28 02:00:00","1.1"
"cpu.usage.average","2014-03-28 01:30:00","1.4"
"cpu.usage.average","2014-03-28 01:00:00","1.75"
"cpu.usage.average","2014-03-28 00:30:00","1.84"
"cpu.usage.average","2014-03-28 00:00:00","2.71"
"cpu.usage.average","2014-03-27 23:30:00","3.38"
"cpu.usage.average","2014-03-27 23:00:00","4.49"
"cpu.usage.average","2014-03-27 22:30:00","5.2"
"cpu.usage.average","2014-03-27 22:00:00","7.46"
"cpu.usage.average","2014-03-27 21:30:00","7.13"
"cpu.usage.average","2014-03-27 21:00:00","7.91"
"cpu.usage.average","2014-03-27 20:30:00","7.57"
"cpu.usage.average","2014-03-27 20:00:00","7.62"
"cpu.usage.average","2014-03-27 19:30:00","7.6"
"cpu.usage.average","2014-03-27 19:00:00","8.07"
"cpu.usage.average","2014-03-27 18:30:00","6.4"
"cpu.usage.average","2014-03-27 18:00:00","6.15"
"cpu.usage.average","2014-03-27 17:30:00","6.39"
"cpu.usage.average","2014-03-27 17:00:00","5.89"
"cpu.usage.average","2014-03-27 16:30:00","5.68"
"cpu.usage.average","2014-03-27 16:00:00","6.16"
"cpu.usage.average","2014-03-27 15:30:00","5.46"
"cpu.usage.average","2014-03-27 15:00:00","5.35"
