"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 15:30:00","0.66"
"cpu.usage.average","2014-03-28 15:00:00","0.67"
"cpu.usage.average","2014-03-28 14:30:00","0.69"
"cpu.usage.average","2014-03-28 14:00:00","0.7"
"cpu.usage.average","2014-03-28 13:30:00","0.73"
"cpu.usage.average","2014-03-28 13:00:00","0.8"
"cpu.usage.average","2014-03-28 12:30:00","1.02"
"cpu.usage.average","2014-03-28 12:00:00","2.53"
"cpu.usage.average","2014-03-28 11:30:00","14.93"
"cpu.usage.average","2014-03-28 11:00:00","15.22"
"cpu.usage.average","2014-03-28 10:30:00","14.38"
"cpu.usage.average","2014-03-28 10:00:00","13.36"
"cpu.usage.average","2014-03-28 09:30:00","11.69"
"cpu.usage.average","2014-03-28 09:00:00","6.57"
"cpu.usage.average","2014-03-28 08:30:00","5.01"
"cpu.usage.average","2014-03-28 08:00:00","1.17"
"cpu.usage.average","2014-03-28 07:30:00","0.44"
"cpu.usage.average","2014-03-28 07:00:00","0.41"
"cpu.usage.average","2014-03-28 06:30:00","0.39"
"cpu.usage.average","2014-03-28 06:00:00","0.37"
"cpu.usage.average","2014-03-28 05:30:00","0.41"
"cpu.usage.average","2014-03-28 05:00:00","0.47"
"cpu.usage.average","2014-03-28 04:30:00","0.36"
"cpu.usage.average","2014-03-28 04:00:00","0.36"
"cpu.usage.average","2014-03-28 03:30:00","0.35"
"cpu.usage.average","2014-03-28 03:00:00","0.36"
"cpu.usage.average","2014-03-28 02:30:00","0.36"
"cpu.usage.average","2014-03-28 02:00:00","0.36"
"cpu.usage.average","2014-03-28 01:30:00","0.36"
"cpu.usage.average","2014-03-28 01:00:00","0.42"
"cpu.usage.average","2014-03-28 00:30:00","0.36"
"cpu.usage.average","2014-03-28 00:00:00","0.36"
"cpu.usage.average","2014-03-27 23:30:00","0.36"
"cpu.usage.average","2014-03-27 23:00:00","0.36"
"cpu.usage.average","2014-03-27 22:30:00","0.37"
"cpu.usage.average","2014-03-27 22:00:00","0.43"
"cpu.usage.average","2014-03-27 21:30:00","0.36"
"cpu.usage.average","2014-03-27 21:00:00","0.36"
"cpu.usage.average","2014-03-27 20:30:00","0.36"
"cpu.usage.average","2014-03-27 20:00:00","0.37"
"cpu.usage.average","2014-03-27 19:30:00","0.4"
"cpu.usage.average","2014-03-27 19:00:00","0.41"
"cpu.usage.average","2014-03-27 18:30:00","0.41"
"cpu.usage.average","2014-03-27 18:00:00","0.48"
"cpu.usage.average","2014-03-27 17:30:00","0.4"
"cpu.usage.average","2014-03-27 17:00:00","0.41"
"cpu.usage.average","2014-03-27 16:30:00","0.41"
"cpu.usage.average","2014-03-27 16:00:00","0.41"
"cpu.usage.average","2014-03-27 15:30:00","0.41"
"cpu.usage.average","2014-03-27 15:00:00","0.42"
"cpu.usage.average","2014-03-27 14:30:00","0.52"
"cpu.usage.average","2014-03-27 14:00:00","0.45"
"cpu.usage.average","2014-03-27 13:30:00","0.44"
"cpu.usage.average","2014-03-27 13:00:00","0.85"
"cpu.usage.average","2014-03-27 12:30:00","9.37"
"cpu.usage.average","2014-03-27 12:00:00","9.5"
"cpu.usage.average","2014-03-27 11:30:00","9.39"
"cpu.usage.average","2014-03-27 11:00:00","9.45"
"cpu.usage.average","2014-03-27 10:30:00","9.64"
"cpu.usage.average","2014-03-27 10:00:00","9.66"
"cpu.usage.average","2014-03-27 09:30:00","9.77"
"cpu.usage.average","2014-03-27 09:00:00","10.07"
"cpu.usage.average","2014-03-27 08:30:00","10.13"
"cpu.usage.average","2014-03-27 08:00:00","10.35"
"cpu.usage.average","2014-03-27 07:30:00","10.26"
"cpu.usage.average","2014-03-27 07:00:00","3.82"
"cpu.usage.average","2014-03-27 06:30:00","7.15"
"cpu.usage.average","2014-03-27 06:00:00","8.36"
"cpu.usage.average","2014-03-27 05:30:00","0.42"
"cpu.usage.average","2014-03-27 05:00:00","8.8"
"cpu.usage.average","2014-03-27 04:30:00","10.36"
"cpu.usage.average","2014-03-27 04:00:00","10.25"
"cpu.usage.average","2014-03-27 03:30:00","10.36"
"cpu.usage.average","2014-03-27 03:00:00","10.13"
"cpu.usage.average","2014-03-27 02:30:00","9.97"
"cpu.usage.average","2014-03-27 02:00:00","9.7"
"cpu.usage.average","2014-03-27 01:30:00","9.65"
"cpu.usage.average","2014-03-27 01:00:00","9.39"
"cpu.usage.average","2014-03-27 00:30:00","10.12"
"cpu.usage.average","2014-03-27 00:00:00","9.9"
"cpu.usage.average","2014-03-26 23:30:00","9.61"
"cpu.usage.average","2014-03-26 23:00:00","8.9"
"cpu.usage.average","2014-03-26 22:30:00","8.7"
"cpu.usage.average","2014-03-26 22:00:00","8.42"
"cpu.usage.average","2014-03-26 21:30:00","8.15"
"cpu.usage.average","2014-03-26 21:00:00","8.21"
"cpu.usage.average","2014-03-26 20:30:00","8.26"
"cpu.usage.average","2014-03-26 20:00:00","8.31"
"cpu.usage.average","2014-03-26 19:30:00","8.59"
"cpu.usage.average","2014-03-26 19:00:00","8.7"
"cpu.usage.average","2014-03-26 18:30:00","8.64"
"cpu.usage.average","2014-03-26 18:00:00","8.82"
"cpu.usage.average","2014-03-26 17:30:00","8.87"
"cpu.usage.average","2014-03-26 17:00:00","9.02"
"mem.active.average","2014-03-28 15:30:00","292668"
"mem.active.average","2014-03-28 15:00:00","259114"
"mem.active.average","2014-03-28 14:30:00","301989"
"mem.active.average","2014-03-28 14:00:00","294532"
"mem.active.average","2014-03-28 13:30:00","411973"
"mem.active.average","2014-03-28 13:00:00","423157"
"mem.active.average","2014-03-28 12:30:00","754973"
"mem.active.average","2014-03-28 12:00:00","1590105"
"mem.active.average","2014-03-28 11:30:00","3909088"
"mem.active.average","2014-03-28 11:00:00","4011615"
"mem.active.average","2014-03-28 10:30:00","3810289"
"mem.active.average","2014-03-28 10:00:00","3620147"
"mem.active.average","2014-03-28 09:30:00","3139200"
"mem.active.average","2014-03-28 09:00:00","2190356"
"mem.active.average","2014-03-28 08:30:00","1021544"
"mem.active.average","2014-03-28 08:00:00","555511"
"mem.active.average","2014-03-28 07:30:00","270299"
"mem.active.average","2014-03-28 07:00:00","154722"
"mem.active.average","2014-03-28 06:30:00","175228"
"mem.active.average","2014-03-28 06:00:00","139809"
"mem.active.average","2014-03-28 05:30:00","214375"
"mem.active.average","2014-03-28 05:00:00","344864"
"mem.active.average","2014-03-28 04:30:00","128624"
"mem.active.average","2014-03-28 04:00:00","136081"
"mem.active.average","2014-03-28 03:30:00","143538"
"mem.active.average","2014-03-28 03:00:00","162179"
"mem.active.average","2014-03-28 02:30:00","136081"
"mem.active.average","2014-03-28 02:00:00","123032"
"mem.active.average","2014-03-28 01:30:00","266570"
"mem.active.average","2014-03-28 01:00:00","398924"
"mem.active.average","2014-03-28 00:30:00","205054"
"mem.active.average","2014-03-28 00:00:00","113711"
"mem.active.average","2014-03-27 23:30:00","96934"
"mem.active.average","2014-03-27 23:00:00","132353"
"mem.active.average","2014-03-27 22:30:00","208782"
"mem.active.average","2014-03-27 22:00:00","397060"
"mem.active.average","2014-03-27 21:30:00","143538"
"mem.active.average","2014-03-27 21:00:00","210646"
"mem.active.average","2014-03-27 20:30:00","67108"
"mem.active.average","2014-03-27 20:00:00","164043"
"mem.active.average","2014-03-27 19:30:00","106255"
"mem.active.average","2014-03-27 19:00:00","272163"
"mem.active.average","2014-03-27 18:30:00","203190"
"mem.active.average","2014-03-27 18:00:00","460440"
"mem.active.average","2014-03-27 17:30:00","193869"
"mem.active.average","2014-03-27 17:00:00","199462"
"mem.active.average","2014-03-27 16:30:00","195733"
"mem.active.average","2014-03-27 16:00:00","160315"
"mem.active.average","2014-03-27 15:30:00","167771"
"mem.active.average","2014-03-27 15:00:00","212511"
"mem.active.average","2014-03-27 14:30:00","479081"
"mem.active.average","2014-03-27 14:00:00","203190"
"mem.active.average","2014-03-27 13:30:00","197597"
"mem.active.average","2014-03-27 13:00:00","339271"
"mem.active.average","2014-03-27 12:30:00","266570"
"mem.active.average","2014-03-27 12:00:00","313174"
"mem.active.average","2014-03-27 11:30:00","285212"
"mem.active.average","2014-03-27 11:00:00","283348"
"mem.active.average","2014-03-27 10:30:00","669223"
"mem.active.average","2014-03-27 10:00:00","253521"
"mem.active.average","2014-03-27 09:30:00","253522"
"mem.active.average","2014-03-27 09:00:00","324358"
"mem.active.average","2014-03-27 08:30:00","398924"
"mem.active.average","2014-03-27 08:00:00","178956"
"mem.active.average","2014-03-27 07:30:00","223695"
"mem.active.average","2014-03-27 07:00:00","205054"
"mem.active.average","2014-03-27 06:30:00","607707"
"mem.active.average","2014-03-27 06:00:00","177092"
"mem.active.average","2014-03-27 05:30:00","158451"
"mem.active.average","2014-03-27 05:00:00","149130"
"mem.active.average","2014-03-27 04:30:00","195733"
"mem.active.average","2014-03-27 04:00:00","305717"
"mem.active.average","2014-03-27 03:30:00","180820"
"mem.active.average","2014-03-27 03:00:00","270299"
"mem.active.average","2014-03-27 02:30:00","417565"
"mem.active.average","2014-03-27 02:00:00","180820"
"mem.active.average","2014-03-27 01:30:00","195733"
"mem.active.average","2014-03-27 01:00:00","156586"
"mem.active.average","2014-03-27 00:30:00","216238"
"mem.active.average","2014-03-27 00:00:00","177092"
"mem.active.average","2014-03-26 23:30:00","283347"
"mem.active.average","2014-03-26 23:00:00","186413"
"mem.active.average","2014-03-26 22:30:00","208782"
"mem.active.average","2014-03-26 22:00:00","255386"
"mem.active.average","2014-03-26 21:30:00","180820"
"mem.active.average","2014-03-26 21:00:00","223695"
"mem.active.average","2014-03-26 20:30:00","229288"
"mem.active.average","2014-03-26 20:00:00","262842"
"mem.active.average","2014-03-26 19:30:00","430614"
"mem.active.average","2014-03-26 19:00:00","214375"
"mem.active.average","2014-03-26 18:30:00","231152"
"mem.active.average","2014-03-26 18:00:00","214374"
"mem.active.average","2014-03-26 17:30:00","173364"
"mem.active.average","2014-03-26 17:00:00","175228"
"disk.read.average","2014-03-28 15:30:00","30"
"disk.read.average","2014-03-28 15:00:00","30"
"disk.read.average","2014-03-28 14:30:00","30"
"disk.read.average","2014-03-28 14:00:00","30"
"disk.read.average","2014-03-28 13:30:00","30"
"disk.read.average","2014-03-28 13:00:00","30"
"disk.read.average","2014-03-28 12:30:00","62"
"disk.read.average","2014-03-28 12:00:00","32"
"disk.read.average","2014-03-28 11:30:00","42"
"disk.read.average","2014-03-28 11:00:00","43"
"disk.read.average","2014-03-28 10:30:00","42"
"disk.read.average","2014-03-28 10:00:00","42"
"disk.read.average","2014-03-28 09:30:00","41"
"disk.read.average","2014-03-28 09:00:00","69"
"disk.read.average","2014-03-28 08:30:00","37"
"disk.read.average","2014-03-28 08:00:00","70"
"disk.read.average","2014-03-28 07:30:00","3"
"disk.read.average","2014-03-28 07:00:00","0"
"disk.read.average","2014-03-28 06:30:00","0"
"disk.read.average","2014-03-28 06:00:00","0"
"disk.read.average","2014-03-28 05:30:00","0"
"disk.read.average","2014-03-28 05:00:00","30"
"disk.read.average","2014-03-28 04:30:00","0"
"disk.read.average","2014-03-28 04:00:00","0"
"disk.read.average","2014-03-28 03:30:00","0"
"disk.read.average","2014-03-28 03:00:00","0"
"disk.read.average","2014-03-28 02:30:00","0"
"disk.read.average","2014-03-28 02:00:00","0"
"disk.read.average","2014-03-28 01:30:00","5"
"disk.read.average","2014-03-28 01:00:00","25"
"disk.read.average","2014-03-28 00:30:00","0"
"disk.read.average","2014-03-28 00:00:00","0"
"disk.read.average","2014-03-27 23:30:00","0"
"disk.read.average","2014-03-27 23:00:00","0"
"disk.read.average","2014-03-27 22:30:00","0"
"disk.read.average","2014-03-27 22:00:00","30"
"disk.read.average","2014-03-27 21:30:00","0"
"disk.read.average","2014-03-27 21:00:00","0"
"disk.read.average","2014-03-27 20:30:00","0"
"disk.read.average","2014-03-27 20:00:00","0"
"disk.read.average","2014-03-27 19:30:00","0"
"disk.read.average","2014-03-27 19:00:00","0"
"disk.read.average","2014-03-27 18:30:00","0"
"disk.read.average","2014-03-27 18:00:00","30"
"disk.read.average","2014-03-27 17:30:00","0"
"disk.read.average","2014-03-27 17:00:00","0"
"disk.read.average","2014-03-27 16:30:00","0"
"disk.read.average","2014-03-27 16:00:00","0"
"disk.read.average","2014-03-27 15:30:00","0"
"disk.read.average","2014-03-27 15:00:00","0"
"disk.read.average","2014-03-27 14:30:00","30"
"disk.read.average","2014-03-27 14:00:00","1"
"disk.read.average","2014-03-27 13:30:00","0"
"disk.read.average","2014-03-27 13:00:00","10"
"disk.read.average","2014-03-27 12:30:00","0"
"disk.read.average","2014-03-27 12:00:00","0"
"disk.read.average","2014-03-27 11:30:00","5"
"disk.read.average","2014-03-27 11:00:00","4"
"disk.read.average","2014-03-27 10:30:00","31"
"disk.read.average","2014-03-27 10:00:00","0"
"disk.read.average","2014-03-27 09:30:00","0"
"disk.read.average","2014-03-27 09:00:00","0"
"disk.read.average","2014-03-27 08:30:00","32"
"disk.read.average","2014-03-27 08:00:00","0"
"disk.read.average","2014-03-27 07:30:00","0"
"disk.read.average","2014-03-27 07:00:00","0"
"disk.read.average","2014-03-27 06:30:00","30"
"disk.read.average","2014-03-27 06:00:00","0"
"disk.read.average","2014-03-27 05:30:00","0"
"disk.read.average","2014-03-27 05:00:00","0"
"disk.read.average","2014-03-27 04:30:00","0"
"disk.read.average","2014-03-27 04:00:00","0"
"disk.read.average","2014-03-27 03:30:00","0"
"disk.read.average","2014-03-27 03:00:00","5"
"disk.read.average","2014-03-27 02:30:00","25"
"disk.read.average","2014-03-27 02:00:00","0"
"disk.read.average","2014-03-27 01:30:00","0"
"disk.read.average","2014-03-27 01:00:00","0"
"disk.read.average","2014-03-27 00:30:00","0"
"disk.read.average","2014-03-27 00:00:00","0"
"disk.read.average","2014-03-26 23:30:00","5"
"disk.read.average","2014-03-26 23:00:00","25"
"disk.read.average","2014-03-26 22:30:00","0"
"disk.read.average","2014-03-26 22:00:00","1"
"disk.read.average","2014-03-26 21:30:00","0"
"disk.read.average","2014-03-26 21:00:00","0"
"disk.read.average","2014-03-26 20:30:00","0"
"disk.read.average","2014-03-26 20:00:00","0"
"disk.read.average","2014-03-26 19:30:00","30"
"disk.read.average","2014-03-26 19:00:00","0"
"disk.read.average","2014-03-26 18:30:00","0"
"disk.read.average","2014-03-26 18:00:00","0"
"disk.read.average","2014-03-26 17:30:00","0"
"disk.read.average","2014-03-26 17:00:00","0"
"disk.write.average","2014-03-28 15:30:00","25"
"disk.write.average","2014-03-28 15:00:00","25"
"disk.write.average","2014-03-28 14:30:00","26"
"disk.write.average","2014-03-28 14:00:00","26"
"disk.write.average","2014-03-28 13:30:00","27"
"disk.write.average","2014-03-28 13:00:00","29"
"disk.write.average","2014-03-28 12:30:00","37"
"disk.write.average","2014-03-28 12:00:00","62"
"disk.write.average","2014-03-28 11:30:00","276"
"disk.write.average","2014-03-28 11:00:00","281"
"disk.write.average","2014-03-28 10:30:00","267"
"disk.write.average","2014-03-28 10:00:00","247"
"disk.write.average","2014-03-28 09:30:00","219"
"disk.write.average","2014-03-28 09:00:00","134"
"disk.write.average","2014-03-28 08:30:00","104"
"disk.write.average","2014-03-28 08:00:00","38"
"disk.write.average","2014-03-28 07:30:00","25"
"disk.write.average","2014-03-28 07:00:00","18"
"disk.write.average","2014-03-28 06:30:00","13"
"disk.write.average","2014-03-28 06:00:00","5"
"disk.write.average","2014-03-28 05:30:00","19"
"disk.write.average","2014-03-28 05:00:00","21"
"disk.write.average","2014-03-28 04:30:00","2"
"disk.write.average","2014-03-28 04:00:00","3"
"disk.write.average","2014-03-28 03:30:00","2"
"disk.write.average","2014-03-28 03:00:00","2"
"disk.write.average","2014-03-28 02:30:00","2"
"disk.write.average","2014-03-28 02:00:00","3"
"disk.write.average","2014-03-28 01:30:00","3"
"disk.write.average","2014-03-28 01:00:00","6"
"disk.write.average","2014-03-28 00:30:00","2"
"disk.write.average","2014-03-28 00:00:00","3"
"disk.write.average","2014-03-27 23:30:00","2"
"disk.write.average","2014-03-27 23:00:00","2"
"disk.write.average","2014-03-27 22:30:00","5"
"disk.write.average","2014-03-27 22:00:00","7"
"disk.write.average","2014-03-27 21:30:00","2"
"disk.write.average","2014-03-27 21:00:00","2"
"disk.write.average","2014-03-27 20:30:00","2"
"disk.write.average","2014-03-27 20:00:00","5"
"disk.write.average","2014-03-27 19:30:00","18"
"disk.write.average","2014-03-27 19:00:00","19"
"disk.write.average","2014-03-27 18:30:00","18"
"disk.write.average","2014-03-27 18:00:00","23"
"disk.write.average","2014-03-27 17:30:00","19"
"disk.write.average","2014-03-27 17:00:00","18"
"disk.write.average","2014-03-27 16:30:00","18"
"disk.write.average","2014-03-27 16:00:00","19"
"disk.write.average","2014-03-27 15:30:00","19"
"disk.write.average","2014-03-27 15:00:00","19"
"disk.write.average","2014-03-27 14:30:00","24"
"disk.write.average","2014-03-27 14:00:00","21"
"disk.write.average","2014-03-27 13:30:00","19"
"disk.write.average","2014-03-27 13:00:00","22"
"disk.write.average","2014-03-27 12:30:00","19"
"disk.write.average","2014-03-27 12:00:00","18"
"disk.write.average","2014-03-27 11:30:00","20"
"disk.write.average","2014-03-27 11:00:00","20"
"disk.write.average","2014-03-27 10:30:00","26"
"disk.write.average","2014-03-27 10:00:00","19"
"disk.write.average","2014-03-27 09:30:00","19"
"disk.write.average","2014-03-27 09:00:00","19"
"disk.write.average","2014-03-27 08:30:00","24"
"disk.write.average","2014-03-27 08:00:00","19"
"disk.write.average","2014-03-27 07:30:00","18"
"disk.write.average","2014-03-27 07:00:00","19"
"disk.write.average","2014-03-27 06:30:00","18"
"disk.write.average","2014-03-27 06:00:00","5"
"disk.write.average","2014-03-27 05:30:00","19"
"disk.write.average","2014-03-27 05:00:00","16"
"disk.write.average","2014-03-27 04:30:00","2"
"disk.write.average","2014-03-27 04:00:00","2"
"disk.write.average","2014-03-27 03:30:00","3"
"disk.write.average","2014-03-27 03:00:00","2"
"disk.write.average","2014-03-27 02:30:00","6"
"disk.write.average","2014-03-27 02:00:00","2"
"disk.write.average","2014-03-27 01:30:00","3"
"disk.write.average","2014-03-27 01:00:00","2"
"disk.write.average","2014-03-27 00:30:00","3"
"disk.write.average","2014-03-27 00:00:00","3"
"disk.write.average","2014-03-26 23:30:00","3"
"disk.write.average","2014-03-26 23:00:00","8"
"disk.write.average","2014-03-26 22:30:00","2"
"disk.write.average","2014-03-26 22:00:00","4"
"disk.write.average","2014-03-26 21:30:00","2"
"disk.write.average","2014-03-26 21:00:00","2"
"disk.write.average","2014-03-26 20:30:00","2"
"disk.write.average","2014-03-26 20:00:00","5"
"disk.write.average","2014-03-26 19:30:00","23"
"disk.write.average","2014-03-26 19:00:00","18"
"disk.write.average","2014-03-26 18:30:00","18"
"disk.write.average","2014-03-26 18:00:00","19"
"disk.write.average","2014-03-26 17:30:00","18"
"disk.write.average","2014-03-26 17:00:00","18"
"net.received.average","2014-03-28 15:30:00","47"
"net.received.average","2014-03-28 15:00:00","56"
"net.received.average","2014-03-28 14:30:00","57"
"net.received.average","2014-03-28 14:00:00","58"
"net.received.average","2014-03-28 13:30:00","80"
"net.received.average","2014-03-28 13:00:00","103"
"net.received.average","2014-03-28 12:30:00","168"
"net.received.average","2014-03-28 12:00:00","940"
"net.received.average","2014-03-28 11:30:00","7280"
"net.received.average","2014-03-28 11:00:00","7518"
"net.received.average","2014-03-28 10:30:00","7154"
"net.received.average","2014-03-28 10:00:00","6666"
"net.received.average","2014-03-28 09:30:00","5950"
"net.received.average","2014-03-28 09:00:00","3253"
"net.received.average","2014-03-28 08:30:00","2429"
"net.received.average","2014-03-28 08:00:00","185"
"net.received.average","2014-03-28 07:30:00","12"
"net.received.average","2014-03-28 07:00:00","12"
"net.received.average","2014-03-28 06:30:00","9"
"net.received.average","2014-03-28 06:00:00","5"
"net.received.average","2014-03-28 05:30:00","11"
"net.received.average","2014-03-28 05:00:00","10"
"net.received.average","2014-03-28 04:30:00","4"
"net.received.average","2014-03-28 04:00:00","4"
"net.received.average","2014-03-28 03:30:00","4"
"net.received.average","2014-03-28 03:00:00","4"
"net.received.average","2014-03-28 02:30:00","4"
"net.received.average","2014-03-28 02:00:00","4"
"net.received.average","2014-03-28 01:30:00","4"
"net.received.average","2014-03-28 01:00:00","4"
"net.received.average","2014-03-28 00:30:00","4"
"net.received.average","2014-03-28 00:00:00","4"
"net.received.average","2014-03-27 23:30:00","4"
"net.received.average","2014-03-27 23:00:00","4"
"net.received.average","2014-03-27 22:30:00","4"
"net.received.average","2014-03-27 22:00:00","4"
"net.received.average","2014-03-27 21:30:00","4"
"net.received.average","2014-03-27 21:00:00","4"
"net.received.average","2014-03-27 20:30:00","4"
"net.received.average","2014-03-27 20:00:00","5"
"net.received.average","2014-03-27 19:30:00","11"
"net.received.average","2014-03-27 19:00:00","11"
"net.received.average","2014-03-27 18:30:00","11"
"net.received.average","2014-03-27 18:00:00","11"
"net.received.average","2014-03-27 17:30:00","11"
"net.received.average","2014-03-27 17:00:00","11"
"net.received.average","2014-03-27 16:30:00","11"
"net.received.average","2014-03-27 16:00:00","11"
"net.received.average","2014-03-27 15:30:00","11"
"net.received.average","2014-03-27 15:00:00","11"
"net.received.average","2014-03-27 14:30:00","13"
"net.received.average","2014-03-27 14:00:00","13"
"net.received.average","2014-03-27 13:30:00","12"
"net.received.average","2014-03-27 13:00:00","20"
"net.received.average","2014-03-27 12:30:00","222"
"net.received.average","2014-03-27 12:00:00","226"
"net.received.average","2014-03-27 11:30:00","225"
"net.received.average","2014-03-27 11:00:00","227"
"net.received.average","2014-03-27 10:30:00","230"
"net.received.average","2014-03-27 10:00:00","231"
"net.received.average","2014-03-27 09:30:00","235"
"net.received.average","2014-03-27 09:00:00","239"
"net.received.average","2014-03-27 08:30:00","243"
"net.received.average","2014-03-27 08:00:00","247"
"net.received.average","2014-03-27 07:30:00","248"
