"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","21.71"
"cpu.usage.average","2014-03-28 13:30:00","20.68"
"cpu.usage.average","2014-03-28 13:00:00","20.69"
"cpu.usage.average","2014-03-28 12:30:00","21.12"
"cpu.usage.average","2014-03-28 12:00:00","19.05"
"cpu.usage.average","2014-03-28 11:30:00","2.85"
"cpu.usage.average","2014-03-28 11:00:00","1.38"
"cpu.usage.average","2014-03-28 10:30:00","1.39"
"cpu.usage.average","2014-03-28 10:00:00","1.55"
"cpu.usage.average","2014-03-28 09:30:00","2.81"
"cpu.usage.average","2014-03-28 09:00:00","9.03"
"cpu.usage.average","2014-03-28 08:30:00","9.09"
"cpu.usage.average","2014-03-28 08:00:00","12.24"
"cpu.usage.average","2014-03-28 07:30:00","11.11"
"cpu.usage.average","2014-03-28 07:00:00","9.42"
"cpu.usage.average","2014-03-28 06:30:00","7.37"
"cpu.usage.average","2014-03-28 06:00:00","5.48"
"cpu.usage.average","2014-03-28 05:30:00","4.29"
"cpu.usage.average","2014-03-28 05:00:00","3.83"
"cpu.usage.average","2014-03-28 04:30:00","3.68"
"cpu.usage.average","2014-03-28 04:00:00","3.46"
"cpu.usage.average","2014-03-28 03:30:00","3.98"
"cpu.usage.average","2014-03-28 03:00:00","4.66"
"cpu.usage.average","2014-03-28 02:30:00","5.8"
"cpu.usage.average","2014-03-28 02:00:00","7.4"
"cpu.usage.average","2014-03-28 01:30:00","9.77"
"cpu.usage.average","2014-03-28 01:00:00","18.24"
"cpu.usage.average","2014-03-28 00:30:00","15.28"
"cpu.usage.average","2014-03-28 00:00:00","19.53"
"cpu.usage.average","2014-03-27 23:30:00","25.2"
"cpu.usage.average","2014-03-27 23:00:00","30.93"
"cpu.usage.average","2014-03-27 22:30:00","35.48"
"cpu.usage.average","2014-03-27 22:00:00","40.18"
"cpu.usage.average","2014-03-27 21:30:00","42.85"
"cpu.usage.average","2014-03-27 21:00:00","43.31"
"cpu.usage.average","2014-03-27 20:30:00","41.82"
"cpu.usage.average","2014-03-27 20:00:00","39.26"
"cpu.usage.average","2014-03-27 19:30:00","37.32"
"cpu.usage.average","2014-03-27 19:00:00","34.4"
"cpu.usage.average","2014-03-27 18:30:00","33.42"
"cpu.usage.average","2014-03-27 18:00:00","30.85"
"cpu.usage.average","2014-03-27 17:30:00","29.2"
"cpu.usage.average","2014-03-27 17:00:00","27.61"
"cpu.usage.average","2014-03-27 16:30:00","26.74"
"cpu.usage.average","2014-03-27 16:00:00","26.04"
"cpu.usage.average","2014-03-27 15:30:00","24.69"
"cpu.usage.average","2014-03-27 15:00:00","24.65"
"cpu.usage.average","2014-03-27 14:30:00","23.22"
"cpu.usage.average","2014-03-27 14:00:00","23.04"
"cpu.usage.average","2014-03-27 13:30:00","22.59"
"cpu.usage.average","2014-03-27 13:00:00","22.55"
"cpu.usage.average","2014-03-27 12:30:00","24.07"
"cpu.usage.average","2014-03-27 12:00:00","22.83"
"cpu.usage.average","2014-03-27 11:30:00","21.87"
"cpu.usage.average","2014-03-27 11:00:00","21.51"
"cpu.usage.average","2014-03-27 10:30:00","21.59"
"cpu.usage.average","2014-03-27 10:00:00","21.27"
"cpu.usage.average","2014-03-27 09:30:00","19.45"
"cpu.usage.average","2014-03-27 09:00:00","18.32"
"cpu.usage.average","2014-03-27 08:30:00","15.26"
"cpu.usage.average","2014-03-27 08:00:00","13.63"
"cpu.usage.average","2014-03-27 07:30:00","11.3"
"cpu.usage.average","2014-03-27 07:00:00","9.48"
"cpu.usage.average","2014-03-27 06:30:00","7.39"
