"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 15:30:00","16.91"
"cpu.usage.average","2014-03-28 15:00:00","16.35"
"cpu.usage.average","2014-03-28 14:30:00","16.3"
"cpu.usage.average","2014-03-28 14:00:00","16.05"
"cpu.usage.average","2014-03-28 13:30:00","16.17"
"cpu.usage.average","2014-03-28 13:00:00","16.25"
"cpu.usage.average","2014-03-28 12:30:00","16.73"
"cpu.usage.average","2014-03-28 12:00:00","16.52"
"cpu.usage.average","2014-03-28 11:30:00","16.58"
"cpu.usage.average","2014-03-28 11:00:00","16.09"
"cpu.usage.average","2014-03-28 10:30:00","15.65"
"cpu.usage.average","2014-03-28 10:00:00","15.69"
"cpu.usage.average","2014-03-28 09:30:00","15.2"
"cpu.usage.average","2014-03-28 09:00:00","14.28"
"cpu.usage.average","2014-03-28 08:30:00","12.95"
"cpu.usage.average","2014-03-28 08:00:00","11.54"
"cpu.usage.average","2014-03-28 07:30:00","10.73"
"cpu.usage.average","2014-03-28 07:00:00","9.47"
"cpu.usage.average","2014-03-28 06:30:00","8.32"
"cpu.usage.average","2014-03-28 06:00:00","6.65"
"cpu.usage.average","2014-03-28 05:30:00","6.25"
"cpu.usage.average","2014-03-28 05:00:00","6.19"
"cpu.usage.average","2014-03-28 04:30:00","6.04"
"cpu.usage.average","2014-03-28 04:00:00","5.93"
"cpu.usage.average","2014-03-28 03:30:00","5.92"
"cpu.usage.average","2014-03-28 03:00:00","6.49"
"cpu.usage.average","2014-03-28 02:30:00","6.44"
"cpu.usage.average","2014-03-28 02:00:00","6.51"
"cpu.usage.average","2014-03-28 01:30:00","7.05"
"cpu.usage.average","2014-03-28 01:00:00","8.02"
"cpu.usage.average","2014-03-28 00:30:00","9.51"
"cpu.usage.average","2014-03-28 00:00:00","11.06"
"cpu.usage.average","2014-03-27 23:30:00","13.88"
"cpu.usage.average","2014-03-27 23:00:00","16.01"
"cpu.usage.average","2014-03-27 22:30:00","18.35"
"cpu.usage.average","2014-03-27 22:00:00","20.19"
"cpu.usage.average","2014-03-27 21:30:00","22.05"
"cpu.usage.average","2014-03-27 21:00:00","23.61"
"cpu.usage.average","2014-03-27 20:30:00","23.6"
"cpu.usage.average","2014-03-27 20:00:00","22.79"
"cpu.usage.average","2014-03-27 19:30:00","22.88"
