"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","1.56"
"cpu.usage.average","2014-03-28 13:30:00","1.52"
"cpu.usage.average","2014-03-28 13:00:00","1.59"
"cpu.usage.average","2014-03-28 12:30:00","1.53"
"cpu.usage.average","2014-03-28 12:00:00","1.53"
"cpu.usage.average","2014-03-28 11:30:00","1.54"
"cpu.usage.average","2014-03-28 11:00:00","1.54"
"cpu.usage.average","2014-03-28 10:30:00","1.7"
"cpu.usage.average","2014-03-28 10:00:00","1.55"
"cpu.usage.average","2014-03-28 09:30:00","1.51"
"cpu.usage.average","2014-03-28 09:00:00","1.57"
"cpu.usage.average","2014-03-28 08:30:00","1.54"
"cpu.usage.average","2014-03-28 08:00:00","1.86"
"cpu.usage.average","2014-03-28 07:30:00","1.51"
"cpu.usage.average","2014-03-28 07:00:00","1.36"
"cpu.usage.average","2014-03-28 06:30:00","1.21"
"cpu.usage.average","2014-03-28 06:00:00","1.24"
"cpu.usage.average","2014-03-28 05:30:00","1.47"
"cpu.usage.average","2014-03-28 05:00:00","1.54"
"cpu.usage.average","2014-03-28 04:30:00","1.47"
"cpu.usage.average","2014-03-28 04:00:00","1.48"
"cpu.usage.average","2014-03-28 03:30:00","1.52"
"cpu.usage.average","2014-03-28 03:00:00","1.49"
"cpu.usage.average","2014-03-28 02:30:00","1.49"
"cpu.usage.average","2014-03-28 02:00:00","1.5"
"cpu.usage.average","2014-03-28 01:30:00","1.52"
"cpu.usage.average","2014-03-28 01:00:00","1.57"
"cpu.usage.average","2014-03-28 00:30:00","1.51"
"cpu.usage.average","2014-03-28 00:00:00","1.54"
"cpu.usage.average","2014-03-27 23:30:00","1.54"
"cpu.usage.average","2014-03-27 23:00:00","1.56"
"cpu.usage.average","2014-03-27 22:30:00","1.55"
"cpu.usage.average","2014-03-27 22:00:00","1.57"
"cpu.usage.average","2014-03-27 21:30:00","1.56"
"cpu.usage.average","2014-03-27 21:00:00","1.65"
"cpu.usage.average","2014-03-27 20:30:00","1.56"
"cpu.usage.average","2014-03-27 20:00:00","1.58"
"cpu.usage.average","2014-03-27 19:30:00","1.57"
"cpu.usage.average","2014-03-27 19:00:00","1.57"
"cpu.usage.average","2014-03-27 18:30:00","1.6"
"cpu.usage.average","2014-03-27 18:00:00","5.04"
"cpu.usage.average","2014-03-27 17:30:00","13.46"
"cpu.usage.average","2014-03-27 17:00:00","16.95"
"cpu.usage.average","2014-03-27 16:30:00","14.17"
"cpu.usage.average","2014-03-27 16:00:00","13.92"
"cpu.usage.average","2014-03-27 15:30:00","8.04"
"cpu.usage.average","2014-03-27 15:00:00","10.89"
"cpu.usage.average","2014-03-27 14:30:00","8.47"
"cpu.usage.average","2014-03-27 14:00:00","8.89"
"cpu.usage.average","2014-03-27 13:30:00","10.57"
"cpu.usage.average","2014-03-27 13:00:00","8.18"
"cpu.usage.average","2014-03-27 12:30:00","8.17"
"cpu.usage.average","2014-03-27 12:00:00","7.44"
"cpu.usage.average","2014-03-27 11:30:00","7.7"
"cpu.usage.average","2014-03-27 11:00:00","9.37"
"cpu.usage.average","2014-03-27 10:30:00","10.21"
"cpu.usage.average","2014-03-27 10:00:00","7.82"
"cpu.usage.average","2014-03-27 09:30:00","8.18"
"cpu.usage.average","2014-03-27 09:00:00","8.75"
"cpu.usage.average","2014-03-27 08:30:00","8.12"
"cpu.usage.average","2014-03-27 08:00:00","10.53"
"cpu.usage.average","2014-03-27 07:30:00","7.12"
"cpu.usage.average","2014-03-27 07:00:00","5.59"
"cpu.usage.average","2014-03-27 06:30:00","4.05"
"cpu.usage.average","2014-03-27 06:00:00","3.44"
"cpu.usage.average","2014-03-27 05:30:00","2.96"
"cpu.usage.average","2014-03-27 05:00:00","3.03"
"cpu.usage.average","2014-03-27 04:30:00","2.87"
"cpu.usage.average","2014-03-27 04:00:00","3.14"
"cpu.usage.average","2014-03-27 03:30:00","3.04"
"cpu.usage.average","2014-03-27 03:00:00","3.38"
"cpu.usage.average","2014-03-27 02:30:00","5.09"
"cpu.usage.average","2014-03-27 02:00:00","8.32"
"cpu.usage.average","2014-03-27 01:30:00","11.25"
"cpu.usage.average","2014-03-27 01:00:00","8.07"
"cpu.usage.average","2014-03-27 00:30:00","8.64"
"cpu.usage.average","2014-03-27 00:00:00","8.06"
"cpu.usage.average","2014-03-26 23:30:00","8.48"
"cpu.usage.average","2014-03-26 23:00:00","11.99"
"cpu.usage.average","2014-03-26 22:30:00","8.91"
"cpu.usage.average","2014-03-26 22:00:00","8.89"
"cpu.usage.average","2014-03-26 21:30:00","8.7"
"cpu.usage.average","2014-03-26 21:00:00","8.55"
"cpu.usage.average","2014-03-26 20:30:00","11.54"
"cpu.usage.average","2014-03-26 20:00:00","9.09"
"cpu.usage.average","2014-03-26 19:30:00","8.5"
"cpu.usage.average","2014-03-26 19:00:00","9.02"
"cpu.usage.average","2014-03-26 18:30:00","8.59"
"cpu.usage.average","2014-03-26 18:00:00","11.38"
"cpu.usage.average","2014-03-26 17:30:00","8.82"
"cpu.usage.average","2014-03-26 17:00:00","8.46"
"cpu.usage.average","2014-03-26 16:30:00","8.82"
"cpu.usage.average","2014-03-26 16:00:00","8.18"
"cpu.usage.average","2014-03-26 15:30:00","8.28"
"mem.active.average","2014-03-28 14:00:00","543393"
"mem.active.average","2014-03-28 13:30:00","552714"
"mem.active.average","2014-03-28 13:00:00","593724"
"mem.active.average","2014-03-28 12:30:00","573219"
"mem.active.average","2014-03-28 12:00:00","523820"
"mem.active.average","2014-03-28 11:30:00","536868"
"mem.active.average","2014-03-28 11:00:00","545257"
"mem.active.average","2014-03-28 10:30:00","605841"
"mem.active.average","2014-03-28 10:00:00","566694"
"mem.active.average","2014-03-28 09:30:00","483741"
"mem.active.average","2014-03-28 09:00:00","575083"
"mem.active.average","2014-03-28 08:30:00","622619"
"mem.active.average","2014-03-28 08:00:00","628211"
"mem.active.average","2014-03-28 07:30:00","602113"
"mem.active.average","2014-03-28 07:00:00","426885"
"mem.active.average","2014-03-28 06:30:00","515431"
"mem.active.average","2014-03-28 06:00:00","554578"
"mem.active.average","2014-03-28 05:30:00","564831"
"mem.active.average","2014-03-28 05:00:00","562967"
"mem.active.average","2014-03-28 04:30:00","518227"
