"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","16.06"
"cpu.usage.average","2014-03-28 14:00:00","16.82"
"cpu.usage.average","2014-03-28 13:30:00","13.77"
"cpu.usage.average","2014-03-28 13:00:00","13.81"
"cpu.usage.average","2014-03-28 12:30:00","13.57"
"cpu.usage.average","2014-03-28 12:00:00","12.85"
"cpu.usage.average","2014-03-28 11:30:00","11.95"
"cpu.usage.average","2014-03-28 11:00:00","11.43"
"cpu.usage.average","2014-03-28 10:30:00","11.91"
"cpu.usage.average","2014-03-28 10:00:00","11.03"
"cpu.usage.average","2014-03-28 09:30:00","12.39"
"cpu.usage.average","2014-03-28 09:00:00","12.43"
"cpu.usage.average","2014-03-28 08:30:00","10.14"
"cpu.usage.average","2014-03-28 08:00:00","12.83"
"cpu.usage.average","2014-03-28 07:30:00","7.41"
"cpu.usage.average","2014-03-28 07:00:00","7.73"
"cpu.usage.average","2014-03-28 06:30:00","6.02"
"cpu.usage.average","2014-03-28 06:00:00","6.45"
"cpu.usage.average","2014-03-28 05:30:00","6.14"
"cpu.usage.average","2014-03-28 05:00:00","5.25"
"cpu.usage.average","2014-03-28 04:30:00","4.42"
"cpu.usage.average","2014-03-28 04:00:00","5.7"
"cpu.usage.average","2014-03-28 03:30:00","7.98"
"cpu.usage.average","2014-03-28 03:00:00","7.22"
"cpu.usage.average","2014-03-28 02:30:00","7.1"
"cpu.usage.average","2014-03-28 02:00:00","7.63"
"cpu.usage.average","2014-03-28 01:30:00","6.53"
"cpu.usage.average","2014-03-28 01:00:00","9.57"
"cpu.usage.average","2014-03-28 00:30:00","8.21"
"cpu.usage.average","2014-03-28 00:00:00","10.24"
"cpu.usage.average","2014-03-27 23:30:00","10.53"
"cpu.usage.average","2014-03-27 23:00:00","12.17"
"cpu.usage.average","2014-03-27 22:30:00","13.73"
"cpu.usage.average","2014-03-27 22:00:00","16.54"
"cpu.usage.average","2014-03-27 21:30:00","17.62"
"cpu.usage.average","2014-03-27 21:00:00","19.14"
"cpu.usage.average","2014-03-27 20:30:00","19.07"
"cpu.usage.average","2014-03-27 20:00:00","18.53"
"cpu.usage.average","2014-03-27 19:30:00","17.44"
"cpu.usage.average","2014-03-27 19:00:00","15.71"
"cpu.usage.average","2014-03-27 18:30:00","15.69"
"cpu.usage.average","2014-03-27 18:00:00","14.25"
"cpu.usage.average","2014-03-27 17:30:00","16"
"cpu.usage.average","2014-03-27 17:00:00","14.58"
"cpu.usage.average","2014-03-27 16:30:00","16.18"
"cpu.usage.average","2014-03-27 16:00:00","14.32"
"cpu.usage.average","2014-03-27 15:30:00","14.72"
"cpu.usage.average","2014-03-27 15:00:00","13.13"
"cpu.usage.average","2014-03-27 14:30:00","13.07"
"cpu.usage.average","2014-03-27 14:00:00","14.19"
"cpu.usage.average","2014-03-27 13:30:00","13.82"
"cpu.usage.average","2014-03-27 13:00:00","13.35"
"cpu.usage.average","2014-03-27 12:30:00","15.5"
"cpu.usage.average","2014-03-27 12:00:00","14.41"
"cpu.usage.average","2014-03-27 11:30:00","14.69"
"cpu.usage.average","2014-03-27 11:00:00","13.45"
"cpu.usage.average","2014-03-27 10:30:00","11.4"
"cpu.usage.average","2014-03-27 10:00:00","10.97"
"cpu.usage.average","2014-03-27 09:30:00","10.7"
"cpu.usage.average","2014-03-27 09:00:00","10.96"
"cpu.usage.average","2014-03-27 08:30:00","9.56"
"cpu.usage.average","2014-03-27 08:00:00","7.67"
"cpu.usage.average","2014-03-27 07:30:00","8.3"
"cpu.usage.average","2014-03-27 07:00:00","6.4"
"cpu.usage.average","2014-03-27 06:30:00","5.36"
"cpu.usage.average","2014-03-27 06:00:00","5.66"
"cpu.usage.average","2014-03-27 05:30:00","5.96"
"cpu.usage.average","2014-03-27 05:00:00","5.03"
"cpu.usage.average","2014-03-27 04:30:00","6.67"
"cpu.usage.average","2014-03-27 04:00:00","7.35"
"cpu.usage.average","2014-03-27 03:30:00","7.34"
"cpu.usage.average","2014-03-27 03:00:00","6.59"
"cpu.usage.average","2014-03-27 02:30:00","7.31"
"cpu.usage.average","2014-03-27 02:00:00","8.7"
"cpu.usage.average","2014-03-27 01:30:00","7.28"
"cpu.usage.average","2014-03-27 01:00:00","5.65"
"cpu.usage.average","2014-03-27 00:30:00","5.6"
"cpu.usage.average","2014-03-27 00:00:00","6.54"
"cpu.usage.average","2014-03-26 23:30:00","6.43"
"cpu.usage.average","2014-03-26 23:00:00","7.47"
"cpu.usage.average","2014-03-26 22:30:00","9.79"
"cpu.usage.average","2014-03-26 22:00:00","11.2"
"cpu.usage.average","2014-03-26 21:30:00","19.04"
"cpu.usage.average","2014-03-26 21:00:00","14.78"
"cpu.usage.average","2014-03-26 20:30:00","15.2"
"cpu.usage.average","2014-03-26 20:00:00","15.57"
"cpu.usage.average","2014-03-26 19:30:00","16.1"
"cpu.usage.average","2014-03-26 19:00:00","13.81"
"cpu.usage.average","2014-03-26 18:30:00","13.04"
"cpu.usage.average","2014-03-26 18:00:00","13.29"
"cpu.usage.average","2014-03-26 17:30:00","14.4"
"cpu.usage.average","2014-03-26 17:00:00","12.69"
"cpu.usage.average","2014-03-26 16:30:00","12.48"
"cpu.usage.average","2014-03-26 16:00:00","13.61"
"mem.active.average","2014-03-28 14:30:00","6203373"
"mem.active.average","2014-03-28 14:00:00","6571074"
"mem.active.average","2014-03-28 13:30:00","5755981"
"mem.active.average","2014-03-28 13:00:00","5916762"
"mem.active.average","2014-03-28 12:30:00","5772758"
"mem.active.average","2014-03-28 12:00:00","5356124"
"mem.active.average","2014-03-28 11:30:00","5393872"
"mem.active.average","2014-03-28 11:00:00","5042949"
"mem.active.average","2014-03-28 10:30:00","4998210"
"mem.active.average","2014-03-28 10:00:00","4827641"
"mem.active.average","2014-03-28 09:30:00","5557450"
"mem.active.average","2014-03-28 09:00:00","4731173"
"mem.active.average","2014-03-28 08:30:00","5339346"
"mem.active.average","2014-03-28 08:00:00","6162828"
"mem.active.average","2014-03-28 07:30:00","5054134"
"mem.active.average","2014-03-28 07:00:00","5184157"
"mem.active.average","2014-03-28 06:30:00","4141173"
"mem.active.average","2014-03-28 06:00:00","4529845"
"mem.active.average","2014-03-28 05:30:00","4423590"
"mem.active.average","2014-03-28 05:00:00","3758094"
"mem.active.average","2014-03-28 04:30:00","3449114"
"mem.active.average","2014-03-28 04:00:00","4458542"
"mem.active.average","2014-03-28 03:30:00","5030366"
"mem.active.average","2014-03-28 03:00:00","4227856"
"mem.active.average","2014-03-28 02:30:00","4129988"
"mem.active.average","2014-03-28 02:00:00","4468329"
"mem.active.average","2014-03-28 01:30:00","4174728"
"mem.active.average","2014-03-28 01:00:00","5312782"
"mem.active.average","2014-03-28 00:30:00","5129631"
"mem.active.average","2014-03-28 00:00:00","5291811"
"mem.active.average","2014-03-27 23:30:00","5002404"
"mem.active.average","2014-03-27 23:00:00","5811905"
"mem.active.average","2014-03-27 22:30:00","5536479"
"mem.active.average","2014-03-27 22:00:00","6471808"
"mem.active.average","2014-03-27 21:30:00","6429866"
"mem.active.average","2014-03-27 21:00:00","6631192"
"mem.active.average","2014-03-27 20:30:00","6431264"
"mem.active.average","2014-03-27 20:00:00","6292851"
"mem.active.average","2014-03-27 19:30:00","6125079"
"mem.active.average","2014-03-27 19:00:00","5923753"
"mem.active.average","2014-03-27 18:30:00","5953113"
"mem.active.average","2014-03-27 18:00:00","5767165"
