"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","14.66"
"cpu.usage.average","2014-03-28 13:30:00","10.88"
"cpu.usage.average","2014-03-28 13:00:00","9.2"
"cpu.usage.average","2014-03-28 12:30:00","9.87"
"cpu.usage.average","2014-03-28 12:00:00","10.91"
"cpu.usage.average","2014-03-28 11:30:00","13.04"
"cpu.usage.average","2014-03-28 11:00:00","12.66"
"cpu.usage.average","2014-03-28 10:30:00","16.5"
"cpu.usage.average","2014-03-28 10:00:00","11.61"
"cpu.usage.average","2014-03-28 09:30:00","8.44"
"cpu.usage.average","2014-03-28 09:00:00","9.35"
"cpu.usage.average","2014-03-28 08:30:00","11.27"
"cpu.usage.average","2014-03-28 08:00:00","10.36"
"cpu.usage.average","2014-03-28 07:30:00","6.35"
"cpu.usage.average","2014-03-28 07:00:00","5.05"
"cpu.usage.average","2014-03-28 06:30:00","6.85"
"cpu.usage.average","2014-03-28 06:00:00","8.69"
"cpu.usage.average","2014-03-28 05:30:00","5.72"
"cpu.usage.average","2014-03-28 05:00:00","5.65"
"cpu.usage.average","2014-03-28 04:30:00","6.23"
"cpu.usage.average","2014-03-28 04:00:00","11.02"
"cpu.usage.average","2014-03-28 03:30:00","18.82"
"cpu.usage.average","2014-03-28 03:00:00","19.39"
"cpu.usage.average","2014-03-28 02:30:00","17.73"
"cpu.usage.average","2014-03-28 02:00:00","10.71"
"cpu.usage.average","2014-03-28 01:30:00","8.61"
"cpu.usage.average","2014-03-28 01:00:00","10.46"
"cpu.usage.average","2014-03-28 00:30:00","10.96"
"cpu.usage.average","2014-03-28 00:00:00","6.52"
"cpu.usage.average","2014-03-27 23:30:00","7.45"
"cpu.usage.average","2014-03-27 23:00:00","6.65"
"cpu.usage.average","2014-03-27 22:30:00","9.5"
"cpu.usage.average","2014-03-27 22:00:00","12"
"cpu.usage.average","2014-03-27 21:30:00","9.4"
"cpu.usage.average","2014-03-27 21:00:00","7.2"
"cpu.usage.average","2014-03-27 20:30:00","9.76"
"cpu.usage.average","2014-03-27 20:00:00","10.12"
"cpu.usage.average","2014-03-27 19:30:00","10.79"
"cpu.usage.average","2014-03-27 19:00:00","9.11"
"cpu.usage.average","2014-03-27 18:30:00","12.02"
"cpu.usage.average","2014-03-27 18:00:00","10.78"
"cpu.usage.average","2014-03-27 17:30:00","11.88"
"cpu.usage.average","2014-03-27 17:00:00","9.14"
"cpu.usage.average","2014-03-27 16:30:00","10.29"
"cpu.usage.average","2014-03-27 16:00:00","9.04"
"cpu.usage.average","2014-03-27 15:30:00","9.54"
"cpu.usage.average","2014-03-27 15:00:00","10.51"
"cpu.usage.average","2014-03-27 14:30:00","10.03"
"cpu.usage.average","2014-03-27 14:00:00","10.06"
"cpu.usage.average","2014-03-27 13:30:00","8.33"
"cpu.usage.average","2014-03-27 13:00:00","11.43"
"cpu.usage.average","2014-03-27 12:30:00","9.76"
"cpu.usage.average","2014-03-27 12:00:00","12.95"
"cpu.usage.average","2014-03-27 11:30:00","13.7"
"cpu.usage.average","2014-03-27 11:00:00","10.99"
"cpu.usage.average","2014-03-27 10:30:00","11.15"
"cpu.usage.average","2014-03-27 10:00:00","10.49"
"cpu.usage.average","2014-03-27 09:30:00","10.96"
"cpu.usage.average","2014-03-27 09:00:00","13.28"
"cpu.usage.average","2014-03-27 08:30:00","9.84"
"cpu.usage.average","2014-03-27 08:00:00","7.9"
"cpu.usage.average","2014-03-27 07:30:00","5.45"
"cpu.usage.average","2014-03-27 07:00:00","6.4"
"cpu.usage.average","2014-03-27 06:30:00","4.97"
"cpu.usage.average","2014-03-27 06:00:00","6.59"
"cpu.usage.average","2014-03-27 05:30:00","5.5"
"cpu.usage.average","2014-03-27 05:00:00","8.46"
"cpu.usage.average","2014-03-27 04:30:00","9.69"
"cpu.usage.average","2014-03-27 04:00:00","11.34"
"cpu.usage.average","2014-03-27 03:30:00","18.42"
"cpu.usage.average","2014-03-27 03:00:00","17.97"
"cpu.usage.average","2014-03-27 02:30:00","15.52"
"cpu.usage.average","2014-03-27 02:00:00","11.82"
"cpu.usage.average","2014-03-27 01:30:00","10.47"
"cpu.usage.average","2014-03-27 01:00:00","8.15"
"cpu.usage.average","2014-03-27 00:30:00","9.27"
"cpu.usage.average","2014-03-27 00:00:00","7.16"
"cpu.usage.average","2014-03-26 23:30:00","8.83"
"cpu.usage.average","2014-03-26 23:00:00","15.94"
"cpu.usage.average","2014-03-26 22:30:00","16.05"
"cpu.usage.average","2014-03-26 22:00:00","16.27"
"cpu.usage.average","2014-03-26 21:30:00","12.86"
"cpu.usage.average","2014-03-26 21:00:00","9.36"
"cpu.usage.average","2014-03-26 20:30:00","8.48"
"cpu.usage.average","2014-03-26 20:00:00","9.5"
"cpu.usage.average","2014-03-26 19:30:00","8.98"
"cpu.usage.average","2014-03-26 19:00:00","10.09"
"cpu.usage.average","2014-03-26 18:30:00","10.73"
"cpu.usage.average","2014-03-26 18:00:00","10.91"
"cpu.usage.average","2014-03-26 17:30:00","9.51"
"cpu.usage.average","2014-03-26 17:00:00","12.35"
"cpu.usage.average","2014-03-26 16:30:00","11.88"
"cpu.usage.average","2014-03-26 16:00:00","10"
"cpu.usage.average","2014-03-26 15:30:00","10.53"
"mem.active.average","2014-03-28 14:00:00","2603728"
"mem.active.average","2014-03-28 13:30:00","2280300"
"mem.active.average","2014-03-28 13:00:00","1975048"
"mem.active.average","2014-03-28 12:30:00","2141888"
