"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","17.12"
"cpu.usage.average","2014-03-28 14:00:00","15.87"
"cpu.usage.average","2014-03-28 13:30:00","15.33"
"cpu.usage.average","2014-03-28 13:00:00","15.09"
"cpu.usage.average","2014-03-28 12:30:00","15.4"
"cpu.usage.average","2014-03-28 12:00:00","15.49"
"cpu.usage.average","2014-03-28 11:30:00","15.09"
"cpu.usage.average","2014-03-28 11:00:00","13.97"
"cpu.usage.average","2014-03-28 10:30:00","14.24"
"cpu.usage.average","2014-03-28 10:00:00","13.5"
"cpu.usage.average","2014-03-28 09:30:00","13.69"
"cpu.usage.average","2014-03-28 09:00:00","11.28"
"cpu.usage.average","2014-03-28 08:30:00","11.25"
"cpu.usage.average","2014-03-28 08:00:00","10.33"
"cpu.usage.average","2014-03-28 07:30:00","9.73"
"cpu.usage.average","2014-03-28 07:00:00","8.34"
"cpu.usage.average","2014-03-28 06:30:00","6.12"
"cpu.usage.average","2014-03-28 06:00:00","4.71"
"cpu.usage.average","2014-03-28 05:30:00","4.52"
"cpu.usage.average","2014-03-28 05:00:00","4.51"
"cpu.usage.average","2014-03-28 04:30:00","4.39"
"cpu.usage.average","2014-03-28 04:00:00","4.33"
"cpu.usage.average","2014-03-28 03:30:00","4.28"
"cpu.usage.average","2014-03-28 03:00:00","5.04"
"cpu.usage.average","2014-03-28 02:30:00","5.21"
"cpu.usage.average","2014-03-28 02:00:00","5.85"
"cpu.usage.average","2014-03-28 01:30:00","7.19"
"cpu.usage.average","2014-03-28 01:00:00","7.89"
"cpu.usage.average","2014-03-28 00:30:00","8.3"
"cpu.usage.average","2014-03-28 00:00:00","10.42"
"cpu.usage.average","2014-03-27 23:30:00","15.07"
"cpu.usage.average","2014-03-27 23:00:00","19.58"
"cpu.usage.average","2014-03-27 22:30:00","22.07"
"cpu.usage.average","2014-03-27 22:00:00","23.89"
"cpu.usage.average","2014-03-27 21:30:00","26.26"
"cpu.usage.average","2014-03-27 21:00:00","27.63"
"cpu.usage.average","2014-03-27 20:30:00","26.09"
"cpu.usage.average","2014-03-27 20:00:00","25.6"
"cpu.usage.average","2014-03-27 19:30:00","24.24"
"cpu.usage.average","2014-03-27 19:00:00","23.19"
"cpu.usage.average","2014-03-27 18:30:00","23.07"
"cpu.usage.average","2014-03-27 18:00:00","22.77"
"cpu.usage.average","2014-03-27 17:30:00","30.13"
"cpu.usage.average","2014-03-27 17:00:00","20.8"
"cpu.usage.average","2014-03-27 16:30:00","37.79"
"cpu.usage.average","2014-03-27 16:00:00","29.08"
"cpu.usage.average","2014-03-27 15:30:00","27.83"
"cpu.usage.average","2014-03-27 15:00:00","18.79"
"cpu.usage.average","2014-03-27 14:30:00","17.5"
"cpu.usage.average","2014-03-27 14:00:00","17.37"
"cpu.usage.average","2014-03-27 13:30:00","16.7"
"cpu.usage.average","2014-03-27 13:00:00","17.1"
"cpu.usage.average","2014-03-27 12:30:00","16.21"
"cpu.usage.average","2014-03-27 12:00:00","15.22"
"cpu.usage.average","2014-03-27 11:30:00","16.14"
"cpu.usage.average","2014-03-27 11:00:00","17.06"
"cpu.usage.average","2014-03-27 10:30:00","26.05"
"cpu.usage.average","2014-03-27 10:00:00","28.62"
"cpu.usage.average","2014-03-27 09:30:00","24.31"
"cpu.usage.average","2014-03-27 09:00:00","22.98"
"cpu.usage.average","2014-03-27 08:30:00","19.77"
"cpu.usage.average","2014-03-27 08:00:00","16.64"
"cpu.usage.average","2014-03-27 07:30:00","14.22"
"cpu.usage.average","2014-03-27 07:00:00","11.38"
"cpu.usage.average","2014-03-27 06:30:00","8.49"
"cpu.usage.average","2014-03-27 06:00:00","6.54"
"cpu.usage.average","2014-03-27 05:30:00","5.48"
"cpu.usage.average","2014-03-27 05:00:00","5.12"
"cpu.usage.average","2014-03-27 04:30:00","5.21"
"cpu.usage.average","2014-03-27 04:00:00","5.02"
"cpu.usage.average","2014-03-27 03:30:00","5.49"
"cpu.usage.average","2014-03-27 03:00:00","6.22"
"cpu.usage.average","2014-03-27 02:30:00","6.83"
"cpu.usage.average","2014-03-27 02:00:00","7.63"
"cpu.usage.average","2014-03-27 01:30:00","9.38"
"cpu.usage.average","2014-03-27 01:00:00","11.13"
"cpu.usage.average","2014-03-27 00:30:00","11.25"
"cpu.usage.average","2014-03-27 00:00:00","13.01"
"cpu.usage.average","2014-03-26 23:30:00","17.18"
"cpu.usage.average","2014-03-26 23:00:00","16.09"
"cpu.usage.average","2014-03-26 22:30:00","17.95"
"cpu.usage.average","2014-03-26 22:00:00","19.04"
"cpu.usage.average","2014-03-26 21:30:00","18.06"
"cpu.usage.average","2014-03-26 21:00:00","17.64"
"cpu.usage.average","2014-03-26 20:30:00","17.28"
"cpu.usage.average","2014-03-26 20:00:00","18.18"
"cpu.usage.average","2014-03-26 19:30:00","17.67"
"cpu.usage.average","2014-03-26 19:00:00","18.08"
"cpu.usage.average","2014-03-26 18:30:00","17.48"
"cpu.usage.average","2014-03-26 18:00:00","17.99"
