"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","1.53"
"cpu.usage.average","2014-03-28 14:00:00","1.41"
"cpu.usage.average","2014-03-28 13:30:00","1.42"
"cpu.usage.average","2014-03-28 13:00:00","1.43"
"cpu.usage.average","2014-03-28 12:30:00","1.43"
"cpu.usage.average","2014-03-28 12:00:00","1.44"
"cpu.usage.average","2014-03-28 11:30:00","1.42"
"cpu.usage.average","2014-03-28 11:00:00","1.39"
"cpu.usage.average","2014-03-28 10:30:00","1.55"
"cpu.usage.average","2014-03-28 10:00:00","1.43"
"cpu.usage.average","2014-03-28 09:30:00","1.39"
"cpu.usage.average","2014-03-28 09:00:00","0.78"
"cpu.usage.average","2014-03-28 08:30:00","1.68"
"cpu.usage.average","2014-03-28 08:00:00","1.39"
"cpu.usage.average","2014-03-28 07:30:00","1.5"
"cpu.usage.average","2014-03-28 07:00:00","0.78"
"cpu.usage.average","2014-03-28 06:30:00","0.77"
"cpu.usage.average","2014-03-28 06:00:00","0.78"
"cpu.usage.average","2014-03-28 05:30:00","1.39"
"cpu.usage.average","2014-03-28 05:00:00","1.4"
"cpu.usage.average","2014-03-28 04:30:00","1.4"
"cpu.usage.average","2014-03-28 04:00:00","1.43"
"cpu.usage.average","2014-03-28 03:30:00","1.41"
"cpu.usage.average","2014-03-28 03:00:00","1.58"
"cpu.usage.average","2014-03-28 02:30:00","1.54"
"cpu.usage.average","2014-03-28 02:00:00","1.39"
"cpu.usage.average","2014-03-28 01:30:00","1.4"
"cpu.usage.average","2014-03-28 01:00:00","1.38"
"cpu.usage.average","2014-03-28 00:30:00","1.42"
"cpu.usage.average","2014-03-28 00:00:00","1.4"
"cpu.usage.average","2014-03-27 23:30:00","1.45"
"cpu.usage.average","2014-03-27 23:00:00","1.42"
"cpu.usage.average","2014-03-27 22:30:00","1.53"
"cpu.usage.average","2014-03-27 22:00:00","1.42"
"cpu.usage.average","2014-03-27 21:30:00","1.44"
"cpu.usage.average","2014-03-27 21:00:00","1.44"
"cpu.usage.average","2014-03-27 20:30:00","1.45"
"cpu.usage.average","2014-03-27 20:00:00","1.46"
"cpu.usage.average","2014-03-27 19:30:00","1.45"
"cpu.usage.average","2014-03-27 19:00:00","1.48"
"cpu.usage.average","2014-03-27 18:30:00","1.61"
"cpu.usage.average","2014-03-27 18:00:00","17.32"
"cpu.usage.average","2014-03-27 17:30:00","42"
"cpu.usage.average","2014-03-27 17:00:00","27.07"
"cpu.usage.average","2014-03-27 16:30:00","4.52"
"cpu.usage.average","2014-03-27 16:00:00","22.04"
"cpu.usage.average","2014-03-27 15:30:00","56.74"
"cpu.usage.average","2014-03-27 15:00:00","41.85"
"cpu.usage.average","2014-03-27 14:30:00","43.55"
"cpu.usage.average","2014-03-27 14:00:00","42.45"
"cpu.usage.average","2014-03-27 13:30:00","39.41"
"cpu.usage.average","2014-03-27 13:00:00","43.03"
"cpu.usage.average","2014-03-27 12:30:00","44.11"
"cpu.usage.average","2014-03-27 12:00:00","45.47"
"cpu.usage.average","2014-03-27 11:30:00","43.9"
"cpu.usage.average","2014-03-27 11:00:00","43.35"
"cpu.usage.average","2014-03-27 10:30:00","43.03"
"cpu.usage.average","2014-03-27 10:00:00","45.54"
"cpu.usage.average","2014-03-27 09:30:00","45.38"
"cpu.usage.average","2014-03-27 09:00:00","45.65"
"cpu.usage.average","2014-03-27 08:30:00","45.05"
"cpu.usage.average","2014-03-27 08:00:00","40.67"
"cpu.usage.average","2014-03-27 07:30:00","33.16"
"cpu.usage.average","2014-03-27 07:00:00","28"
"cpu.usage.average","2014-03-27 06:30:00","19.41"
"cpu.usage.average","2014-03-27 06:00:00","14.61"
"cpu.usage.average","2014-03-27 05:30:00","12.86"
"cpu.usage.average","2014-03-27 05:00:00","11.55"
"cpu.usage.average","2014-03-27 04:30:00","11.11"
"cpu.usage.average","2014-03-27 04:00:00","11.15"
"cpu.usage.average","2014-03-27 03:30:00","11.84"
"cpu.usage.average","2014-03-27 03:00:00","13.58"
"cpu.usage.average","2014-03-27 02:30:00","22.89"
"cpu.usage.average","2014-03-27 02:00:00","42.7"
"cpu.usage.average","2014-03-27 01:30:00","38.12"
"cpu.usage.average","2014-03-27 01:00:00","39.56"
"cpu.usage.average","2014-03-27 00:30:00","40.73"
"cpu.usage.average","2014-03-27 00:00:00","40.23"
"cpu.usage.average","2014-03-26 23:30:00","42.15"
"cpu.usage.average","2014-03-26 23:00:00","39.06"
"cpu.usage.average","2014-03-26 22:30:00","42.4"
"cpu.usage.average","2014-03-26 22:00:00","42.27"
"cpu.usage.average","2014-03-26 21:30:00","41.94"
"cpu.usage.average","2014-03-26 21:00:00","42.51"
"cpu.usage.average","2014-03-26 20:30:00","41.5"
"cpu.usage.average","2014-03-26 20:00:00","41.72"
"cpu.usage.average","2014-03-26 19:30:00","42.97"
"cpu.usage.average","2014-03-26 19:00:00","42.31"
"cpu.usage.average","2014-03-26 18:30:00","42.35"
"cpu.usage.average","2014-03-26 18:00:00","41.84"
"cpu.usage.average","2014-03-26 17:30:00","41.34"
"cpu.usage.average","2014-03-26 17:00:00","42.58"
"cpu.usage.average","2014-03-26 16:30:00","43.31"
"cpu.usage.average","2014-03-26 16:00:00","42.91"
"mem.active.average","2014-03-28 14:30:00","391467"
"mem.active.average","2014-03-28 14:00:00","268435"
"mem.active.average","2014-03-28 13:30:00","354184"
"mem.active.average","2014-03-28 13:00:00","274027"
"mem.active.average","2014-03-28 12:30:00","333679"
"mem.active.average","2014-03-28 12:00:00","348592"
"mem.active.average","2014-03-28 11:30:00","253521"
"mem.active.average","2014-03-28 11:00:00","264706"
"mem.active.average","2014-03-28 10:30:00","413837"
"mem.active.average","2014-03-28 10:00:00","240472"
"mem.active.average","2014-03-28 09:30:00","378418"
"mem.active.average","2014-03-28 09:00:00","380282"
"mem.active.average","2014-03-28 08:30:00","276823"
"mem.active.average","2014-03-28 08:00:00","268434"
"mem.active.average","2014-03-28 07:30:00","287076"
