"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","3.21"
"cpu.usage.average","2014-03-28 14:00:00","3.14"
"cpu.usage.average","2014-03-28 13:30:00","3.11"
"cpu.usage.average","2014-03-28 13:00:00","3.16"
"cpu.usage.average","2014-03-28 12:30:00","3.12"
"cpu.usage.average","2014-03-28 12:00:00","3.15"
"cpu.usage.average","2014-03-28 11:30:00","3.21"
"cpu.usage.average","2014-03-28 11:00:00","3.13"
"cpu.usage.average","2014-03-28 10:30:00","3.05"
"cpu.usage.average","2014-03-28 10:00:00","2.97"
"cpu.usage.average","2014-03-28 09:30:00","2.86"
"cpu.usage.average","2014-03-28 09:00:00","2.11"
"cpu.usage.average","2014-03-28 08:30:00","2.66"
"cpu.usage.average","2014-03-28 08:00:00","2.52"
"cpu.usage.average","2014-03-28 07:30:00","2.75"
"cpu.usage.average","2014-03-28 07:00:00","2.26"
"cpu.usage.average","2014-03-28 06:30:00","1.46"
"cpu.usage.average","2014-03-28 06:00:00","1.32"
"cpu.usage.average","2014-03-28 05:30:00","1.87"
"cpu.usage.average","2014-03-28 05:00:00","1.83"
"cpu.usage.average","2014-03-28 04:30:00","1.73"
"cpu.usage.average","2014-03-28 04:00:00","1.8"
"cpu.usage.average","2014-03-28 03:30:00","1.82"
"cpu.usage.average","2014-03-28 03:00:00","1.9"
"cpu.usage.average","2014-03-28 02:30:00","1.94"
"cpu.usage.average","2014-03-28 02:00:00","2"
"cpu.usage.average","2014-03-28 01:30:00","2.1"
"cpu.usage.average","2014-03-28 01:00:00","2.24"
"cpu.usage.average","2014-03-28 00:30:00","2.35"
"cpu.usage.average","2014-03-28 00:00:00","2.57"
"cpu.usage.average","2014-03-27 23:30:00","3.1"
"cpu.usage.average","2014-03-27 23:00:00","3.52"
"cpu.usage.average","2014-03-27 22:30:00","3.91"
"cpu.usage.average","2014-03-27 22:00:00","4.24"
"cpu.usage.average","2014-03-27 21:30:00","4.62"
"cpu.usage.average","2014-03-27 21:00:00","4.67"
"cpu.usage.average","2014-03-27 20:30:00","4.89"
"cpu.usage.average","2014-03-27 20:00:00","4.51"
"cpu.usage.average","2014-03-27 19:30:00","4.31"
"cpu.usage.average","2014-03-27 19:00:00","4.13"
"cpu.usage.average","2014-03-27 18:30:00","4.11"
"cpu.usage.average","2014-03-27 18:00:00","4.09"
"cpu.usage.average","2014-03-27 17:30:00","6.47"
"cpu.usage.average","2014-03-27 17:00:00","2.62"
"cpu.usage.average","2014-03-27 16:30:00","7.6"
"cpu.usage.average","2014-03-27 16:00:00","6.84"
"cpu.usage.average","2014-03-27 15:30:00","11.47"
"cpu.usage.average","2014-03-27 15:00:00","5.41"
"cpu.usage.average","2014-03-27 14:30:00","4.05"
"cpu.usage.average","2014-03-27 14:00:00","4.13"
"cpu.usage.average","2014-03-27 13:30:00","3.86"
"cpu.usage.average","2014-03-27 13:00:00","4.01"
"cpu.usage.average","2014-03-27 12:30:00","3.83"
"cpu.usage.average","2014-03-27 12:00:00","3.44"
"cpu.usage.average","2014-03-27 11:30:00","3.39"
"cpu.usage.average","2014-03-27 11:00:00","4.2"
"cpu.usage.average","2014-03-27 10:30:00","5.96"
"cpu.usage.average","2014-03-27 10:00:00","5.21"
"cpu.usage.average","2014-03-27 09:30:00","5.03"
"cpu.usage.average","2014-03-27 09:00:00","4.78"
"cpu.usage.average","2014-03-27 08:30:00","4.51"
"cpu.usage.average","2014-03-27 08:00:00","3.66"
"cpu.usage.average","2014-03-27 07:30:00","3.33"
"cpu.usage.average","2014-03-27 07:00:00","3"
"cpu.usage.average","2014-03-27 06:30:00","2.05"
"cpu.usage.average","2014-03-27 06:00:00","1.75"
"cpu.usage.average","2014-03-27 05:30:00","2.18"
"cpu.usage.average","2014-03-27 05:00:00","2.04"
"cpu.usage.average","2014-03-27 04:30:00","2.06"
"cpu.usage.average","2014-03-27 04:00:00","2.1"
"cpu.usage.average","2014-03-27 03:30:00","2.12"
"cpu.usage.average","2014-03-27 03:00:00","2.28"
"cpu.usage.average","2014-03-27 02:30:00","2.42"
"cpu.usage.average","2014-03-27 02:00:00","2.55"
"cpu.usage.average","2014-03-27 01:30:00","2.6"
"cpu.usage.average","2014-03-27 01:00:00","3.03"
"cpu.usage.average","2014-03-27 00:30:00","3.19"
"cpu.usage.average","2014-03-27 00:00:00","3.31"
"cpu.usage.average","2014-03-26 23:30:00","4.4"
"cpu.usage.average","2014-03-26 23:00:00","4"
"cpu.usage.average","2014-03-26 22:30:00","3.34"
"cpu.usage.average","2014-03-26 22:00:00","4.04"
"cpu.usage.average","2014-03-26 21:30:00","4.65"
"cpu.usage.average","2014-03-26 21:00:00","4.32"
"cpu.usage.average","2014-03-26 20:30:00","4.1"
"cpu.usage.average","2014-03-26 20:00:00","4.59"
"cpu.usage.average","2014-03-26 19:30:00","4.15"
"cpu.usage.average","2014-03-26 19:00:00","4.08"
"cpu.usage.average","2014-03-26 18:30:00","4.12"
"cpu.usage.average","2014-03-26 18:00:00","4.14"
"cpu.usage.average","2014-03-26 17:30:00","3.85"
"cpu.usage.average","2014-03-26 17:00:00","4.69"
"cpu.usage.average","2014-03-26 16:30:00","4.65"
"cpu.usage.average","2014-03-26 16:00:00","4.49"
"mem.active.average","2014-03-28 14:30:00","5614773"
"mem.active.average","2014-03-28 14:00:00","5596131"
"mem.active.average","2014-03-28 13:30:00","5536479"
"mem.active.average","2014-03-28 13:00:00","5547664"
"mem.active.average","2014-03-28 12:30:00","5838469"
"mem.active.average","2014-03-28 12:00:00","5592403"
"mem.active.average","2014-03-28 11:30:00","5622229"
"mem.active.average","2014-03-28 11:00:00","5939132"
"mem.active.average","2014-03-28 10:30:00","5506653"
