"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","49.01"
"cpu.usage.average","2014-03-28 13:30:00","50.05"
"cpu.usage.average","2014-03-28 13:00:00","48.47"
"cpu.usage.average","2014-03-28 12:30:00","48.3"
"cpu.usage.average","2014-03-28 12:00:00","50.05"
"cpu.usage.average","2014-03-28 11:30:00","49.39"
"cpu.usage.average","2014-03-28 11:00:00","52.72"
"cpu.usage.average","2014-03-28 10:30:00","51.38"
"cpu.usage.average","2014-03-28 10:00:00","48.15"
"cpu.usage.average","2014-03-28 09:30:00","50.35"
"cpu.usage.average","2014-03-28 09:00:00","47.41"
"cpu.usage.average","2014-03-28 08:30:00","49.9"
"cpu.usage.average","2014-03-28 08:00:00","53.52"
"cpu.usage.average","2014-03-28 07:30:00","48.2"
"cpu.usage.average","2014-03-28 07:00:00","46.98"
"cpu.usage.average","2014-03-28 06:30:00","43.48"
"cpu.usage.average","2014-03-28 06:00:00","43.41"
"cpu.usage.average","2014-03-28 05:30:00","43.78"
"cpu.usage.average","2014-03-28 05:00:00","43.48"
"cpu.usage.average","2014-03-28 04:30:00","43.48"
"cpu.usage.average","2014-03-28 04:00:00","44.13"
"cpu.usage.average","2014-03-28 03:30:00","43.51"
"cpu.usage.average","2014-03-28 03:00:00","44.25"
"cpu.usage.average","2014-03-28 02:30:00","44.37"
"cpu.usage.average","2014-03-28 02:00:00","44.53"
"cpu.usage.average","2014-03-28 01:30:00","44.89"
"cpu.usage.average","2014-03-28 01:00:00","44.24"
"cpu.usage.average","2014-03-28 00:30:00","44.81"
"cpu.usage.average","2014-03-28 00:00:00","44.61"
"cpu.usage.average","2014-03-27 23:30:00","46.72"
"cpu.usage.average","2014-03-27 23:00:00","46.68"
"cpu.usage.average","2014-03-27 22:30:00","46.97"
"cpu.usage.average","2014-03-27 22:00:00","46.93"
"cpu.usage.average","2014-03-27 21:30:00","47.57"
"cpu.usage.average","2014-03-27 21:00:00","47.78"
"cpu.usage.average","2014-03-27 20:30:00","49.48"
"cpu.usage.average","2014-03-27 20:00:00","47.76"
"cpu.usage.average","2014-03-27 19:30:00","47.28"
"cpu.usage.average","2014-03-27 19:00:00","54.38"
"cpu.usage.average","2014-03-27 18:30:00","49.4"
"cpu.usage.average","2014-03-27 18:00:00","47"
"cpu.usage.average","2014-03-27 17:30:00","47.71"
"cpu.usage.average","2014-03-27 17:00:00","46.43"
"cpu.usage.average","2014-03-27 16:30:00","49.3"
"cpu.usage.average","2014-03-27 16:00:00","48.23"
"cpu.usage.average","2014-03-27 15:30:00","49.04"
"cpu.usage.average","2014-03-27 15:00:00","49.75"
"cpu.usage.average","2014-03-27 14:30:00","21.92"
"cpu.usage.average","2014-03-27 14:00:00","12.06"
"cpu.usage.average","2014-03-27 13:30:00","1.9"
"cpu.usage.average","2014-03-27 13:00:00","1.96"
"cpu.usage.average","2014-03-27 12:30:00","1.93"
"cpu.usage.average","2014-03-27 12:00:00","1.9"
"cpu.usage.average","2014-03-27 11:30:00","1.88"
"cpu.usage.average","2014-03-27 11:00:00","1.82"
"cpu.usage.average","2014-03-27 10:30:00","2.05"
"cpu.usage.average","2014-03-27 10:00:00","1.96"
"cpu.usage.average","2014-03-27 09:30:00","1.91"
"cpu.usage.average","2014-03-27 09:00:00","1.92"
"cpu.usage.average","2014-03-27 08:30:00","1.94"
"cpu.usage.average","2014-03-27 08:00:00","2.59"
"cpu.usage.average","2014-03-27 07:30:00","1.99"
"cpu.usage.average","2014-03-27 07:00:00","1.27"
"cpu.usage.average","2014-03-27 06:30:00","1.25"
"cpu.usage.average","2014-03-27 06:00:00","1.25"
"cpu.usage.average","2014-03-27 05:30:00","2.09"
"cpu.usage.average","2014-03-27 05:00:00","1.71"
"cpu.usage.average","2014-03-27 04:30:00","1.91"
"cpu.usage.average","2014-03-27 04:00:00","1.96"
"cpu.usage.average","2014-03-27 03:30:00","2.03"
"cpu.usage.average","2014-03-27 03:00:00","1.86"
"cpu.usage.average","2014-03-27 02:30:00","2.03"
"cpu.usage.average","2014-03-27 02:00:00","1.96"
"cpu.usage.average","2014-03-27 01:30:00","1.9"
"cpu.usage.average","2014-03-27 01:00:00","1.92"
"cpu.usage.average","2014-03-27 00:30:00","1.88"
"cpu.usage.average","2014-03-27 00:00:00","1.88"
"cpu.usage.average","2014-03-26 23:30:00","1.9"
"cpu.usage.average","2014-03-26 23:00:00","1.87"
"cpu.usage.average","2014-03-26 22:30:00","2.22"
"cpu.usage.average","2014-03-26 22:00:00","1.71"
"cpu.usage.average","2014-03-26 21:30:00","1.91"
"cpu.usage.average","2014-03-26 21:00:00","2.13"
"cpu.usage.average","2014-03-26 20:30:00","1.92"
"cpu.usage.average","2014-03-26 20:00:00","1.92"
"cpu.usage.average","2014-03-26 19:30:00","1.89"
"cpu.usage.average","2014-03-26 19:00:00","1.88"
"cpu.usage.average","2014-03-26 18:30:00","2.04"
"cpu.usage.average","2014-03-26 18:00:00","1.9"
"cpu.usage.average","2014-03-26 17:30:00","1.68"
"cpu.usage.average","2014-03-26 17:00:00","1.9"
"cpu.usage.average","2014-03-26 16:30:00","1.88"
"cpu.usage.average","2014-03-26 16:00:00","1.95"
"cpu.usage.average","2014-03-26 15:30:00","1.9"
"mem.active.average","2014-03-28 14:00:00","1520200"
"mem.active.average","2014-03-28 13:30:00","1554220"
"mem.active.average","2014-03-28 13:00:00","1570997"
"mem.active.average","2014-03-28 12:30:00","1629717"
"mem.active.average","2014-03-28 12:00:00","1556550"
"mem.active.average","2014-03-28 11:30:00","1569133"
