"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 15:30:00","11.4"
"cpu.usage.average","2014-03-28 15:00:00","11.39"
"cpu.usage.average","2014-03-28 14:30:00","11.36"
"cpu.usage.average","2014-03-28 14:00:00","11.38"
"cpu.usage.average","2014-03-28 13:30:00","11.02"
"cpu.usage.average","2014-03-28 13:00:00","11"
"cpu.usage.average","2014-03-28 12:30:00","10.99"
"cpu.usage.average","2014-03-28 12:00:00","10.21"
"cpu.usage.average","2014-03-28 11:30:00","9.94"
"cpu.usage.average","2014-03-28 11:00:00","9.72"
"cpu.usage.average","2014-03-28 10:30:00","9.68"
"cpu.usage.average","2014-03-28 10:00:00","9.57"
"cpu.usage.average","2014-03-28 09:30:00","9.44"
"cpu.usage.average","2014-03-28 09:00:00","9.76"
"cpu.usage.average","2014-03-28 08:30:00","8.54"
"cpu.usage.average","2014-03-28 08:00:00","8.41"
"cpu.usage.average","2014-03-28 07:30:00","8.53"
"cpu.usage.average","2014-03-28 07:00:00","7.67"
"cpu.usage.average","2014-03-28 06:30:00","5.78"
"cpu.usage.average","2014-03-28 06:00:00","4.49"
"cpu.usage.average","2014-03-28 05:30:00","4.04"
"cpu.usage.average","2014-03-28 05:00:00","3.67"
"cpu.usage.average","2014-03-28 04:30:00","3.56"
"cpu.usage.average","2014-03-28 04:00:00","3.71"
"cpu.usage.average","2014-03-28 03:30:00","4.05"
"cpu.usage.average","2014-03-28 03:00:00","4.45"
"cpu.usage.average","2014-03-28 02:30:00","4.9"
"cpu.usage.average","2014-03-28 02:00:00","5.66"
"cpu.usage.average","2014-03-28 01:30:00","6.61"
"cpu.usage.average","2014-03-28 01:00:00","8.13"
"cpu.usage.average","2014-03-28 00:30:00","9.83"
"cpu.usage.average","2014-03-28 00:00:00","11.92"
"cpu.usage.average","2014-03-27 23:30:00","14.5"
"cpu.usage.average","2014-03-27 23:00:00","17.18"
"cpu.usage.average","2014-03-27 22:30:00","19.51"
"cpu.usage.average","2014-03-27 22:00:00","20.95"
"cpu.usage.average","2014-03-27 21:30:00","21.38"
"cpu.usage.average","2014-03-27 21:00:00","21.28"
"cpu.usage.average","2014-03-27 20:30:00","20.6"
