"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","20.04"
"cpu.usage.average","2014-03-28 14:00:00","23.06"
"cpu.usage.average","2014-03-28 13:30:00","23.68"
"cpu.usage.average","2014-03-28 13:00:00","23.9"
"cpu.usage.average","2014-03-28 12:30:00","22.66"
"cpu.usage.average","2014-03-28 12:00:00","21.57"
"cpu.usage.average","2014-03-28 11:30:00","21.37"
"cpu.usage.average","2014-03-28 11:00:00","21.58"
"cpu.usage.average","2014-03-28 10:30:00","20.34"
"cpu.usage.average","2014-03-28 10:00:00","20.47"
"cpu.usage.average","2014-03-28 09:30:00","19.4"
"cpu.usage.average","2014-03-28 09:00:00","20.25"
"cpu.usage.average","2014-03-28 08:30:00","20.23"
"cpu.usage.average","2014-03-28 08:00:00","15.29"
"cpu.usage.average","2014-03-28 07:30:00","16.48"
"cpu.usage.average","2014-03-28 07:00:00","16.04"
"cpu.usage.average","2014-03-28 06:30:00","14.43"
"cpu.usage.average","2014-03-28 06:00:00","12.52"
"cpu.usage.average","2014-03-28 05:30:00","8.56"
"cpu.usage.average","2014-03-28 05:00:00","8.5"
"cpu.usage.average","2014-03-28 04:30:00","13.52"
"cpu.usage.average","2014-03-28 04:00:00","17.05"
"cpu.usage.average","2014-03-28 03:30:00","16.8"
"cpu.usage.average","2014-03-28 03:00:00","17.62"
"cpu.usage.average","2014-03-28 02:30:00","16.02"
"cpu.usage.average","2014-03-28 02:00:00","15.61"
"cpu.usage.average","2014-03-28 01:30:00","18.57"
"cpu.usage.average","2014-03-28 01:00:00","18.55"
"cpu.usage.average","2014-03-28 00:30:00","18.59"
"cpu.usage.average","2014-03-28 00:00:00","20.29"
"cpu.usage.average","2014-03-27 23:30:00","23.92"
"cpu.usage.average","2014-03-27 23:00:00","29.52"
"cpu.usage.average","2014-03-27 22:30:00","34.21"
"cpu.usage.average","2014-03-27 22:00:00","36.51"
"cpu.usage.average","2014-03-27 21:30:00","35.15"
"cpu.usage.average","2014-03-27 21:00:00","34.41"
"cpu.usage.average","2014-03-27 20:30:00","32.62"
"cpu.usage.average","2014-03-27 20:00:00","31.67"
"cpu.usage.average","2014-03-27 19:30:00","30.67"
"cpu.usage.average","2014-03-27 19:00:00","28.36"
"cpu.usage.average","2014-03-27 18:30:00","28.69"
"cpu.usage.average","2014-03-27 18:00:00","27.37"
"cpu.usage.average","2014-03-27 17:30:00","25.06"
"cpu.usage.average","2014-03-27 17:00:00","22.64"
"cpu.usage.average","2014-03-27 16:30:00","21.5"
"cpu.usage.average","2014-03-27 16:00:00","21.45"
"cpu.usage.average","2014-03-27 15:30:00","21.42"
"cpu.usage.average","2014-03-27 15:00:00","20.14"
"cpu.usage.average","2014-03-27 14:30:00","19.11"
"cpu.usage.average","2014-03-27 14:00:00","19.33"
"cpu.usage.average","2014-03-27 13:30:00","21.43"
"cpu.usage.average","2014-03-27 13:00:00","22.58"
"cpu.usage.average","2014-03-27 12:30:00","20.02"
"cpu.usage.average","2014-03-27 12:00:00","15.07"
"cpu.usage.average","2014-03-27 11:30:00","13"
"cpu.usage.average","2014-03-27 11:00:00","12.78"
"cpu.usage.average","2014-03-27 10:30:00","12.68"
"cpu.usage.average","2014-03-27 10:00:00","13.01"
"cpu.usage.average","2014-03-27 09:30:00","13.07"
"cpu.usage.average","2014-03-27 09:00:00","13.18"
"cpu.usage.average","2014-03-27 08:30:00","10.74"
"cpu.usage.average","2014-03-27 08:00:00","12.2"
"cpu.usage.average","2014-03-27 07:30:00","14.93"
"cpu.usage.average","2014-03-27 07:00:00","20.19"
"cpu.usage.average","2014-03-27 06:30:00","23.59"
"cpu.usage.average","2014-03-27 06:00:00","18.81"
"cpu.usage.average","2014-03-27 05:30:00","11.36"
"cpu.usage.average","2014-03-27 05:00:00","11.16"
"cpu.usage.average","2014-03-27 04:30:00","15.72"
"cpu.usage.average","2014-03-27 04:00:00","19.47"
"cpu.usage.average","2014-03-27 03:30:00","18.63"
"cpu.usage.average","2014-03-27 03:00:00","16.67"
"cpu.usage.average","2014-03-27 02:30:00","15.08"
"cpu.usage.average","2014-03-27 02:00:00","15.19"
"cpu.usage.average","2014-03-27 01:30:00","16.41"
"cpu.usage.average","2014-03-27 01:00:00","18.67"
"cpu.usage.average","2014-03-27 00:30:00","19.51"
"cpu.usage.average","2014-03-27 00:00:00","22.93"
"cpu.usage.average","2014-03-26 23:30:00","29.28"
"cpu.usage.average","2014-03-26 23:00:00","31.05"
"cpu.usage.average","2014-03-26 22:30:00","33.81"
"cpu.usage.average","2014-03-26 22:00:00","36.42"
"cpu.usage.average","2014-03-26 21:30:00","36.96"
"cpu.usage.average","2014-03-26 21:00:00","34.75"
"cpu.usage.average","2014-03-26 20:30:00","33.58"
"cpu.usage.average","2014-03-26 20:00:00","32.23"
"cpu.usage.average","2014-03-26 19:30:00","31.08"
"cpu.usage.average","2014-03-26 19:00:00","30.17"
"cpu.usage.average","2014-03-26 18:30:00","31.74"
"cpu.usage.average","2014-03-26 18:00:00","29.69"
"cpu.usage.average","2014-03-26 17:30:00","27.09"
"cpu.usage.average","2014-03-26 17:00:00","22.3"
"cpu.usage.average","2014-03-26 16:30:00","17"
"cpu.usage.average","2014-03-26 16:00:00","16.08"
"mem.active.average","2014-03-28 14:30:00","2773830"
"mem.active.average","2014-03-28 14:00:00","2594873"
"mem.active.average","2014-03-28 13:30:00","2469976"
"mem.active.average","2014-03-28 13:00:00","2818569"
"mem.active.average","2014-03-28 12:30:00","2842803"
"mem.active.average","2014-03-28 12:00:00","2628427"
"mem.active.average","2014-03-28 11:30:00","2619107"
"mem.active.average","2014-03-28 11:00:00","2680623"
"mem.active.average","2014-03-28 10:30:00","2520307"
"mem.active.average","2014-03-28 10:00:00","2671302"
"mem.active.average","2014-03-28 09:30:00","2428965"
"mem.active.average","2014-03-28 09:00:00","2382362"
"mem.active.average","2014-03-28 08:30:00","2456927"
"mem.active.average","2014-03-28 08:00:00","2393546"
"mem.active.average","2014-03-28 07:30:00","2369313"
"mem.active.average","2014-03-28 07:00:00","2208997"
"mem.active.average","2014-03-28 06:30:00","2171715"
"mem.active.average","2014-03-28 06:00:00","1886502"
"mem.active.average","2014-03-28 05:30:00","1791431"
"mem.active.average","2014-03-28 05:00:00","1700089"
"mem.active.average","2014-03-28 04:30:00","1942426"
"mem.active.average","2014-03-28 04:00:00","1754149"
"mem.active.average","2014-03-28 03:30:00","1858540"
"mem.active.average","2014-03-28 03:00:00","1845491"
"mem.active.average","2014-03-28 02:30:00","1843627"
"mem.active.average","2014-03-28 02:00:00","1905143"
"mem.active.average","2014-03-28 01:30:00","1998350"
"mem.active.average","2014-03-28 01:00:00","2100877"
"mem.active.average","2014-03-28 00:30:00","2449470"
"mem.active.average","2014-03-28 00:00:00","2766373"
"mem.active.average","2014-03-27 23:30:00","3182075"
"mem.active.average","2014-03-27 23:00:00","3388994"
"mem.active.average","2014-03-27 22:30:00","3536261"
"mem.active.average","2014-03-27 22:00:00","3521348"
"mem.active.average","2014-03-27 21:30:00","3377809"
"mem.active.average","2014-03-27 21:00:00","3640652"
"mem.active.average","2014-03-27 20:30:00","3450510"
"mem.active.average","2014-03-27 20:00:00","3444918"
"mem.active.average","2014-03-27 19:30:00","3241727"
"mem.active.average","2014-03-27 19:00:00","3297651"
"mem.active.average","2014-03-27 18:30:00","3092596"
"mem.active.average","2014-03-27 18:00:00","2881950"
"mem.active.average","2014-03-27 17:30:00","3057178"
"mem.active.average","2014-03-27 17:00:00","2719770"
"mem.active.average","2014-03-27 16:30:00","2842802"
"mem.active.average","2014-03-27 16:00:00","2859580"
"mem.active.average","2014-03-27 15:30:00","2758916"
"mem.active.average","2014-03-27 15:00:00","2665710"
