"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 15:30:00","14.31"
"cpu.usage.average","2014-03-28 15:00:00","14.93"
"cpu.usage.average","2014-03-28 14:30:00","13.9"
"cpu.usage.average","2014-03-28 14:00:00","14.69"
"cpu.usage.average","2014-03-28 13:30:00","13.26"
"cpu.usage.average","2014-03-28 13:00:00","14.74"
"cpu.usage.average","2014-03-28 12:30:00","13.63"
"cpu.usage.average","2014-03-28 12:00:00","12.35"
"cpu.usage.average","2014-03-28 11:30:00","13.1"
"cpu.usage.average","2014-03-28 11:00:00","11.63"
"cpu.usage.average","2014-03-28 10:30:00","12.33"
"cpu.usage.average","2014-03-28 10:00:00","11.21"
"cpu.usage.average","2014-03-28 09:30:00","12.02"
"cpu.usage.average","2014-03-28 09:00:00","11.45"
"cpu.usage.average","2014-03-28 08:30:00","11.6"
"cpu.usage.average","2014-03-28 08:00:00","10.12"
"cpu.usage.average","2014-03-28 07:30:00","10.68"
"cpu.usage.average","2014-03-28 07:00:00","10.34"
"cpu.usage.average","2014-03-28 06:30:00","7.46"
"cpu.usage.average","2014-03-28 06:00:00","6.52"
"cpu.usage.average","2014-03-28 05:30:00","4.83"
"cpu.usage.average","2014-03-28 05:00:00","5.34"
"cpu.usage.average","2014-03-28 04:30:00","4.35"
"cpu.usage.average","2014-03-28 04:00:00","5.91"
"cpu.usage.average","2014-03-28 03:30:00","5.19"
"cpu.usage.average","2014-03-28 03:00:00","5.63"
"cpu.usage.average","2014-03-28 02:30:00","7.64"
"cpu.usage.average","2014-03-28 02:00:00","7.7"
"cpu.usage.average","2014-03-28 01:30:00","10.36"
"cpu.usage.average","2014-03-28 01:00:00","11.18"
"cpu.usage.average","2014-03-28 00:30:00","14.94"
"cpu.usage.average","2014-03-28 00:00:00","18.44"
"cpu.usage.average","2014-03-27 23:30:00","21.51"
"cpu.usage.average","2014-03-27 23:00:00","23.88"
"cpu.usage.average","2014-03-27 22:30:00","27.51"
"cpu.usage.average","2014-03-27 22:00:00","28.18"
"cpu.usage.average","2014-03-27 21:30:00","28.86"
"cpu.usage.average","2014-03-27 21:00:00","30.4"
"cpu.usage.average","2014-03-27 20:30:00","26.77"
"cpu.usage.average","2014-03-27 20:00:00","25.32"
"cpu.usage.average","2014-03-27 19:30:00","22.81"
"cpu.usage.average","2014-03-27 19:00:00","21.74"
"cpu.usage.average","2014-03-27 18:30:00","20.39"
"cpu.usage.average","2014-03-27 18:00:00","19.52"
"cpu.usage.average","2014-03-27 17:30:00","17.67"
"cpu.usage.average","2014-03-27 17:00:00","16.64"
"cpu.usage.average","2014-03-27 16:30:00","15.45"
"cpu.usage.average","2014-03-27 16:00:00","14.47"
"cpu.usage.average","2014-03-27 15:30:00","15.07"
"cpu.usage.average","2014-03-27 15:00:00","12.87"
"cpu.usage.average","2014-03-27 14:30:00","13.67"
"cpu.usage.average","2014-03-27 14:00:00","12.97"
"cpu.usage.average","2014-03-27 13:30:00","13.54"
"cpu.usage.average","2014-03-27 13:00:00","12.76"
"cpu.usage.average","2014-03-27 12:30:00","14.72"
"cpu.usage.average","2014-03-27 12:00:00","12.79"
"cpu.usage.average","2014-03-27 11:30:00","12.76"
"cpu.usage.average","2014-03-27 11:00:00","11.97"
"cpu.usage.average","2014-03-27 10:30:00","11.41"
"cpu.usage.average","2014-03-27 10:00:00","12.38"
"cpu.usage.average","2014-03-27 09:30:00","11.82"
"cpu.usage.average","2014-03-27 09:00:00","12.6"
"cpu.usage.average","2014-03-27 08:30:00","10.6"
"cpu.usage.average","2014-03-27 08:00:00","11.02"
"cpu.usage.average","2014-03-27 07:30:00","10.38"
"cpu.usage.average","2014-03-27 07:00:00","9.93"
"cpu.usage.average","2014-03-27 06:30:00","7.27"
"cpu.usage.average","2014-03-27 06:00:00","6.37"
"cpu.usage.average","2014-03-27 05:30:00","4.74"
"cpu.usage.average","2014-03-27 05:00:00","5.02"
"cpu.usage.average","2014-03-27 04:30:00","4.35"
"cpu.usage.average","2014-03-27 04:00:00","4.62"
"cpu.usage.average","2014-03-27 03:30:00","6.52"
"cpu.usage.average","2014-03-27 03:00:00","5.75"
"cpu.usage.average","2014-03-27 02:30:00","8.97"
"cpu.usage.average","2014-03-27 02:00:00","7.59"
"cpu.usage.average","2014-03-27 01:30:00","10.14"
"cpu.usage.average","2014-03-27 01:00:00","11.19"
"cpu.usage.average","2014-03-27 00:30:00","14.82"
"cpu.usage.average","2014-03-27 00:00:00","17.95"
"cpu.usage.average","2014-03-26 23:30:00","20.07"
"cpu.usage.average","2014-03-26 23:00:00","24.43"
"cpu.usage.average","2014-03-26 22:30:00","25.85"
"cpu.usage.average","2014-03-26 22:00:00","28.02"
