"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","8.46"
"cpu.usage.average","2014-03-28 14:00:00","8.63"
"cpu.usage.average","2014-03-28 13:30:00","8.08"
"cpu.usage.average","2014-03-28 13:00:00","8.47"
"cpu.usage.average","2014-03-28 12:30:00","8.21"
"cpu.usage.average","2014-03-28 12:00:00","7.59"
"cpu.usage.average","2014-03-28 11:30:00","7.59"
"cpu.usage.average","2014-03-28 11:00:00","7.04"
"cpu.usage.average","2014-03-28 10:30:00","7.27"
"cpu.usage.average","2014-03-28 10:00:00","6.82"
"cpu.usage.average","2014-03-28 09:30:00","7.28"
"cpu.usage.average","2014-03-28 09:00:00","6.27"
"cpu.usage.average","2014-03-28 08:30:00","6.8"
"cpu.usage.average","2014-03-28 08:00:00","6.11"
"cpu.usage.average","2014-03-28 07:30:00","6.13"
"cpu.usage.average","2014-03-28 07:00:00","5.9"
"cpu.usage.average","2014-03-28 06:30:00","4.53"
"cpu.usage.average","2014-03-28 06:00:00","11.8"
"cpu.usage.average","2014-03-28 05:30:00","2.71"
"cpu.usage.average","2014-03-28 05:00:00","2.75"
"cpu.usage.average","2014-03-28 04:30:00","2.36"
"cpu.usage.average","2014-03-28 04:00:00","3.01"
"cpu.usage.average","2014-03-28 03:30:00","2.82"
"cpu.usage.average","2014-03-28 03:00:00","11.34"
"cpu.usage.average","2014-03-28 02:30:00","4.05"
"cpu.usage.average","2014-03-28 02:00:00","4.5"
"cpu.usage.average","2014-03-28 01:30:00","5.84"
"cpu.usage.average","2014-03-28 01:00:00","6.75"
"cpu.usage.average","2014-03-28 00:30:00","8.79"
"cpu.usage.average","2014-03-28 00:00:00","10.55"
"cpu.usage.average","2014-03-27 23:30:00","12.24"
"cpu.usage.average","2014-03-27 23:00:00","13.69"
"cpu.usage.average","2014-03-27 22:30:00","15.41"
"cpu.usage.average","2014-03-27 22:00:00","15.99"
"cpu.usage.average","2014-03-27 21:30:00","16.4"
"cpu.usage.average","2014-03-27 21:00:00","16.67"
"cpu.usage.average","2014-03-27 20:30:00","15.4"
"cpu.usage.average","2014-03-27 20:00:00","14.61"
"cpu.usage.average","2014-03-27 19:30:00","13.43"
"cpu.usage.average","2014-03-27 19:00:00","12.81"
"cpu.usage.average","2014-03-27 18:30:00","12.18"
"cpu.usage.average","2014-03-27 18:00:00","11.61"
"cpu.usage.average","2014-03-27 17:30:00","10.74"
"cpu.usage.average","2014-03-27 17:00:00","10.05"
"cpu.usage.average","2014-03-27 16:30:00","9.67"
"cpu.usage.average","2014-03-27 16:00:00","9.15"
"cpu.usage.average","2014-03-27 15:30:00","9.14"
"cpu.usage.average","2014-03-27 15:00:00","8.24"
"cpu.usage.average","2014-03-27 14:30:00","8.35"
"cpu.usage.average","2014-03-27 14:00:00","8.13"
"cpu.usage.average","2014-03-27 13:30:00","8.34"
"cpu.usage.average","2014-03-27 13:00:00","8.12"
"cpu.usage.average","2014-03-27 12:30:00","8.96"
"cpu.usage.average","2014-03-27 12:00:00","8.13"
"cpu.usage.average","2014-03-27 11:30:00","7.66"
"cpu.usage.average","2014-03-27 11:00:00","7.59"
"cpu.usage.average","2014-03-27 10:30:00","7.32"
"cpu.usage.average","2014-03-27 10:00:00","7.37"
"cpu.usage.average","2014-03-27 09:30:00","7.23"
"cpu.usage.average","2014-03-27 09:00:00","7.43"
"cpu.usage.average","2014-03-27 08:30:00","6.46"
"cpu.usage.average","2014-03-27 08:00:00","6.31"
"cpu.usage.average","2014-03-27 07:30:00","6.07"
"cpu.usage.average","2014-03-27 07:00:00","5.7"
"cpu.usage.average","2014-03-27 06:30:00","4.43"
"cpu.usage.average","2014-03-27 06:00:00","11.77"
"cpu.usage.average","2014-03-27 05:30:00","2.67"
"cpu.usage.average","2014-03-27 05:00:00","2.42"
"cpu.usage.average","2014-03-27 04:30:00","2.55"
"cpu.usage.average","2014-03-27 04:00:00","2.55"
"cpu.usage.average","2014-03-27 03:30:00","3.21"
"cpu.usage.average","2014-03-27 03:00:00","11.48"
"cpu.usage.average","2014-03-27 02:30:00","4.5"
"cpu.usage.average","2014-03-27 02:00:00","4.42"
"cpu.usage.average","2014-03-27 01:30:00","5.69"
"cpu.usage.average","2014-03-27 01:00:00","6.69"
"cpu.usage.average","2014-03-27 00:30:00","8.63"
"cpu.usage.average","2014-03-27 00:00:00","10.36"
"cpu.usage.average","2014-03-26 23:30:00","11.6"
"cpu.usage.average","2014-03-26 23:00:00","13.58"
"cpu.usage.average","2014-03-26 22:30:00","14.49"
"cpu.usage.average","2014-03-26 22:00:00","15.4"
"cpu.usage.average","2014-03-26 21:30:00","15.9"
"cpu.usage.average","2014-03-26 21:00:00","15.9"
"cpu.usage.average","2014-03-26 20:30:00","14.8"
"cpu.usage.average","2014-03-26 20:00:00","14.38"
"cpu.usage.average","2014-03-26 19:30:00","13.26"
"cpu.usage.average","2014-03-26 19:00:00","12.36"
"cpu.usage.average","2014-03-26 18:30:00","11.87"
"cpu.usage.average","2014-03-26 18:00:00","11.2"
"cpu.usage.average","2014-03-26 17:30:00","10.91"
"cpu.usage.average","2014-03-26 17:00:00","10.02"
"cpu.usage.average","2014-03-26 16:30:00","9.81"
"cpu.usage.average","2014-03-26 16:00:00","9.11"
"mem.active.average","2014-03-28 14:30:00","3847572"
"mem.active.average","2014-03-28 14:00:00","4164475"
"mem.active.average","2014-03-28 13:30:00","3888583"
"mem.active.average","2014-03-28 13:00:00","4526117"
"mem.active.average","2014-03-28 12:30:00","3862484"
"mem.active.average","2014-03-28 12:00:00","4104823"
"mem.active.average","2014-03-28 11:30:00","3426277"
"mem.active.average","2014-03-28 11:00:00","4045170"
"mem.active.average","2014-03-28 10:30:00","4082453"
"mem.active.average","2014-03-28 10:00:00","3795376"
"mem.active.average","2014-03-28 09:30:00","4268866"
"mem.active.average","2014-03-28 09:00:00","3914680"
"mem.active.average","2014-03-28 08:30:00","3907224"
"mem.active.average","2014-03-28 08:00:00","3884854"
"mem.active.average","2014-03-28 07:30:00","3773006"
"mem.active.average","2014-03-28 07:00:00","3638788"
"mem.active.average","2014-03-28 06:30:00","3377809"
"mem.active.average","2014-03-28 06:00:00","5696794"
"mem.active.average","2014-03-28 05:30:00","2844667"
"mem.active.average","2014-03-28 05:00:00","3564223"
"mem.active.average","2014-03-28 04:30:00","3064635"
"mem.active.average","2014-03-28 04:00:00","3951963"
"mem.active.average","2014-03-28 03:30:00","2874494"
"mem.active.average","2014-03-28 03:00:00","4611867"
"mem.active.average","2014-03-28 02:30:00","3101918"
"mem.active.average","2014-03-28 02:00:00","3694712"
"mem.active.average","2014-03-28 01:30:00","3799104"
"mem.active.average","2014-03-28 01:00:00","3832658"
"mem.active.average","2014-03-28 00:30:00","4246497"
"mem.active.average","2014-03-28 00:00:00","4287508"
"mem.active.average","2014-03-27 23:30:00","4339704"
"mem.active.average","2014-03-27 23:00:00","4608139"
"mem.active.average","2014-03-27 22:30:00","4854206"
"mem.active.average","2014-03-27 22:00:00","4108550"
"mem.active.average","2014-03-27 21:30:00","4619324"
"mem.active.average","2014-03-27 21:00:00","4265138"
"mem.active.average","2014-03-27 20:30:00","4555944"
"mem.active.average","2014-03-27 20:00:00","4324791"
"mem.active.average","2014-03-27 19:30:00","4272595"
"mem.active.average","2014-03-27 19:00:00","4313605"
"mem.active.average","2014-03-27 18:30:00","3858756"
"mem.active.average","2014-03-27 18:00:00","4630508"
"mem.active.average","2014-03-27 17:30:00","4071268"
"mem.active.average","2014-03-27 17:00:00","4183116"
"mem.active.average","2014-03-27 16:30:00","4089909"
"mem.active.average","2014-03-27 16:00:00","4212942"
"mem.active.average","2014-03-27 15:30:00","4067539"
"mem.active.average","2014-03-27 15:00:00","4112279"
"mem.active.average","2014-03-27 14:30:00","3910952"
"mem.active.average","2014-03-27 14:00:00","3646245"
"mem.active.average","2014-03-27 13:30:00","3746908"
"mem.active.average","2014-03-27 13:00:00","4004159"
"mem.active.average","2014-03-27 12:30:00","4209214"
"mem.active.average","2014-03-27 12:00:00","3731995"
"mem.active.average","2014-03-27 11:30:00","3802832"
"mem.active.average","2014-03-27 11:00:00","3474744"
"mem.active.average","2014-03-27 10:30:00","3881126"
"mem.active.average","2014-03-27 10:00:00","3664886"
"mem.active.average","2014-03-27 09:30:00","3858756"
"mem.active.average","2014-03-27 09:00:00","3690984"
"mem.active.average","2014-03-27 08:30:00","3642517"
"mem.active.average","2014-03-27 08:00:00","4425454"
"mem.active.average","2014-03-27 07:30:00","3739452"
"mem.active.average","2014-03-27 07:00:00","3784191"
"mem.active.average","2014-03-27 06:30:00","3001254"
"mem.active.average","2014-03-27 06:00:00","5666968"
"mem.active.average","2014-03-27 05:30:00","2844667"
"mem.active.average","2014-03-27 05:00:00","3321886"
"mem.active.average","2014-03-27 04:30:00","3053450"
"mem.active.average","2014-03-27 04:00:00","4074996"
"mem.active.average","2014-03-27 03:30:00","3448647"
"mem.active.average","2014-03-27 03:00:00","4600682"
"mem.active.average","2014-03-27 02:30:00","3922137"
"mem.active.average","2014-03-27 02:00:00","3869941"
"mem.active.average","2014-03-27 01:30:00","4302421"
"mem.active.average","2014-03-27 01:00:00","3836386"
"mem.active.average","2014-03-27 00:30:00","4164475"
"mem.active.average","2014-03-27 00:00:00","4593226"
"mem.active.average","2014-03-26 23:30:00","4537302"
"mem.active.average","2014-03-26 23:00:00","4675248"
"mem.active.average","2014-03-26 22:30:00","4596954"
"mem.active.average","2014-03-26 22:00:00","4943683"
"mem.active.average","2014-03-26 21:30:00","4518661"
"mem.active.average","2014-03-26 21:00:00","4958597"
"mem.active.average","2014-03-26 20:30:00","4406813"
"mem.active.average","2014-03-26 20:00:00","4690161"
"mem.active.average","2014-03-26 19:30:00","4582041"
"mem.active.average","2014-03-26 19:00:00","4339704"
"mem.active.average","2014-03-26 18:30:00","4160746"
"mem.active.average","2014-03-26 18:00:00","4376986"
"mem.active.average","2014-03-26 17:30:00","4332247"
"mem.active.average","2014-03-26 17:00:00","4362073"
"mem.active.average","2014-03-26 16:30:00","4268866"
"mem.active.average","2014-03-26 16:00:00","4153290"
"disk.read.average","2014-03-28 14:30:00","0"
"disk.read.average","2014-03-28 14:00:00","0"
"disk.read.average","2014-03-28 13:30:00","0"
"disk.read.average","2014-03-28 13:00:00","0"
"disk.read.average","2014-03-28 12:30:00","0"
"disk.read.average","2014-03-28 12:00:00","0"
"disk.read.average","2014-03-28 11:30:00","0"
"disk.read.average","2014-03-28 11:00:00","0"
"disk.read.average","2014-03-28 10:30:00","0"
"disk.read.average","2014-03-28 10:00:00","0"
"disk.read.average","2014-03-28 09:30:00","0"
"disk.read.average","2014-03-28 09:00:00","0"
"disk.read.average","2014-03-28 08:30:00","0"
"disk.read.average","2014-03-28 08:00:00","0"
"disk.read.average","2014-03-28 07:30:00","0"
"disk.read.average","2014-03-28 07:00:00","0"
"disk.read.average","2014-03-28 06:30:00","0"
"disk.read.average","2014-03-28 06:00:00","8204"
"disk.read.average","2014-03-28 05:30:00","0"
"disk.read.average","2014-03-28 05:00:00","0"
"disk.read.average","2014-03-28 04:30:00","0"
"disk.read.average","2014-03-28 04:00:00","0"
"disk.read.average","2014-03-28 03:30:00","0"
"disk.read.average","2014-03-28 03:00:00","8157"
"disk.read.average","2014-03-28 02:30:00","0"
"disk.read.average","2014-03-28 02:00:00","0"
"disk.read.average","2014-03-28 01:30:00","0"
"disk.read.average","2014-03-28 01:00:00","0"
"disk.read.average","2014-03-28 00:30:00","0"
"disk.read.average","2014-03-28 00:00:00","0"
"disk.read.average","2014-03-27 23:30:00","0"
"disk.read.average","2014-03-27 23:00:00","0"
"disk.read.average","2014-03-27 22:30:00","0"
"disk.read.average","2014-03-27 22:00:00","0"
"disk.read.average","2014-03-27 21:30:00","0"
"disk.read.average","2014-03-27 21:00:00","0"
"disk.read.average","2014-03-27 20:30:00","0"
"disk.read.average","2014-03-27 20:00:00","0"
"disk.read.average","2014-03-27 19:30:00","0"
"disk.read.average","2014-03-27 19:00:00","0"
"disk.read.average","2014-03-27 18:30:00","0"
"disk.read.average","2014-03-27 18:00:00","0"
"disk.read.average","2014-03-27 17:30:00","0"
"disk.read.average","2014-03-27 17:00:00","0"
"disk.read.average","2014-03-27 16:30:00","0"
"disk.read.average","2014-03-27 16:00:00","0"
"disk.read.average","2014-03-27 15:30:00","0"
"disk.read.average","2014-03-27 15:00:00","0"
"disk.read.average","2014-03-27 14:30:00","0"
"disk.read.average","2014-03-27 14:00:00","0"
"disk.read.average","2014-03-27 13:30:00","0"
"disk.read.average","2014-03-27 13:00:00","0"
"disk.read.average","2014-03-27 12:30:00","0"
"disk.read.average","2014-03-27 12:00:00","0"
"disk.read.average","2014-03-27 11:30:00","0"
"disk.read.average","2014-03-27 11:00:00","0"
"disk.read.average","2014-03-27 10:30:00","0"
"disk.read.average","2014-03-27 10:00:00","0"
"disk.read.average","2014-03-27 09:30:00","0"
"disk.read.average","2014-03-27 09:00:00","0"
"disk.read.average","2014-03-27 08:30:00","0"
"disk.read.average","2014-03-27 08:00:00","0"
"disk.read.average","2014-03-27 07:30:00","0"
"disk.read.average","2014-03-27 07:00:00","56"
"disk.read.average","2014-03-27 06:30:00","0"
"disk.read.average","2014-03-27 06:00:00","9015"
"disk.read.average","2014-03-27 05:30:00","0"
"disk.read.average","2014-03-27 05:00:00","0"
"disk.read.average","2014-03-27 04:30:00","0"
"disk.read.average","2014-03-27 04:00:00","0"
"disk.read.average","2014-03-27 03:30:00","2"
"disk.read.average","2014-03-27 03:00:00","8124"
"disk.read.average","2014-03-27 02:30:00","0"
"disk.read.average","2014-03-27 02:00:00","0"
"disk.read.average","2014-03-27 01:30:00","0"
"disk.read.average","2014-03-27 01:00:00","0"
"disk.read.average","2014-03-27 00:30:00","0"
"disk.read.average","2014-03-27 00:00:00","0"
"disk.read.average","2014-03-26 23:30:00","0"
"disk.read.average","2014-03-26 23:00:00","0"
"disk.read.average","2014-03-26 22:30:00","0"
"disk.read.average","2014-03-26 22:00:00","0"
