"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","5.15"
"cpu.usage.average","2014-03-28 13:30:00","4.67"
"cpu.usage.average","2014-03-28 13:00:00","5.21"
"cpu.usage.average","2014-03-28 12:30:00","4.68"
"cpu.usage.average","2014-03-28 12:00:00","5.15"
"cpu.usage.average","2014-03-28 11:30:00","4.77"
"cpu.usage.average","2014-03-28 11:00:00","5.04"
"cpu.usage.average","2014-03-28 10:30:00","4.73"
"cpu.usage.average","2014-03-28 10:00:00","5.04"
"cpu.usage.average","2014-03-28 09:30:00","3.85"
"cpu.usage.average","2014-03-28 09:00:00","0.01"
"cpu.usage.average","2014-03-28 08:30:00","4.65"
"cpu.usage.average","2014-03-28 08:00:00","5.07"
"cpu.usage.average","2014-03-28 07:30:00","5.4"
"cpu.usage.average","2014-03-28 07:00:00","5.06"
"cpu.usage.average","2014-03-28 06:30:00","3.82"
"cpu.usage.average","2014-03-28 06:00:00","4.18"
"cpu.usage.average","2014-03-28 05:30:00","4.63"
"cpu.usage.average","2014-03-28 05:00:00","6.17"
"cpu.usage.average","2014-03-28 04:30:00","4.66"
"cpu.usage.average","2014-03-28 04:00:00","6.84"
"cpu.usage.average","2014-03-28 03:30:00","4.86"
"cpu.usage.average","2014-03-28 03:00:00","4.36"
"cpu.usage.average","2014-03-28 02:30:00","4.66"
"cpu.usage.average","2014-03-28 02:00:00","5.17"
"cpu.usage.average","2014-03-28 01:30:00","4.98"
"cpu.usage.average","2014-03-28 01:00:00","5.24"
"cpu.usage.average","2014-03-28 00:30:00","4.87"
"cpu.usage.average","2014-03-28 00:00:00","5.33"
"cpu.usage.average","2014-03-27 23:30:00","5.18"
"cpu.usage.average","2014-03-27 23:00:00","5.18"
"cpu.usage.average","2014-03-27 22:30:00","4.96"
"cpu.usage.average","2014-03-27 22:00:00","6.27"
"cpu.usage.average","2014-03-27 21:30:00","4.7"
"cpu.usage.average","2014-03-27 21:00:00","5.55"
"cpu.usage.average","2014-03-27 20:30:00","4.74"
"cpu.usage.average","2014-03-27 20:00:00","5.18"
"cpu.usage.average","2014-03-27 19:30:00","5.14"
"cpu.usage.average","2014-03-27 19:00:00","5.14"
"cpu.usage.average","2014-03-27 18:30:00","4.78"
"cpu.usage.average","2014-03-27 18:00:00","5.07"
"cpu.usage.average","2014-03-27 17:30:00","4.77"
"cpu.usage.average","2014-03-27 17:00:00","5.08"
"cpu.usage.average","2014-03-27 16:30:00","4.75"
"cpu.usage.average","2014-03-27 16:00:00","5.08"
"cpu.usage.average","2014-03-27 15:30:00","4.94"
"cpu.usage.average","2014-03-27 15:00:00","5.04"
"cpu.usage.average","2014-03-27 14:30:00","4.65"
"cpu.usage.average","2014-03-27 14:00:00","4.99"
"cpu.usage.average","2014-03-27 13:30:00","4.66"
"cpu.usage.average","2014-03-27 13:00:00","5.13"
"cpu.usage.average","2014-03-27 12:30:00","4.7"
"cpu.usage.average","2014-03-27 12:00:00","5.19"
"cpu.usage.average","2014-03-27 11:30:00","4.94"
"cpu.usage.average","2014-03-27 11:00:00","5.39"
"cpu.usage.average","2014-03-27 10:30:00","4.44"
"cpu.usage.average","2014-03-27 10:00:00","5.09"
"cpu.usage.average","2014-03-27 09:30:00","4.72"
"cpu.usage.average","2014-03-27 09:00:00","5.17"
"cpu.usage.average","2014-03-27 08:30:00","4.7"
"cpu.usage.average","2014-03-27 08:00:00","5.63"
"cpu.usage.average","2014-03-27 07:30:00","5.48"
"cpu.usage.average","2014-03-27 07:00:00","4.98"
"cpu.usage.average","2014-03-27 06:30:00","3.82"
"cpu.usage.average","2014-03-27 06:00:00","4.2"
"cpu.usage.average","2014-03-27 05:30:00","4.58"
"cpu.usage.average","2014-03-27 05:00:00","6.31"
"cpu.usage.average","2014-03-27 04:30:00","4.6"
"cpu.usage.average","2014-03-27 04:00:00","6.9"
"cpu.usage.average","2014-03-27 03:30:00","4.81"
"cpu.usage.average","2014-03-27 03:00:00","4.51"
"cpu.usage.average","2014-03-27 02:30:00","4.62"
"cpu.usage.average","2014-03-27 02:00:00","5.06"
"cpu.usage.average","2014-03-27 01:30:00","4.92"
"cpu.usage.average","2014-03-27 01:00:00","5.18"
"cpu.usage.average","2014-03-27 00:30:00","4.83"
"cpu.usage.average","2014-03-27 00:00:00","5.37"
"cpu.usage.average","2014-03-26 23:30:00","4.99"
"cpu.usage.average","2014-03-26 23:00:00","5.42"
"cpu.usage.average","2014-03-26 22:30:00","5.02"
"cpu.usage.average","2014-03-26 22:00:00","6.29"
"cpu.usage.average","2014-03-26 21:30:00","4.69"
"cpu.usage.average","2014-03-26 21:00:00","5.52"
"cpu.usage.average","2014-03-26 20:30:00","4.85"
"cpu.usage.average","2014-03-26 20:00:00","5.13"
"cpu.usage.average","2014-03-26 19:30:00","5.03"
"cpu.usage.average","2014-03-26 19:00:00","5.07"
"cpu.usage.average","2014-03-26 18:30:00","4.71"
"cpu.usage.average","2014-03-26 18:00:00","5.19"
"cpu.usage.average","2014-03-26 17:30:00","4.8"
"cpu.usage.average","2014-03-26 17:00:00","5.1"
"cpu.usage.average","2014-03-26 16:30:00","4.83"
"cpu.usage.average","2014-03-26 16:00:00","5.2"
"cpu.usage.average","2014-03-26 15:30:00","4.91"
"mem.active.average","2014-03-28 14:00:00","454031"
"mem.active.average","2014-03-28 13:30:00","482342"
"mem.active.average","2014-03-28 13:00:00","452982"
"mem.active.average","2014-03-28 12:30:00","414185"
