"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","3.73"
"cpu.usage.average","2014-03-28 14:00:00","2.97"
"cpu.usage.average","2014-03-28 13:30:00","3.94"
"cpu.usage.average","2014-03-28 13:00:00","22.22"
"cpu.usage.average","2014-03-28 12:30:00","22.32"
"cpu.usage.average","2014-03-28 12:00:00","2.86"
"cpu.usage.average","2014-03-28 11:30:00","3.29"
"cpu.usage.average","2014-03-28 11:00:00","2.72"
"cpu.usage.average","2014-03-28 10:30:00","4.99"
"cpu.usage.average","2014-03-28 10:00:00","5.41"
"cpu.usage.average","2014-03-28 09:30:00","6.15"
"cpu.usage.average","2014-03-28 09:00:00","3.56"
"cpu.usage.average","2014-03-28 08:30:00","3.35"
"cpu.usage.average","2014-03-28 08:00:00","8.32"
"cpu.usage.average","2014-03-28 07:30:00","3.23"
"cpu.usage.average","2014-03-28 07:00:00","2.62"
"cpu.usage.average","2014-03-28 06:30:00","3.28"
"cpu.usage.average","2014-03-28 06:00:00","2.27"
"cpu.usage.average","2014-03-28 05:30:00","3.17"
"cpu.usage.average","2014-03-28 05:00:00","2.72"
"cpu.usage.average","2014-03-28 04:30:00","3.21"
"cpu.usage.average","2014-03-28 04:00:00","6.1"
"cpu.usage.average","2014-03-28 03:30:00","3.16"
"cpu.usage.average","2014-03-28 03:00:00","2.67"
"cpu.usage.average","2014-03-28 02:30:00","3.23"
"cpu.usage.average","2014-03-28 02:00:00","7.98"
"cpu.usage.average","2014-03-28 01:30:00","3.93"
"cpu.usage.average","2014-03-28 01:00:00","3.55"
"cpu.usage.average","2014-03-28 00:30:00","4.65"
"cpu.usage.average","2014-03-28 00:00:00","4.07"
"cpu.usage.average","2014-03-27 23:30:00","6.44"
"cpu.usage.average","2014-03-27 23:00:00","5.4"
"cpu.usage.average","2014-03-27 22:30:00","5.27"
"cpu.usage.average","2014-03-27 22:00:00","4.03"
"cpu.usage.average","2014-03-27 21:30:00","3.33"
"cpu.usage.average","2014-03-27 21:00:00","3.06"
"cpu.usage.average","2014-03-27 20:30:00","3.39"
"cpu.usage.average","2014-03-27 20:00:00","2.77"
"cpu.usage.average","2014-03-27 19:30:00","3.48"
"cpu.usage.average","2014-03-27 19:00:00","2.76"
"cpu.usage.average","2014-03-27 18:30:00","3.33"
"cpu.usage.average","2014-03-27 18:00:00","2.89"
"cpu.usage.average","2014-03-27 17:30:00","3.46"
"cpu.usage.average","2014-03-27 17:00:00","2.9"
"cpu.usage.average","2014-03-27 16:30:00","3.52"
"cpu.usage.average","2014-03-27 16:00:00","2.81"
"cpu.usage.average","2014-03-27 15:30:00","3.38"
"cpu.usage.average","2014-03-27 15:00:00","2.98"
"cpu.usage.average","2014-03-27 14:30:00","3.38"
"cpu.usage.average","2014-03-27 14:00:00","2.77"
"cpu.usage.average","2014-03-27 13:30:00","3.57"
"cpu.usage.average","2014-03-27 13:00:00","22.73"
"cpu.usage.average","2014-03-27 12:30:00","21.85"
"cpu.usage.average","2014-03-27 12:00:00","2.93"
"cpu.usage.average","2014-03-27 11:30:00","3.4"
"cpu.usage.average","2014-03-27 11:00:00","3.1"
"cpu.usage.average","2014-03-27 10:30:00","5.12"
"cpu.usage.average","2014-03-27 10:00:00","5.28"
"cpu.usage.average","2014-03-27 09:30:00","5.61"
"cpu.usage.average","2014-03-27 09:00:00","3.98"
"cpu.usage.average","2014-03-27 08:30:00","3.38"
"cpu.usage.average","2014-03-27 08:00:00","8.42"
"cpu.usage.average","2014-03-27 07:30:00","3.24"
"cpu.usage.average","2014-03-27 07:00:00","2.64"
"cpu.usage.average","2014-03-27 06:30:00","3.35"
"cpu.usage.average","2014-03-27 06:00:00","2.32"
"cpu.usage.average","2014-03-27 05:30:00","3.16"
"cpu.usage.average","2014-03-27 05:00:00","2.78"
"cpu.usage.average","2014-03-27 04:30:00","3.34"
"cpu.usage.average","2014-03-27 04:00:00","6.35"
"cpu.usage.average","2014-03-27 03:30:00","3.29"
"cpu.usage.average","2014-03-27 03:00:00","2.68"
"cpu.usage.average","2014-03-27 02:30:00","3.26"
"cpu.usage.average","2014-03-27 02:00:00","7.95"
"cpu.usage.average","2014-03-27 01:30:00","4.28"
"cpu.usage.average","2014-03-27 01:00:00","3.69"
"cpu.usage.average","2014-03-27 00:30:00","4.58"
"cpu.usage.average","2014-03-27 00:00:00","4.24"
"cpu.usage.average","2014-03-26 23:30:00","6.52"
"cpu.usage.average","2014-03-26 23:00:00","5.22"
"cpu.usage.average","2014-03-26 22:30:00","5.08"
"cpu.usage.average","2014-03-26 22:00:00","3.93"
"cpu.usage.average","2014-03-26 21:30:00","3.38"
"cpu.usage.average","2014-03-26 21:00:00","3.15"
"cpu.usage.average","2014-03-26 20:30:00","3.41"
"cpu.usage.average","2014-03-26 20:00:00","2.78"
"cpu.usage.average","2014-03-26 19:30:00","3.51"
"cpu.usage.average","2014-03-26 19:00:00","2.77"
"cpu.usage.average","2014-03-26 18:30:00","3.36"
"cpu.usage.average","2014-03-26 18:00:00","3"
"cpu.usage.average","2014-03-26 17:30:00","3.4"
"cpu.usage.average","2014-03-26 17:00:00","2.81"
"cpu.usage.average","2014-03-26 16:30:00","3.38"
"cpu.usage.average","2014-03-26 16:00:00","2.82"
"mem.active.average","2014-03-28 14:30:00","779671"
"mem.active.average","2014-03-28 14:00:00","731204"
"mem.active.average","2014-03-28 13:30:00","1186519"
"mem.active.average","2014-03-28 13:00:00","878005"
"mem.active.average","2014-03-28 12:30:00","591860"
"mem.active.average","2014-03-28 12:00:00","596521"
"mem.active.average","2014-03-28 11:30:00","628210"
"mem.active.average","2014-03-28 11:00:00","587666"
"mem.active.average","2014-03-28 10:30:00","799711"
"mem.active.average","2014-03-28 10:00:00","749379"
"mem.active.average","2014-03-28 09:30:00","684368"
"mem.active.average","2014-03-28 09:00:00","691591"
"mem.active.average","2014-03-28 08:30:00","779672"
"mem.active.average","2014-03-28 08:00:00","1195840"
"mem.active.average","2014-03-28 07:30:00","621220"
"mem.active.average","2014-03-28 07:00:00","569490"
"mem.active.average","2014-03-28 06:30:00","544324"
"mem.active.average","2014-03-28 06:00:00","521955"
"mem.active.average","2014-03-28 05:30:00","543392"
"mem.active.average","2014-03-28 05:00:00","558306"
"mem.active.average","2014-03-28 04:30:00","601647"
"mem.active.average","2014-03-28 04:00:00","1137586"
"mem.active.average","2014-03-28 03:30:00","539664"
"mem.active.average","2014-03-28 03:00:00","518227"
"mem.active.average","2014-03-28 02:30:00","622152"
"mem.active.average","2014-03-28 02:00:00","1331456"
"mem.active.average","2014-03-28 01:30:00","824877"
"mem.active.average","2014-03-28 01:00:00","730272"
"mem.active.average","2014-03-28 00:30:00","763360"
"mem.active.average","2014-03-28 00:00:00","926472"
"mem.active.average","2014-03-27 23:30:00","829537"
"mem.active.average","2014-03-27 23:00:00","878937"
"mem.active.average","2014-03-27 22:30:00","753574"
"mem.active.average","2014-03-27 22:00:00","671552"
"mem.active.average","2014-03-27 21:30:00","640793"
"mem.active.average","2014-03-27 21:00:00","645454"
"mem.active.average","2014-03-27 20:30:00","540597"
"mem.active.average","2014-03-27 20:00:00","512168"
"mem.active.average","2014-03-27 19:30:00","580209"
"mem.active.average","2014-03-27 19:00:00","514032"
"mem.active.average","2014-03-27 18:30:00","545257"
"mem.active.average","2014-03-27 18:00:00","542461"
"mem.active.average","2014-03-27 17:30:00","555975"
"mem.active.average","2014-03-27 17:00:00","528013"
"mem.active.average","2014-03-27 16:30:00","587199"
"mem.active.average","2014-03-27 16:00:00","506110"
"mem.active.average","2014-03-27 15:30:00","551781"
"mem.active.average","2014-03-27 15:00:00","548985"
"mem.active.average","2014-03-27 14:30:00","573219"
"mem.active.average","2014-03-27 14:00:00","519159"
"mem.active.average","2014-03-27 13:30:00","1039718"
"mem.active.average","2014-03-27 13:00:00","797381"
"mem.active.average","2014-03-27 12:30:00","635667"
"mem.active.average","2014-03-27 12:00:00","587665"
"mem.active.average","2014-03-27 11:30:00","617492"
"mem.active.average","2014-03-27 11:00:00","622152"
"mem.active.average","2014-03-27 10:30:00","805770"
"mem.active.average","2014-03-27 10:00:00","719087"
"mem.active.average","2014-03-27 09:30:00","675280"
"mem.active.average","2014-03-27 09:00:00","665959"
"mem.active.average","2014-03-27 08:30:00","707436"
"mem.active.average","2014-03-27 08:00:00","1188383"
"mem.active.average","2014-03-27 07:30:00","570422"
"mem.active.average","2014-03-27 07:00:00","516363"
"mem.active.average","2014-03-27 06:30:00","563898"
"mem.active.average","2014-03-27 06:00:00","528945"
"mem.active.average","2014-03-27 05:30:00","679940"
"mem.active.average","2014-03-27 05:00:00","530343"
"mem.active.average","2014-03-27 04:30:00","625880"
"mem.active.average","2014-03-27 04:00:00","1087720"
"mem.active.average","2014-03-27 03:30:00","584404"
"mem.active.average","2014-03-27 03:00:00","517760"
"mem.active.average","2014-03-27 02:30:00","613764"
"mem.active.average","2014-03-27 02:00:00","1347301"
"mem.active.average","2014-03-27 01:30:00","758234"
"mem.active.average","2014-03-27 01:00:00","788992"
"mem.active.average","2014-03-27 00:30:00","743321"
"mem.active.average","2014-03-27 00:00:00","946046"
"mem.active.average","2014-03-26 23:30:00","889189"
"mem.active.average","2014-03-26 23:00:00","913889"
"mem.active.average","2014-03-26 22:30:00","750312"
"mem.active.average","2014-03-26 22:00:00","701844"
"mem.active.average","2014-03-26 21:30:00","620754"
"mem.active.average","2014-03-26 21:00:00","685533"
"mem.active.average","2014-03-26 20:30:00","518227"
"mem.active.average","2014-03-26 20:00:00","538266"
"mem.active.average","2014-03-26 19:30:00","628210"
"mem.active.average","2014-03-26 19:00:00","515897"
"mem.active.average","2014-03-26 18:30:00","568558"
"mem.active.average","2014-03-26 18:00:00","546189"
"mem.active.average","2014-03-26 17:30:00","596054"
"mem.active.average","2014-03-26 17:00:00","507974"
"mem.active.average","2014-03-26 16:30:00","616094"
"mem.active.average","2014-03-26 16:00:00","483740"
"disk.read.average","2014-03-28 14:30:00","8013"
"disk.read.average","2014-03-28 14:00:00","4497"
"disk.read.average","2014-03-28 13:30:00","8784"
"disk.read.average","2014-03-28 13:00:00","40118"
"disk.read.average","2014-03-28 12:30:00","17800"
"disk.read.average","2014-03-28 12:00:00","7336"
"disk.read.average","2014-03-28 11:30:00","6036"
"disk.read.average","2014-03-28 11:00:00","3324"
"disk.read.average","2014-03-28 10:30:00","7829"
"disk.read.average","2014-03-28 10:00:00","5213"
"disk.read.average","2014-03-28 09:30:00","8443"
"disk.read.average","2014-03-28 09:00:00","12257"
"disk.read.average","2014-03-28 08:30:00","6189"
"disk.read.average","2014-03-28 08:00:00","30266"
"disk.read.average","2014-03-28 07:30:00","6063"
"disk.read.average","2014-03-28 07:00:00","3408"
"disk.read.average","2014-03-28 06:30:00","6384"
"disk.read.average","2014-03-28 06:00:00","7176"
"disk.read.average","2014-03-28 05:30:00","6076"
"disk.read.average","2014-03-28 05:00:00","3421"
"disk.read.average","2014-03-28 04:30:00","6071"
"disk.read.average","2014-03-28 04:00:00","11887"
"disk.read.average","2014-03-28 03:30:00","6046"
"disk.read.average","2014-03-28 03:00:00","7152"
"disk.read.average","2014-03-28 02:30:00","6103"
"disk.read.average","2014-03-28 02:00:00","14038"
"disk.read.average","2014-03-28 01:30:00","6871"
"disk.read.average","2014-03-28 01:00:00","3891"
"disk.read.average","2014-03-28 00:30:00","7355"
"disk.read.average","2014-03-28 00:00:00","7656"
"disk.read.average","2014-03-27 23:30:00","8318"
"disk.read.average","2014-03-27 23:00:00","3951"
"disk.read.average","2014-03-27 22:30:00","6741"
"disk.read.average","2014-03-27 22:00:00","5790"
"disk.read.average","2014-03-27 21:30:00","6079"
"disk.read.average","2014-03-27 21:00:00","7328"
"disk.read.average","2014-03-27 20:30:00","6073"
"disk.read.average","2014-03-27 20:00:00","3382"
"disk.read.average","2014-03-27 19:30:00","6249"
"disk.read.average","2014-03-27 19:00:00","3384"
"disk.read.average","2014-03-27 18:30:00","6079"
"disk.read.average","2014-03-27 18:00:00","7190"
"disk.read.average","2014-03-27 17:30:00","6076"
"disk.read.average","2014-03-27 17:00:00","3383"
"disk.read.average","2014-03-27 16:30:00","6096"
"disk.read.average","2014-03-27 16:00:00","3357"
"disk.read.average","2014-03-27 15:30:00","6077"
"disk.read.average","2014-03-27 15:00:00","7199"
"disk.read.average","2014-03-27 14:30:00","6055"
"disk.read.average","2014-03-27 14:00:00","3361"
"disk.read.average","2014-03-27 13:30:00","7550"
"disk.read.average","2014-03-27 13:00:00","39751"
"disk.read.average","2014-03-27 12:30:00","17027"
"disk.read.average","2014-03-27 12:00:00","7339"
"disk.read.average","2014-03-27 11:30:00","6025"
"disk.read.average","2014-03-27 11:00:00","3312"
"disk.read.average","2014-03-27 10:30:00","7570"
"disk.read.average","2014-03-27 10:00:00","5091"
"disk.read.average","2014-03-27 09:30:00","7001"
"disk.read.average","2014-03-27 09:00:00","7721"
"disk.read.average","2014-03-27 08:30:00","6192"
"disk.read.average","2014-03-27 08:00:00","30247"
"disk.read.average","2014-03-27 07:30:00","6042"
"disk.read.average","2014-03-27 07:00:00","3423"
"disk.read.average","2014-03-27 06:30:00","6391"
"disk.read.average","2014-03-27 06:00:00","7172"
"disk.read.average","2014-03-27 05:30:00","6072"
"disk.read.average","2014-03-27 05:00:00","3427"
"disk.read.average","2014-03-27 04:30:00","6079"
"disk.read.average","2014-03-27 04:00:00","11798"
"disk.read.average","2014-03-27 03:30:00","6044"
"disk.read.average","2014-03-27 03:00:00","7145"
"disk.read.average","2014-03-27 02:30:00","6172"
"disk.read.average","2014-03-27 02:00:00","13960"
"disk.read.average","2014-03-27 01:30:00","7182"
"disk.read.average","2014-03-27 01:00:00","3909"
"disk.read.average","2014-03-27 00:30:00","6954"
"disk.read.average","2014-03-27 00:00:00","15017"
"disk.read.average","2014-03-26 23:30:00","8344"
"disk.read.average","2014-03-26 23:00:00","3886"
"disk.read.average","2014-03-26 22:30:00","6626"
"disk.read.average","2014-03-26 22:00:00","5370"
"disk.read.average","2014-03-26 21:30:00","6044"
"disk.read.average","2014-03-26 21:00:00","14675"
"disk.read.average","2014-03-26 20:30:00","6041"
"disk.read.average","2014-03-26 20:00:00","3433"
"disk.read.average","2014-03-26 19:30:00","6212"
"disk.read.average","2014-03-26 19:00:00","3377"
"disk.read.average","2014-03-26 18:30:00","6043"
"disk.read.average","2014-03-26 18:00:00","14512"
"disk.read.average","2014-03-26 17:30:00","6041"
"disk.read.average","2014-03-26 17:00:00","3379"
"disk.read.average","2014-03-26 16:30:00","6044"
"disk.read.average","2014-03-26 16:00:00","3450"
"disk.write.average","2014-03-28 14:30:00","687"
"disk.write.average","2014-03-28 14:00:00","245"
"disk.write.average","2014-03-28 13:30:00","858"
"disk.write.average","2014-03-28 13:00:00","5258"
"disk.write.average","2014-03-28 12:30:00","5592"
"disk.write.average","2014-03-28 12:00:00","260"
"disk.write.average","2014-03-28 11:30:00","663"
"disk.write.average","2014-03-28 11:00:00","230"
"disk.write.average","2014-03-28 10:30:00","1146"
"disk.write.average","2014-03-28 10:00:00","1464"
"disk.write.average","2014-03-28 09:30:00","1433"
"disk.write.average","2014-03-28 09:00:00","2624"
"disk.write.average","2014-03-28 08:30:00","693"
"disk.write.average","2014-03-28 08:00:00","7814"
"disk.write.average","2014-03-28 07:30:00","684"
"disk.write.average","2014-03-28 07:00:00","209"
"disk.write.average","2014-03-28 06:30:00","1131"
"disk.write.average","2014-03-28 06:00:00","249"
"disk.write.average","2014-03-28 05:30:00","668"
"disk.write.average","2014-03-28 05:00:00","331"
"disk.write.average","2014-03-28 04:30:00","682"
"disk.write.average","2014-03-28 04:00:00","2543"
"disk.write.average","2014-03-28 03:30:00","683"
"disk.write.average","2014-03-28 03:00:00","249"
"disk.write.average","2014-03-28 02:30:00","662"
"disk.write.average","2014-03-28 02:00:00","4660"
"disk.write.average","2014-03-28 01:30:00","1479"
"disk.write.average","2014-03-28 01:00:00","523"
"disk.write.average","2014-03-28 00:30:00","1294"
"disk.write.average","2014-03-28 00:00:00","1437"
"disk.write.average","2014-03-27 23:30:00","2488"
"disk.write.average","2014-03-27 23:00:00","1871"
"disk.write.average","2014-03-27 22:30:00","1777"
"disk.write.average","2014-03-27 22:00:00","365"
"disk.write.average","2014-03-27 21:30:00","662"
"disk.write.average","2014-03-27 21:00:00","261"
"disk.write.average","2014-03-27 20:30:00","677"
"disk.write.average","2014-03-27 20:00:00","236"
"disk.write.average","2014-03-27 19:30:00","680"
"disk.write.average","2014-03-27 19:00:00","236"
