"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","2.57"
"cpu.usage.average","2014-03-28 13:30:00","2.53"
"cpu.usage.average","2014-03-28 13:00:00","2.58"
"cpu.usage.average","2014-03-28 12:30:00","2.59"
"cpu.usage.average","2014-03-28 12:00:00","2.58"
"cpu.usage.average","2014-03-28 11:30:00","2.54"
"cpu.usage.average","2014-03-28 11:00:00","2.54"
"cpu.usage.average","2014-03-28 10:30:00","2.68"
"cpu.usage.average","2014-03-28 10:00:00","2.56"
"cpu.usage.average","2014-03-28 09:30:00","4.03"
"cpu.usage.average","2014-03-28 09:00:00","3"
"cpu.usage.average","2014-03-28 08:30:00","2.53"
"cpu.usage.average","2014-03-28 08:00:00","2.94"
"cpu.usage.average","2014-03-28 07:30:00","2.96"
"cpu.usage.average","2014-03-28 07:00:00","2.53"
"cpu.usage.average","2014-03-28 06:30:00","2.45"
"cpu.usage.average","2014-03-28 06:00:00","2.47"
"cpu.usage.average","2014-03-28 05:30:00","2.35"
"cpu.usage.average","2014-03-28 05:00:00","3.31"
"cpu.usage.average","2014-03-28 04:30:00","2.32"
"cpu.usage.average","2014-03-28 04:00:00","19.72"
"cpu.usage.average","2014-03-28 03:30:00","28.42"
"cpu.usage.average","2014-03-28 03:00:00","28.18"
"cpu.usage.average","2014-03-28 02:30:00","28.52"
"cpu.usage.average","2014-03-28 02:00:00","29.35"
"cpu.usage.average","2014-03-28 01:30:00","28.2"
"cpu.usage.average","2014-03-28 01:00:00","28.67"
"cpu.usage.average","2014-03-28 00:30:00","28.35"
"cpu.usage.average","2014-03-28 00:00:00","22.83"
"cpu.usage.average","2014-03-27 23:30:00","2.85"
"cpu.usage.average","2014-03-27 23:00:00","2.99"
"cpu.usage.average","2014-03-27 22:30:00","2.9"
"cpu.usage.average","2014-03-27 22:00:00","4.42"
"cpu.usage.average","2014-03-27 21:30:00","2.74"
"cpu.usage.average","2014-03-27 21:00:00","3.02"
"cpu.usage.average","2014-03-27 20:30:00","2.8"
"cpu.usage.average","2014-03-27 20:00:00","2.81"
"cpu.usage.average","2014-03-27 19:30:00","2.96"
"cpu.usage.average","2014-03-27 19:00:00","2.78"
"cpu.usage.average","2014-03-27 18:30:00","2.74"
"cpu.usage.average","2014-03-27 18:00:00","2.79"
"cpu.usage.average","2014-03-27 17:30:00","2.72"
"cpu.usage.average","2014-03-27 17:00:00","2.83"
"cpu.usage.average","2014-03-27 16:30:00","2.72"
"cpu.usage.average","2014-03-27 16:00:00","2.72"
"cpu.usage.average","2014-03-27 15:30:00","2.59"
"cpu.usage.average","2014-03-27 15:00:00","2.7"
"cpu.usage.average","2014-03-27 14:30:00","2.68"
"cpu.usage.average","2014-03-27 14:00:00","2.75"
"cpu.usage.average","2014-03-27 13:30:00","2.69"
"cpu.usage.average","2014-03-27 13:00:00","2.82"
"cpu.usage.average","2014-03-27 12:30:00","2.7"
"cpu.usage.average","2014-03-27 12:00:00","2.75"
"cpu.usage.average","2014-03-27 11:30:00","2.65"
"cpu.usage.average","2014-03-27 11:00:00","2.64"
"cpu.usage.average","2014-03-27 10:30:00","2.66"
"cpu.usage.average","2014-03-27 10:00:00","2.77"
"cpu.usage.average","2014-03-27 09:30:00","3.73"
"cpu.usage.average","2014-03-27 09:00:00","2.86"
"cpu.usage.average","2014-03-27 08:30:00","2.8"
"cpu.usage.average","2014-03-27 08:00:00","2.97"
"cpu.usage.average","2014-03-27 07:30:00","2.66"
"cpu.usage.average","2014-03-27 07:00:00","2.04"
"cpu.usage.average","2014-03-27 06:30:00","2.18"
"cpu.usage.average","2014-03-27 06:00:00","2.08"
"cpu.usage.average","2014-03-27 05:30:00","2.38"
"cpu.usage.average","2014-03-27 05:00:00","3.33"
"cpu.usage.average","2014-03-27 04:30:00","2.36"
"cpu.usage.average","2014-03-27 04:00:00","11.4"
"cpu.usage.average","2014-03-27 03:30:00","28.39"
"cpu.usage.average","2014-03-27 03:00:00","28.21"
"cpu.usage.average","2014-03-27 02:30:00","28.43"
"cpu.usage.average","2014-03-27 02:00:00","29.4"
"cpu.usage.average","2014-03-27 01:30:00","28.64"
"cpu.usage.average","2014-03-27 01:00:00","29.06"
"cpu.usage.average","2014-03-27 00:30:00","28.39"
"cpu.usage.average","2014-03-27 00:00:00","22.76"
"cpu.usage.average","2014-03-26 23:30:00","2.71"
"cpu.usage.average","2014-03-26 23:00:00","2.8"
"cpu.usage.average","2014-03-26 22:30:00","2.83"
"cpu.usage.average","2014-03-26 22:00:00","4.25"
"cpu.usage.average","2014-03-26 21:30:00","2.63"
"cpu.usage.average","2014-03-26 21:00:00","2.84"
"cpu.usage.average","2014-03-26 20:30:00","2.61"
"cpu.usage.average","2014-03-26 20:00:00","2.65"
"cpu.usage.average","2014-03-26 19:30:00","2.76"
"cpu.usage.average","2014-03-26 19:00:00","2.66"
"cpu.usage.average","2014-03-26 18:30:00","2.61"
"cpu.usage.average","2014-03-26 18:00:00","2.63"
"cpu.usage.average","2014-03-26 17:30:00","2.56"
"cpu.usage.average","2014-03-26 17:00:00","2.69"
"cpu.usage.average","2014-03-26 16:30:00","2.6"
"cpu.usage.average","2014-03-26 16:00:00","2.59"
"cpu.usage.average","2014-03-26 15:30:00","2.54"
"mem.active.average","2014-03-28 14:00:00","480946"
"mem.active.average","2014-03-28 13:30:00","536869"
"mem.active.average","2014-03-28 13:00:00","467897"
"mem.active.average","2014-03-28 12:30:00","579745"
"mem.active.average","2014-03-28 12:00:00","490266"
"mem.active.average","2014-03-28 11:30:00","484674"
"mem.active.average","2014-03-28 11:00:00","484674"
"mem.active.average","2014-03-28 10:30:00","898512"
"mem.active.average","2014-03-28 10:00:00","508908"
"mem.active.average","2014-03-28 09:30:00","827674"
"mem.active.average","2014-03-28 09:00:00","1073740"
"mem.active.average","2014-03-28 08:30:00","605843"
"mem.active.average","2014-03-28 08:00:00","654310"
"mem.active.average","2014-03-28 07:30:00","678544"
"mem.active.average","2014-03-28 07:00:00","572288"
"mem.active.average","2014-03-28 06:30:00","564832"
"mem.active.average","2014-03-28 06:00:00","533142"
"mem.active.average","2014-03-28 05:30:00","493994"
"mem.active.average","2014-03-28 05:00:00","576016"
"mem.active.average","2014-03-28 04:30:00","603978"
"mem.active.average","2014-03-28 04:00:00","1174403"
"mem.active.average","2014-03-28 03:30:00","654310"
"mem.active.average","2014-03-28 03:00:00","633805"
"mem.active.average","2014-03-28 02:30:00","989854"
"mem.active.average","2014-03-28 02:00:00","835131"
"mem.active.average","2014-03-28 01:30:00","741924"
"mem.active.average","2014-03-28 01:00:00","734468"
"mem.active.average","2014-03-28 00:30:00","658038"
"mem.active.average","2014-03-28 00:00:00","976805"
"mem.active.average","2014-03-27 23:30:00","637533"
"mem.active.average","2014-03-27 23:00:00","600250"
"mem.active.average","2014-03-27 22:30:00","687864"
"mem.active.average","2014-03-27 22:00:00","838859"
"mem.active.average","2014-03-27 21:30:00","529413"
"mem.active.average","2014-03-27 21:00:00","721419"
"mem.active.average","2014-03-27 20:30:00","654310"
"mem.active.average","2014-03-27 20:00:00","508908"
"mem.active.average","2014-03-27 19:30:00","508908"
"mem.active.average","2014-03-27 19:00:00","572288"
"mem.active.average","2014-03-27 18:30:00","699049"
"mem.active.average","2014-03-27 18:00:00","479081"
"mem.active.average","2014-03-27 17:30:00","592794"
"mem.active.average","2014-03-27 17:00:00","549919"
"mem.active.average","2014-03-27 16:30:00","656174"
"mem.active.average","2014-03-27 16:00:00","521956"
"mem.active.average","2014-03-27 15:30:00","581609"
"mem.active.average","2014-03-27 15:00:00","585337"
"mem.active.average","2014-03-27 14:30:00","594658"
"mem.active.average","2014-03-27 14:00:00","609571"
"mem.active.average","2014-03-27 13:30:00","460440"
"mem.active.average","2014-03-27 13:00:00","490266"
"mem.active.average","2014-03-27 12:30:00","559239"
"mem.active.average","2014-03-27 12:00:00","480945"
"mem.active.average","2014-03-27 11:30:00","678544"
"mem.active.average","2014-03-27 11:00:00","454848"
"mem.active.average","2014-03-27 10:30:00","747517"
"mem.active.average","2014-03-27 10:00:00","488402"
"mem.active.average","2014-03-27 09:30:00","784799"
"mem.active.average","2014-03-27 09:00:00","514500"
"mem.active.average","2014-03-27 08:30:00","512636"
"mem.active.average","2014-03-27 08:00:00","531277"
"mem.active.average","2014-03-27 07:30:00","827674"
"mem.active.average","2014-03-27 07:00:00","397060"
"mem.active.average","2014-03-27 06:30:00","574152"
"mem.active.average","2014-03-27 06:00:00","445527"
"mem.active.average","2014-03-27 05:30:00","555511"
"mem.active.average","2014-03-27 05:00:00","712098"
"mem.active.average","2014-03-27 04:30:00","484674"
"mem.active.average","2014-03-27 04:00:00","1124071"
"mem.active.average","2014-03-27 03:30:00","777343"
"mem.active.average","2014-03-27 03:00:00","600250"
"mem.active.average","2014-03-27 02:30:00","898512"
"mem.active.average","2014-03-27 02:00:00","682272"
"mem.active.average","2014-03-27 01:30:00","630076"
"mem.active.average","2014-03-27 01:00:00","788528"
"mem.active.average","2014-03-27 00:30:00","848180"
"mem.active.average","2014-03-27 00:00:00","863093"
"mem.active.average","2014-03-26 23:30:00","635669"
"mem.active.average","2014-03-26 23:00:00","589065"
"mem.active.average","2014-03-26 22:30:00","631940"
"mem.active.average","2014-03-26 22:00:00","971212"
"mem.active.average","2014-03-26 21:30:00","687864"
"mem.active.average","2014-03-26 21:00:00","617027"
"mem.active.average","2014-03-26 20:30:00","637533"
"mem.active.average","2014-03-26 20:00:00","648718"
"mem.active.average","2014-03-26 19:30:00","508907"
"mem.active.average","2014-03-26 19:00:00","613299"
"mem.active.average","2014-03-26 18:30:00","637533"
"mem.active.average","2014-03-26 18:00:00","535006"
"mem.active.average","2014-03-26 17:30:00","531277"
"mem.active.average","2014-03-26 17:00:00","687864"
"mem.active.average","2014-03-26 16:30:00","507044"
"mem.active.average","2014-03-26 16:00:00","566696"
"mem.active.average","2014-03-26 15:30:00","611435"
"disk.read.average","2014-03-28 14:00:00","511"
"disk.read.average","2014-03-28 13:30:00","155"
"disk.read.average","2014-03-28 13:00:00","513"
"disk.read.average","2014-03-28 12:30:00","155"
"disk.read.average","2014-03-28 12:00:00","518"
"disk.read.average","2014-03-28 11:30:00","155"
"disk.read.average","2014-03-28 11:00:00","515"
"disk.read.average","2014-03-28 10:30:00","745"
"disk.read.average","2014-03-28 10:00:00","523"
"disk.read.average","2014-03-28 09:30:00","2159"
"disk.read.average","2014-03-28 09:00:00","2655"
"disk.read.average","2014-03-28 08:30:00","221"
"disk.read.average","2014-03-28 08:00:00","1140"
"disk.read.average","2014-03-28 07:30:00","742"
"disk.read.average","2014-03-28 07:00:00","539"
"disk.read.average","2014-03-28 06:30:00","866"
"disk.read.average","2014-03-28 06:00:00","529"
"disk.read.average","2014-03-28 05:30:00","162"
"disk.read.average","2014-03-28 05:00:00","1265"
"disk.read.average","2014-03-28 04:30:00","165"
"disk.read.average","2014-03-28 04:00:00","3182"
"disk.read.average","2014-03-28 03:30:00","173"
"disk.read.average","2014-03-28 03:00:00","587"
"disk.read.average","2014-03-28 02:30:00","776"
"disk.read.average","2014-03-28 02:00:00","3893"
"disk.read.average","2014-03-28 01:30:00","153"
"disk.read.average","2014-03-28 01:00:00","1100"
"disk.read.average","2014-03-28 00:30:00","195"
"disk.read.average","2014-03-28 00:00:00","916"
"disk.read.average","2014-03-27 23:30:00","153"
"disk.read.average","2014-03-27 23:00:00","538"
"disk.read.average","2014-03-27 22:30:00","172"
"disk.read.average","2014-03-27 22:00:00","2640"
"disk.read.average","2014-03-27 21:30:00","155"
"disk.read.average","2014-03-27 21:00:00","718"
"disk.read.average","2014-03-27 20:30:00","160"
"disk.read.average","2014-03-27 20:00:00","517"
"disk.read.average","2014-03-27 19:30:00","176"
"disk.read.average","2014-03-27 19:00:00","517"
"disk.read.average","2014-03-27 18:30:00","155"
"disk.read.average","2014-03-27 18:00:00","515"
"disk.read.average","2014-03-27 17:30:00","155"
"disk.read.average","2014-03-27 17:00:00","517"
"disk.read.average","2014-03-27 16:30:00","154"
"disk.read.average","2014-03-27 16:00:00","518"
"disk.read.average","2014-03-27 15:30:00","155"
"disk.read.average","2014-03-27 15:00:00","516"
"disk.read.average","2014-03-27 14:30:00","155"
"disk.read.average","2014-03-27 14:00:00","517"
"disk.read.average","2014-03-27 13:30:00","156"
"disk.read.average","2014-03-27 13:00:00","518"
"disk.read.average","2014-03-27 12:30:00","156"
"disk.read.average","2014-03-27 12:00:00","513"
"disk.read.average","2014-03-27 11:30:00","152"
"disk.read.average","2014-03-27 11:00:00","503"
"disk.read.average","2014-03-27 10:30:00","164"
"disk.read.average","2014-03-27 10:00:00","1080"
"disk.read.average","2014-03-27 09:30:00","1466"
"disk.read.average","2014-03-27 09:00:00","1266"
"disk.read.average","2014-03-27 08:30:00","218"
"disk.read.average","2014-03-27 08:00:00","1125"
"disk.read.average","2014-03-27 07:30:00","744"
"disk.read.average","2014-03-27 07:00:00","500"
"disk.read.average","2014-03-27 06:30:00","845"
"disk.read.average","2014-03-27 06:00:00","513"
"disk.read.average","2014-03-27 05:30:00","159"
"disk.read.average","2014-03-27 05:00:00","1251"
"disk.read.average","2014-03-27 04:30:00","173"
"disk.read.average","2014-03-27 04:00:00","3173"
"disk.read.average","2014-03-27 03:30:00","182"
"disk.read.average","2014-03-27 03:00:00","584"
"disk.read.average","2014-03-27 02:30:00","753"
"disk.read.average","2014-03-27 02:00:00","3868"
"disk.read.average","2014-03-27 01:30:00","154"
"disk.read.average","2014-03-27 01:00:00","1106"
"disk.read.average","2014-03-27 00:30:00","172"
"disk.read.average","2014-03-27 00:00:00","919"
"disk.read.average","2014-03-26 23:30:00","150"
"disk.read.average","2014-03-26 23:00:00","526"
"disk.read.average","2014-03-26 22:30:00","177"
"disk.read.average","2014-03-26 22:00:00","2634"
"disk.read.average","2014-03-26 21:30:00","150"
"disk.read.average","2014-03-26 21:00:00","689"
"disk.read.average","2014-03-26 20:30:00","150"
"disk.read.average","2014-03-26 20:00:00","507"
"disk.read.average","2014-03-26 19:30:00","171"
"disk.read.average","2014-03-26 19:00:00","502"
"disk.read.average","2014-03-26 18:30:00","152"
"disk.read.average","2014-03-26 18:00:00","502"
"disk.read.average","2014-03-26 17:30:00","151"
"disk.read.average","2014-03-26 17:00:00","504"
"disk.read.average","2014-03-26 16:30:00","157"
"disk.read.average","2014-03-26 16:00:00","503"
"disk.read.average","2014-03-26 15:30:00","153"
"disk.write.average","2014-03-28 14:00:00","160"
"disk.write.average","2014-03-28 13:30:00","80"
"disk.write.average","2014-03-28 13:00:00","161"
"disk.write.average","2014-03-28 12:30:00","80"
"disk.write.average","2014-03-28 12:00:00","160"
"disk.write.average","2014-03-28 11:30:00","80"
"disk.write.average","2014-03-28 11:00:00","160"
"disk.write.average","2014-03-28 10:30:00","82"
"disk.write.average","2014-03-28 10:00:00","167"
"disk.write.average","2014-03-28 09:30:00","884"
"disk.write.average","2014-03-28 09:00:00","670"
"disk.write.average","2014-03-28 08:30:00","107"
"disk.write.average","2014-03-28 08:00:00","310"
"disk.write.average","2014-03-28 07:30:00","187"
"disk.write.average","2014-03-28 07:00:00","162"
"disk.write.average","2014-03-28 06:30:00","725"
"disk.write.average","2014-03-28 06:00:00","163"
"disk.write.average","2014-03-28 05:30:00","88"
"disk.write.average","2014-03-28 05:00:00","310"
"disk.write.average","2014-03-28 04:30:00","200"
"disk.write.average","2014-03-28 04:00:00","4556"
"disk.write.average","2014-03-28 03:30:00","116"
"disk.write.average","2014-03-28 03:00:00","303"
"disk.write.average","2014-03-28 02:30:00","488"
"disk.write.average","2014-03-28 02:00:00","671"
"disk.write.average","2014-03-28 01:30:00","93"
"disk.write.average","2014-03-28 01:00:00","728"
"disk.write.average","2014-03-28 00:30:00","286"
"disk.write.average","2014-03-28 00:00:00","2347"
"disk.write.average","2014-03-27 23:30:00","82"
"disk.write.average","2014-03-27 23:00:00","166"
"disk.write.average","2014-03-27 22:30:00","133"
"disk.write.average","2014-03-27 22:00:00","297"
"disk.write.average","2014-03-27 21:30:00","80"
"disk.write.average","2014-03-27 21:00:00","170"
"disk.write.average","2014-03-27 20:30:00","80"
"disk.write.average","2014-03-27 20:00:00","160"
"disk.write.average","2014-03-27 19:30:00","81"
"disk.write.average","2014-03-27 19:00:00","160"
"disk.write.average","2014-03-27 18:30:00","80"
"disk.write.average","2014-03-27 18:00:00","161"
"disk.write.average","2014-03-27 17:30:00","79"
"disk.write.average","2014-03-27 17:00:00","161"
"disk.write.average","2014-03-27 16:30:00","80"
"disk.write.average","2014-03-27 16:00:00","160"
"disk.write.average","2014-03-27 15:30:00","80"
"disk.write.average","2014-03-27 15:00:00","160"
"disk.write.average","2014-03-27 14:30:00","80"
"disk.write.average","2014-03-27 14:00:00","160"
"disk.write.average","2014-03-27 13:30:00","80"
"disk.write.average","2014-03-27 13:00:00","160"
"disk.write.average","2014-03-27 12:30:00","81"
"disk.write.average","2014-03-27 12:00:00","159"
"disk.write.average","2014-03-27 11:30:00","80"
"disk.write.average","2014-03-27 11:00:00","165"
"disk.write.average","2014-03-27 10:30:00","83"
"disk.write.average","2014-03-27 10:00:00","166"
