"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","15.71"
"cpu.usage.average","2014-03-28 13:30:00","12.16"
"cpu.usage.average","2014-03-28 13:00:00","10.54"
"cpu.usage.average","2014-03-28 12:30:00","11.23"
"cpu.usage.average","2014-03-28 12:00:00","12.39"
"cpu.usage.average","2014-03-28 11:30:00","11.98"
"cpu.usage.average","2014-03-28 11:00:00","9.83"
"cpu.usage.average","2014-03-28 10:30:00","13.14"
"cpu.usage.average","2014-03-28 10:00:00","12.92"
"cpu.usage.average","2014-03-28 09:30:00","13.45"
"cpu.usage.average","2014-03-28 09:00:00","11.64"
"cpu.usage.average","2014-03-28 08:30:00","8.74"
"cpu.usage.average","2014-03-28 08:00:00","11.92"
"cpu.usage.average","2014-03-28 07:30:00","12.13"
"cpu.usage.average","2014-03-28 07:00:00","13.24"
"cpu.usage.average","2014-03-28 06:30:00","11.59"
"cpu.usage.average","2014-03-28 06:00:00","9.81"
"cpu.usage.average","2014-03-28 05:30:00","9.94"
"cpu.usage.average","2014-03-28 05:00:00","9.85"
"cpu.usage.average","2014-03-28 04:30:00","9.09"
"cpu.usage.average","2014-03-28 04:00:00","14.55"
"cpu.usage.average","2014-03-28 03:30:00","10.2"
"cpu.usage.average","2014-03-28 03:00:00","9.48"
"cpu.usage.average","2014-03-28 02:30:00","9.13"
"cpu.usage.average","2014-03-28 02:00:00","13.26"
"cpu.usage.average","2014-03-28 01:30:00","32.39"
"cpu.usage.average","2014-03-28 01:00:00","10.33"
"cpu.usage.average","2014-03-28 00:30:00","10.08"
"cpu.usage.average","2014-03-28 00:00:00","12.07"
"cpu.usage.average","2014-03-27 23:30:00","11.28"
"cpu.usage.average","2014-03-27 23:00:00","14.28"
"cpu.usage.average","2014-03-27 22:30:00","12.53"
"cpu.usage.average","2014-03-27 22:00:00","16.31"
"cpu.usage.average","2014-03-27 21:30:00","13.66"
"cpu.usage.average","2014-03-27 21:00:00","16.63"
"cpu.usage.average","2014-03-27 20:30:00","16.17"
"cpu.usage.average","2014-03-27 20:00:00","18.29"
"cpu.usage.average","2014-03-27 19:30:00","14.1"
"cpu.usage.average","2014-03-27 19:00:00","13.22"
"cpu.usage.average","2014-03-27 18:30:00","11.06"
"cpu.usage.average","2014-03-27 18:00:00","9.76"
"cpu.usage.average","2014-03-27 17:30:00","11.1"
"cpu.usage.average","2014-03-27 17:00:00","11.74"
"cpu.usage.average","2014-03-27 16:30:00","12.16"
"cpu.usage.average","2014-03-27 16:00:00","14.11"
"cpu.usage.average","2014-03-27 15:30:00","11.46"
"cpu.usage.average","2014-03-27 15:00:00","11.21"
"cpu.usage.average","2014-03-27 14:30:00","14.48"
"cpu.usage.average","2014-03-27 14:00:00","21.1"
"cpu.usage.average","2014-03-27 13:30:00","14.85"
"cpu.usage.average","2014-03-27 13:00:00","13.66"
"cpu.usage.average","2014-03-27 12:30:00","9.15"
"cpu.usage.average","2014-03-27 12:00:00","10.21"
"cpu.usage.average","2014-03-27 11:30:00","9.72"
"cpu.usage.average","2014-03-27 11:00:00","14"
"cpu.usage.average","2014-03-27 10:30:00","15.92"
"cpu.usage.average","2014-03-27 10:00:00","10.82"
"cpu.usage.average","2014-03-27 09:30:00","13.06"
"cpu.usage.average","2014-03-27 09:00:00","12.45"
"cpu.usage.average","2014-03-27 08:30:00","9.97"
"cpu.usage.average","2014-03-27 08:00:00","9.29"
"cpu.usage.average","2014-03-27 07:30:00","10.98"
"cpu.usage.average","2014-03-27 07:00:00","11.94"
"cpu.usage.average","2014-03-27 06:30:00","10.97"
"cpu.usage.average","2014-03-27 06:00:00","9.28"
"cpu.usage.average","2014-03-27 05:30:00","10.49"
"cpu.usage.average","2014-03-27 05:00:00","10.99"
"cpu.usage.average","2014-03-27 04:30:00","10.19"
"cpu.usage.average","2014-03-27 04:00:00","14.71"
"cpu.usage.average","2014-03-27 03:30:00","8.33"
"cpu.usage.average","2014-03-27 03:00:00","8.09"
"cpu.usage.average","2014-03-27 02:30:00","9.09"
"cpu.usage.average","2014-03-27 02:00:00","15.11"
"cpu.usage.average","2014-03-27 01:30:00","34.96"
"cpu.usage.average","2014-03-27 01:00:00","12.92"
"cpu.usage.average","2014-03-27 00:30:00","12.92"
"cpu.usage.average","2014-03-27 00:00:00","15.2"
"cpu.usage.average","2014-03-26 23:30:00","11.53"
"cpu.usage.average","2014-03-26 23:00:00","14.98"
"cpu.usage.average","2014-03-26 22:30:00","15.54"
"cpu.usage.average","2014-03-26 22:00:00","16.5"
"cpu.usage.average","2014-03-26 21:30:00","12.14"
"cpu.usage.average","2014-03-26 21:00:00","12.93"
"cpu.usage.average","2014-03-26 20:30:00","12.52"
"cpu.usage.average","2014-03-26 20:00:00","13.76"
"cpu.usage.average","2014-03-26 19:30:00","10.59"
"cpu.usage.average","2014-03-26 19:00:00","12.66"
"cpu.usage.average","2014-03-26 18:30:00","8.93"
"cpu.usage.average","2014-03-26 18:00:00","8.48"
"cpu.usage.average","2014-03-26 17:30:00","11.33"
"cpu.usage.average","2014-03-26 17:00:00","14.97"
"cpu.usage.average","2014-03-26 16:30:00","13.22"
"cpu.usage.average","2014-03-26 16:00:00","11.99"
"cpu.usage.average","2014-03-26 15:30:00","11.23"
"mem.active.average","2014-03-28 14:00:00","1838966"
"mem.active.average","2014-03-28 13:30:00","1783974"
"mem.active.average","2014-03-28 13:00:00","1736439"
"mem.active.average","2014-03-28 12:30:00","1838966"
"mem.active.average","2014-03-28 12:00:00","1700088"
"mem.active.average","2014-03-28 11:30:00","1628319"
"mem.active.average","2014-03-28 11:00:00","1697292"
"mem.active.average","2014-03-28 10:30:00","1852947"
"mem.active.average","2014-03-28 10:00:00","1926581"
"mem.active.average","2014-03-28 09:30:00","1949882"
"mem.active.average","2014-03-28 09:00:00","1741099"
"mem.active.average","2014-03-28 08:30:00","1955475"
"mem.active.average","2014-03-28 08:00:00","1867860"
"mem.active.average","2014-03-28 07:30:00","1956407"
"mem.active.average","2014-03-28 07:00:00","1780246"
"mem.active.average","2014-03-28 06:30:00","1788634"
"mem.active.average","2014-03-28 06:00:00","1654417"
"mem.active.average","2014-03-28 05:30:00","1620862"
"mem.active.average","2014-03-28 05:00:00","1713137"
"mem.active.average","2014-03-28 04:30:00","1789566"
"mem.active.average","2014-03-28 04:00:00","2141889"
"mem.active.average","2014-03-28 03:30:00","1709409"
"mem.active.average","2014-03-28 03:00:00","1756012"
