"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","4.2"
"cpu.usage.average","2014-03-28 13:30:00","4.9"
"cpu.usage.average","2014-03-28 13:00:00","4.19"
"cpu.usage.average","2014-03-28 12:30:00","5.05"
"cpu.usage.average","2014-03-28 12:00:00","4.23"
"cpu.usage.average","2014-03-28 11:30:00","5.02"
"cpu.usage.average","2014-03-28 11:00:00","4.11"
"cpu.usage.average","2014-03-28 10:30:00","5.93"
"cpu.usage.average","2014-03-28 10:00:00","3.95"
"cpu.usage.average","2014-03-28 09:30:00","5.05"
"cpu.usage.average","2014-03-28 09:00:00","3.32"
"cpu.usage.average","2014-03-28 08:30:00","4.34"
"cpu.usage.average","2014-03-28 08:00:00","3.29"
"cpu.usage.average","2014-03-28 07:30:00","4.65"
"cpu.usage.average","2014-03-28 07:00:00","8.13"
"cpu.usage.average","2014-03-28 06:30:00","10.41"
"cpu.usage.average","2014-03-28 06:00:00","2.26"
"cpu.usage.average","2014-03-28 05:30:00","2.93"
"cpu.usage.average","2014-03-28 05:00:00","2.61"
"cpu.usage.average","2014-03-28 04:30:00","3.54"
"cpu.usage.average","2014-03-28 04:00:00","2.57"
"cpu.usage.average","2014-03-28 03:30:00","3.15"
"cpu.usage.average","2014-03-28 03:00:00","3.91"
"cpu.usage.average","2014-03-28 02:30:00","4.1"
"cpu.usage.average","2014-03-28 02:00:00","2.75"
"cpu.usage.average","2014-03-28 01:30:00","3.48"
"cpu.usage.average","2014-03-28 01:00:00","3.69"
"cpu.usage.average","2014-03-28 00:30:00","3.86"
"cpu.usage.average","2014-03-28 00:00:00","3.62"
"cpu.usage.average","2014-03-27 23:30:00","4.59"
"cpu.usage.average","2014-03-27 23:00:00","4.56"
"cpu.usage.average","2014-03-27 22:30:00","5.67"
"cpu.usage.average","2014-03-27 22:00:00","6.06"
"cpu.usage.average","2014-03-27 21:30:00","6.15"
"cpu.usage.average","2014-03-27 21:00:00","5.74"
"cpu.usage.average","2014-03-27 20:30:00","6.29"
"cpu.usage.average","2014-03-27 20:00:00","5.5"
"cpu.usage.average","2014-03-27 19:30:00","6.21"
"cpu.usage.average","2014-03-27 19:00:00","5.16"
"cpu.usage.average","2014-03-27 18:30:00","5.91"
"cpu.usage.average","2014-03-27 18:00:00","4.74"
"cpu.usage.average","2014-03-27 17:30:00","5.5"
"cpu.usage.average","2014-03-27 17:00:00","4.84"
"cpu.usage.average","2014-03-27 16:30:00","5.48"
"cpu.usage.average","2014-03-27 16:00:00","4.42"
