"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","25.01"
"cpu.usage.average","2014-03-28 13:30:00","20.01"
"cpu.usage.average","2014-03-28 13:00:00","26.79"
"cpu.usage.average","2014-03-28 12:30:00","20.92"
"cpu.usage.average","2014-03-28 12:00:00","21.92"
"cpu.usage.average","2014-03-28 11:30:00","21.17"
"cpu.usage.average","2014-03-28 11:00:00","24.14"
"cpu.usage.average","2014-03-28 10:30:00","22.83"
"cpu.usage.average","2014-03-28 10:00:00","19.14"
"cpu.usage.average","2014-03-28 09:30:00","17.58"
"cpu.usage.average","2014-03-28 09:00:00","17.02"
"cpu.usage.average","2014-03-28 08:30:00","14.23"
"cpu.usage.average","2014-03-28 08:00:00","12.95"
"cpu.usage.average","2014-03-28 07:30:00","10.34"
"cpu.usage.average","2014-03-28 07:00:00","14.93"
"cpu.usage.average","2014-03-28 06:30:00","10.95"
"cpu.usage.average","2014-03-28 06:00:00","12.42"
"cpu.usage.average","2014-03-28 05:30:00","9.43"
"cpu.usage.average","2014-03-28 05:00:00","10.77"
"cpu.usage.average","2014-03-28 04:30:00","10.03"
"cpu.usage.average","2014-03-28 04:00:00","11.18"
"cpu.usage.average","2014-03-28 03:30:00","13.63"
"cpu.usage.average","2014-03-28 03:00:00","12.85"
"cpu.usage.average","2014-03-28 02:30:00","13.02"
"cpu.usage.average","2014-03-28 02:00:00","12.56"
"cpu.usage.average","2014-03-28 01:30:00","14.28"
"cpu.usage.average","2014-03-28 01:00:00","13.91"
"cpu.usage.average","2014-03-28 00:30:00","14.7"
"cpu.usage.average","2014-03-28 00:00:00","14.51"
"cpu.usage.average","2014-03-27 23:30:00","15.74"
"cpu.usage.average","2014-03-27 23:00:00","19.52"
"cpu.usage.average","2014-03-27 22:30:00","20.8"
"cpu.usage.average","2014-03-27 22:00:00","24.55"
"cpu.usage.average","2014-03-27 21:30:00","25.07"
"cpu.usage.average","2014-03-27 21:00:00","24.09"
"cpu.usage.average","2014-03-27 20:30:00","23.53"
"cpu.usage.average","2014-03-27 20:00:00","22.43"
"cpu.usage.average","2014-03-27 19:30:00","24"
"cpu.usage.average","2014-03-27 19:00:00","25.99"
"cpu.usage.average","2014-03-27 18:30:00","25.05"
"cpu.usage.average","2014-03-27 18:00:00","23.14"
"cpu.usage.average","2014-03-27 17:30:00","21.82"
"cpu.usage.average","2014-03-27 17:00:00","23.23"
"cpu.usage.average","2014-03-27 16:30:00","22.39"
"cpu.usage.average","2014-03-27 16:00:00","22.11"
"cpu.usage.average","2014-03-27 15:30:00","19.27"
"cpu.usage.average","2014-03-27 15:00:00","22.14"
"cpu.usage.average","2014-03-27 14:30:00","19.1"
"cpu.usage.average","2014-03-27 14:00:00","24.34"
"cpu.usage.average","2014-03-27 13:30:00","17.93"
"cpu.usage.average","2014-03-27 13:00:00","19.47"
"cpu.usage.average","2014-03-27 12:30:00","21.36"
"cpu.usage.average","2014-03-27 12:00:00","26.1"
"cpu.usage.average","2014-03-27 11:30:00","21.57"
"cpu.usage.average","2014-03-27 11:00:00","25.57"
"cpu.usage.average","2014-03-27 10:30:00","20.31"
"cpu.usage.average","2014-03-27 10:00:00","20"
"cpu.usage.average","2014-03-27 09:30:00","19.71"
"cpu.usage.average","2014-03-27 09:00:00","20.96"
"cpu.usage.average","2014-03-27 08:30:00","17.44"
"cpu.usage.average","2014-03-27 08:00:00","13.18"
"cpu.usage.average","2014-03-27 07:30:00","11.47"
"cpu.usage.average","2014-03-27 07:00:00","12.32"
