"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","35.78"
"cpu.usage.average","2014-03-28 13:30:00","17.3"
"cpu.usage.average","2014-03-28 13:00:00","17.96"
"cpu.usage.average","2014-03-28 12:30:00","31.66"
"cpu.usage.average","2014-03-28 12:00:00","69.38"
"cpu.usage.average","2014-03-28 11:30:00","65.03"
"cpu.usage.average","2014-03-28 11:00:00","52.5"
"cpu.usage.average","2014-03-28 10:30:00","10.79"
"cpu.usage.average","2014-03-28 10:00:00","22.17"
"cpu.usage.average","2014-03-28 09:30:00","25.18"
"cpu.usage.average","2014-03-28 09:00:00","11.18"
"cpu.usage.average","2014-03-28 08:30:00","10.45"
"cpu.usage.average","2014-03-28 08:00:00","11.1"
"cpu.usage.average","2014-03-28 07:30:00","13.93"
"cpu.usage.average","2014-03-28 07:00:00","29.69"
"cpu.usage.average","2014-03-28 06:30:00","22.97"
"cpu.usage.average","2014-03-28 06:00:00","17.39"
"cpu.usage.average","2014-03-28 05:30:00","13.17"
"cpu.usage.average","2014-03-28 05:00:00","12.43"
"cpu.usage.average","2014-03-28 04:30:00","3.21"
"cpu.usage.average","2014-03-28 04:00:00","3.88"
"cpu.usage.average","2014-03-28 03:30:00","3.09"
"cpu.usage.average","2014-03-28 03:00:00","4.64"
"cpu.usage.average","2014-03-28 02:30:00","5.43"
"cpu.usage.average","2014-03-28 02:00:00","15.94"
"cpu.usage.average","2014-03-28 01:30:00","27.16"
"cpu.usage.average","2014-03-28 01:00:00","12.92"
"cpu.usage.average","2014-03-28 00:30:00","5.72"
"cpu.usage.average","2014-03-28 00:00:00","8.83"
"cpu.usage.average","2014-03-27 23:30:00","9.76"
"cpu.usage.average","2014-03-27 23:00:00","11.73"
"cpu.usage.average","2014-03-27 22:30:00","10.01"
"cpu.usage.average","2014-03-27 22:00:00","12.34"
"cpu.usage.average","2014-03-27 21:30:00","9.83"
"cpu.usage.average","2014-03-27 21:00:00","11.82"
"cpu.usage.average","2014-03-27 20:30:00","9.86"
"cpu.usage.average","2014-03-27 20:00:00","11.7"
"cpu.usage.average","2014-03-27 19:30:00","9.97"
"cpu.usage.average","2014-03-27 19:00:00","12.05"
"cpu.usage.average","2014-03-27 18:30:00","10.14"
"cpu.usage.average","2014-03-27 18:00:00","11.94"
"cpu.usage.average","2014-03-27 17:30:00","10.35"
"cpu.usage.average","2014-03-27 17:00:00","11.93"
"cpu.usage.average","2014-03-27 16:30:00","10.44"
"cpu.usage.average","2014-03-27 16:00:00","11.73"
"cpu.usage.average","2014-03-27 15:30:00","10.23"
"cpu.usage.average","2014-03-27 15:00:00","14.95"
"cpu.usage.average","2014-03-27 14:30:00","18.36"
"cpu.usage.average","2014-03-27 14:00:00","18.7"
"cpu.usage.average","2014-03-27 13:30:00","11.7"
"cpu.usage.average","2014-03-27 13:00:00","13.21"
"cpu.usage.average","2014-03-27 12:30:00","23.88"
"cpu.usage.average","2014-03-27 12:00:00","62.36"
"cpu.usage.average","2014-03-27 11:30:00","61.65"
"cpu.usage.average","2014-03-27 11:00:00","53.22"
"cpu.usage.average","2014-03-27 10:30:00","14.55"
"cpu.usage.average","2014-03-27 10:00:00","24.79"
"cpu.usage.average","2014-03-27 09:30:00","24.59"
"cpu.usage.average","2014-03-27 09:00:00","14.19"
"cpu.usage.average","2014-03-27 08:30:00","10.11"
"cpu.usage.average","2014-03-27 08:00:00","11.83"
"cpu.usage.average","2014-03-27 07:30:00","14.92"
"cpu.usage.average","2014-03-27 07:00:00","29.98"
"cpu.usage.average","2014-03-27 06:30:00","23.24"
"cpu.usage.average","2014-03-27 06:00:00","18.28"
"cpu.usage.average","2014-03-27 05:30:00","13.15"
"cpu.usage.average","2014-03-27 05:00:00","17.59"
"cpu.usage.average","2014-03-27 04:30:00","20.66"
"cpu.usage.average","2014-03-27 04:00:00","16.12"
"cpu.usage.average","2014-03-27 03:30:00","9.05"
"cpu.usage.average","2014-03-27 03:00:00","10.02"
"cpu.usage.average","2014-03-27 02:30:00","4.93"
"cpu.usage.average","2014-03-27 02:00:00","23.6"
"cpu.usage.average","2014-03-27 01:30:00","24.44"
"cpu.usage.average","2014-03-27 01:00:00","18.03"
"cpu.usage.average","2014-03-27 00:30:00","6.11"
"cpu.usage.average","2014-03-27 00:00:00","10.38"
"cpu.usage.average","2014-03-26 23:30:00","9.93"
"cpu.usage.average","2014-03-26 23:00:00","11.71"
"cpu.usage.average","2014-03-26 22:30:00","10.03"
"cpu.usage.average","2014-03-26 22:00:00","12.55"
"cpu.usage.average","2014-03-26 21:30:00","9.79"
"cpu.usage.average","2014-03-26 21:00:00","11.72"
"cpu.usage.average","2014-03-26 20:30:00","9.8"
"cpu.usage.average","2014-03-26 20:00:00","11.56"
