"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","15.25"
"cpu.usage.average","2014-03-28 14:00:00","14.66"
"cpu.usage.average","2014-03-28 13:30:00","12.86"
"cpu.usage.average","2014-03-28 13:00:00","12.58"
"cpu.usage.average","2014-03-28 12:30:00","13.52"
"cpu.usage.average","2014-03-28 12:00:00","13.12"
"cpu.usage.average","2014-03-28 11:30:00","12.43"
"cpu.usage.average","2014-03-28 11:00:00","11.95"
"cpu.usage.average","2014-03-28 10:30:00","11.64"
"cpu.usage.average","2014-03-28 10:00:00","10.53"
"cpu.usage.average","2014-03-28 09:30:00","10.53"
"cpu.usage.average","2014-03-28 09:00:00","9.85"
"cpu.usage.average","2014-03-28 08:30:00","8.92"
"cpu.usage.average","2014-03-28 08:00:00","7.68"
"cpu.usage.average","2014-03-28 07:30:00","7.14"
"cpu.usage.average","2014-03-28 07:00:00","5.68"
"cpu.usage.average","2014-03-28 06:30:00","4.84"
"cpu.usage.average","2014-03-28 06:00:00","3.96"
"cpu.usage.average","2014-03-28 05:30:00","3.8"
"cpu.usage.average","2014-03-28 05:00:00","3.37"
"cpu.usage.average","2014-03-28 04:30:00","3.14"
"cpu.usage.average","2014-03-28 04:00:00","3.18"
"cpu.usage.average","2014-03-28 03:30:00","3.48"
"cpu.usage.average","2014-03-28 03:00:00","3.84"
"cpu.usage.average","2014-03-28 02:30:00","3.86"
"cpu.usage.average","2014-03-28 02:00:00","4.26"
"cpu.usage.average","2014-03-28 01:30:00","4.83"
"cpu.usage.average","2014-03-28 01:00:00","5.48"
"cpu.usage.average","2014-03-28 00:30:00","6.06"
"cpu.usage.average","2014-03-28 00:00:00","7.2"
"cpu.usage.average","2014-03-27 23:30:00","8.18"
"cpu.usage.average","2014-03-27 23:00:00","10.09"
"cpu.usage.average","2014-03-27 22:30:00","11.71"
"cpu.usage.average","2014-03-27 22:00:00","13.03"
"cpu.usage.average","2014-03-27 21:30:00","13.83"
"cpu.usage.average","2014-03-27 21:00:00","14.46"
"cpu.usage.average","2014-03-27 20:30:00","14.96"
"cpu.usage.average","2014-03-27 20:00:00","14.69"
"cpu.usage.average","2014-03-27 19:30:00","14.47"
"cpu.usage.average","2014-03-27 19:00:00","13.99"
"cpu.usage.average","2014-03-27 18:30:00","14.42"
"cpu.usage.average","2014-03-27 18:00:00","14"
"cpu.usage.average","2014-03-27 17:30:00","13.75"
"cpu.usage.average","2014-03-27 17:00:00","13.61"
"cpu.usage.average","2014-03-27 16:30:00","13.56"
"cpu.usage.average","2014-03-27 16:00:00","13.47"
"cpu.usage.average","2014-03-27 15:30:00","13.02"
"cpu.usage.average","2014-03-27 15:00:00","12.98"
"cpu.usage.average","2014-03-27 14:30:00","12.63"
"cpu.usage.average","2014-03-27 14:00:00","12.29"
"cpu.usage.average","2014-03-27 13:30:00","12.09"
"cpu.usage.average","2014-03-27 13:00:00","12.25"
"cpu.usage.average","2014-03-27 12:30:00","12.22"
"cpu.usage.average","2014-03-27 12:00:00","12.17"
"cpu.usage.average","2014-03-27 11:30:00","11.28"
"cpu.usage.average","2014-03-27 11:00:00","12.31"
"cpu.usage.average","2014-03-27 10:30:00","10.46"
"cpu.usage.average","2014-03-27 10:00:00","9.54"
"cpu.usage.average","2014-03-27 09:30:00","9.16"
"cpu.usage.average","2014-03-27 09:00:00","7.65"
"cpu.usage.average","2014-03-27 08:30:00","8.33"
"cpu.usage.average","2014-03-27 08:00:00","8.06"
"cpu.usage.average","2014-03-27 07:30:00","7.67"
"cpu.usage.average","2014-03-27 07:00:00","6.24"
