"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","2.78"
"cpu.usage.average","2014-03-28 13:30:00","2.79"
"cpu.usage.average","2014-03-28 13:00:00","2.74"
"cpu.usage.average","2014-03-28 12:30:00","2.93"
"cpu.usage.average","2014-03-28 12:00:00","2.8"
"cpu.usage.average","2014-03-28 11:30:00","2.73"
"cpu.usage.average","2014-03-28 11:00:00","2.76"
"cpu.usage.average","2014-03-28 10:30:00","2.68"
"cpu.usage.average","2014-03-28 10:00:00","2.8"
"cpu.usage.average","2014-03-28 09:30:00","2.96"
"cpu.usage.average","2014-03-28 09:00:00","3.04"
"cpu.usage.average","2014-03-28 08:30:00","2.8"
"cpu.usage.average","2014-03-28 08:00:00","2.66"
"cpu.usage.average","2014-03-28 07:30:00","2.46"
"cpu.usage.average","2014-03-28 07:00:00","2.68"
"cpu.usage.average","2014-03-28 06:30:00","2.79"
"cpu.usage.average","2014-03-28 06:00:00","2.81"
"cpu.usage.average","2014-03-28 05:30:00","2.69"
"cpu.usage.average","2014-03-28 05:00:00","2.45"
"cpu.usage.average","2014-03-28 04:30:00","2.45"
"cpu.usage.average","2014-03-28 04:00:00","2.47"
"cpu.usage.average","2014-03-28 03:30:00","2.68"
"cpu.usage.average","2014-03-28 03:00:00","2.78"
"cpu.usage.average","2014-03-28 02:30:00","2.78"
"cpu.usage.average","2014-03-28 02:00:00","2.85"
"cpu.usage.average","2014-03-28 01:30:00","3.05"
"cpu.usage.average","2014-03-28 01:00:00","2.77"
"cpu.usage.average","2014-03-28 00:30:00","2.79"
"cpu.usage.average","2014-03-28 00:00:00","2.76"
"cpu.usage.average","2014-03-27 23:30:00","2.76"
"cpu.usage.average","2014-03-27 23:00:00","2.76"
"cpu.usage.average","2014-03-27 22:30:00","2.78"
"cpu.usage.average","2014-03-27 22:00:00","2.76"
"cpu.usage.average","2014-03-27 21:30:00","2.95"
"cpu.usage.average","2014-03-27 21:00:00","2.71"
"cpu.usage.average","2014-03-27 20:30:00","2.73"
"cpu.usage.average","2014-03-27 20:00:00","2.61"
"cpu.usage.average","2014-03-27 19:30:00","2.55"
"cpu.usage.average","2014-03-27 19:00:00","2.67"
"cpu.usage.average","2014-03-27 18:30:00","2.78"
"cpu.usage.average","2014-03-27 18:00:00","3"
"cpu.usage.average","2014-03-27 17:30:00","2.63"
"cpu.usage.average","2014-03-27 17:00:00","2.77"
"cpu.usage.average","2014-03-27 16:30:00","2.8"
"cpu.usage.average","2014-03-27 16:00:00","2.8"
"cpu.usage.average","2014-03-27 15:30:00","2.81"
"cpu.usage.average","2014-03-27 15:00:00","2.81"
"cpu.usage.average","2014-03-27 14:30:00","2.72"
"cpu.usage.average","2014-03-27 14:00:00","2.95"
"cpu.usage.average","2014-03-27 13:30:00","2.79"
"cpu.usage.average","2014-03-27 13:00:00","2.78"
"cpu.usage.average","2014-03-27 12:30:00","2.7"
"cpu.usage.average","2014-03-27 12:00:00","2.83"
"cpu.usage.average","2014-03-27 11:30:00","2.65"
"cpu.usage.average","2014-03-27 11:00:00","2.8"
"cpu.usage.average","2014-03-27 10:30:00","2.99"
"cpu.usage.average","2014-03-27 10:00:00","2.78"
"cpu.usage.average","2014-03-27 09:30:00","2.77"
"cpu.usage.average","2014-03-27 09:00:00","2.79"
"cpu.usage.average","2014-03-27 08:30:00","2.67"
"cpu.usage.average","2014-03-27 08:00:00","2.77"
"cpu.usage.average","2014-03-27 07:30:00","2.82"
"cpu.usage.average","2014-03-27 07:00:00","2.98"
"cpu.usage.average","2014-03-27 06:30:00","2.78"
"cpu.usage.average","2014-03-27 06:00:00","2.81"
"cpu.usage.average","2014-03-27 05:30:00","2.64"
"cpu.usage.average","2014-03-27 05:00:00","2.78"
"cpu.usage.average","2014-03-27 04:30:00","2.83"
"cpu.usage.average","2014-03-27 04:00:00","2.8"
"cpu.usage.average","2014-03-27 03:30:00","2.94"
"cpu.usage.average","2014-03-27 03:00:00","2.75"
"cpu.usage.average","2014-03-27 02:30:00","2.73"
"cpu.usage.average","2014-03-27 02:00:00","2.76"
"cpu.usage.average","2014-03-27 01:30:00","2.77"
"cpu.usage.average","2014-03-27 01:00:00","2.78"
"cpu.usage.average","2014-03-27 00:30:00","2.52"
"cpu.usage.average","2014-03-27 00:00:00","2.69"
"cpu.usage.average","2014-03-26 23:30:00","2.56"
"cpu.usage.average","2014-03-26 23:00:00","2.67"
"cpu.usage.average","2014-03-26 22:30:00","2.5"
"cpu.usage.average","2014-03-26 22:00:00","2.58"
"cpu.usage.average","2014-03-26 21:30:00","2.74"
"cpu.usage.average","2014-03-26 21:00:00","2.78"
"cpu.usage.average","2014-03-26 20:30:00","2.93"
"cpu.usage.average","2014-03-26 20:00:00","2.83"
"cpu.usage.average","2014-03-26 19:30:00","2.75"
"cpu.usage.average","2014-03-26 19:00:00","2.78"
"cpu.usage.average","2014-03-26 18:30:00","2.75"
"cpu.usage.average","2014-03-26 18:00:00","2.76"
"cpu.usage.average","2014-03-26 17:30:00","2.66"
"cpu.usage.average","2014-03-26 17:00:00","2.89"
"cpu.usage.average","2014-03-26 16:30:00","2.79"
"cpu.usage.average","2014-03-26 16:00:00","2.82"
"cpu.usage.average","2014-03-26 15:30:00","2.82"
"mem.active.average","2014-03-28 14:00:00","205054"
"mem.active.average","2014-03-28 13:30:00","242336"
"mem.active.average","2014-03-28 13:00:00","149130"
"mem.active.average","2014-03-28 12:30:00","507043"
"mem.active.average","2014-03-28 12:00:00","287076"
"mem.active.average","2014-03-28 11:30:00","201326"
"mem.active.average","2014-03-28 11:00:00","201326"
"mem.active.average","2014-03-28 10:30:00","197597"
"mem.active.average","2014-03-28 10:00:00","264706"
"mem.active.average","2014-03-28 09:30:00","480946"
"mem.active.average","2014-03-28 09:00:00","305717"
"mem.active.average","2014-03-28 08:30:00","156586"
"mem.active.average","2014-03-28 08:00:00","126760"
"mem.active.average","2014-03-28 07:30:00","100663"
"mem.active.average","2014-03-28 07:00:00","190141"
"mem.active.average","2014-03-28 06:30:00","346728"
"mem.active.average","2014-03-28 06:00:00","193869"
"mem.active.average","2014-03-28 05:30:00","809033"
"mem.active.average","2014-03-28 05:00:00","156587"
"mem.active.average","2014-03-28 04:30:00","167771"
"mem.active.average","2014-03-28 04:00:00","156586"
"mem.active.average","2014-03-28 03:30:00","175228"
"mem.active.average","2014-03-28 03:00:00","298260"
"mem.active.average","2014-03-28 02:30:00","257249"
"mem.active.average","2014-03-28 02:00:00","264706"
"mem.active.average","2014-03-28 01:30:00","290804"
"mem.active.average","2014-03-28 01:00:00","272163"
"mem.active.average","2014-03-28 00:30:00","316902"
"mem.active.average","2014-03-28 00:00:00","152858"
"mem.active.average","2014-03-27 23:30:00","171500"
"mem.active.average","2014-03-27 23:00:00","186413"
"mem.active.average","2014-03-27 22:30:00","152858"
"mem.active.average","2014-03-27 22:00:00","231152"
"mem.active.average","2014-03-27 21:30:00","443663"
"mem.active.average","2014-03-27 21:00:00","141674"
"mem.active.average","2014-03-27 20:30:00","164043"
"mem.active.average","2014-03-27 20:00:00","164043"
"mem.active.average","2014-03-27 19:30:00","18641"
"mem.active.average","2014-03-27 19:00:00","111847"
"mem.active.average","2014-03-27 18:30:00","301989"
"mem.active.average","2014-03-27 18:00:00","600250"
"mem.active.average","2014-03-27 17:30:00","82021"
"mem.active.average","2014-03-27 17:00:00","242337"
"mem.active.average","2014-03-27 16:30:00","205054"
"mem.active.average","2014-03-27 16:00:00","328087"
"mem.active.average","2014-03-27 15:30:00","197598"
"mem.active.average","2014-03-27 15:00:00","242337"
"mem.active.average","2014-03-27 14:30:00","309445"
"mem.active.average","2014-03-27 14:00:00","622620"
"mem.active.average","2014-03-27 13:30:00","313174"
"mem.active.average","2014-03-27 13:00:00","339271"
"mem.active.average","2014-03-27 12:30:00","186413"
"mem.active.average","2014-03-27 12:00:00","290804"
"mem.active.average","2014-03-27 11:30:00","100663"
"mem.active.average","2014-03-27 11:00:00","361641"
"mem.active.average","2014-03-27 10:30:00","574152"
"mem.active.average","2014-03-27 10:00:00","186413"
"mem.active.average","2014-03-27 09:30:00","384011"
"mem.active.average","2014-03-27 09:00:00","160315"
"mem.active.average","2014-03-27 08:30:00","231152"
"mem.active.average","2014-03-27 08:00:00","216239"
"mem.active.average","2014-03-27 07:30:00","387739"
"mem.active.average","2014-03-27 07:00:00","551782"
"mem.active.average","2014-03-27 06:30:00","219967"
"mem.active.average","2014-03-27 06:00:00","212511"
"mem.active.average","2014-03-27 05:30:00","145402"
"mem.active.average","2014-03-27 05:00:00","287076"
"mem.active.average","2014-03-27 04:30:00","279619"
"mem.active.average","2014-03-27 04:00:00","193869"
"mem.active.average","2014-03-27 03:30:00","589065"
"mem.active.average","2014-03-27 03:00:00","212510"
"mem.active.average","2014-03-27 02:30:00","212510"
"mem.active.average","2014-03-27 02:00:00","137945"
"mem.active.average","2014-03-27 01:30:00","473489"
"mem.active.average","2014-03-27 01:00:00","219967"
"mem.active.average","2014-03-27 00:30:00","152858"
"mem.active.average","2014-03-27 00:00:00","637533"
"mem.active.average","2014-03-26 23:30:00","82021"
"mem.active.average","2014-03-26 23:00:00","178956"
"mem.active.average","2014-03-26 22:30:00","178956"
"mem.active.average","2014-03-26 22:00:00","67108"
"mem.active.average","2014-03-26 21:30:00","287076"
"mem.active.average","2014-03-26 21:00:00","123032"
"mem.active.average","2014-03-26 20:30:00","700913"
"mem.active.average","2014-03-26 20:00:00","305717"
"mem.active.average","2014-03-26 19:30:00","186413"
"mem.active.average","2014-03-26 19:00:00","190141"
"mem.active.average","2014-03-26 18:30:00","216239"
"mem.active.average","2014-03-26 18:00:00","212511"
"mem.active.average","2014-03-26 17:30:00","246065"
"mem.active.average","2014-03-26 17:00:00","652446"
"mem.active.average","2014-03-26 16:30:00","324359"
"mem.active.average","2014-03-26 16:00:00","275891"
"mem.active.average","2014-03-26 15:30:00","242336"
"disk.read.average","2014-03-28 14:00:00","0"
"disk.read.average","2014-03-28 13:30:00","48"
"disk.read.average","2014-03-28 13:00:00","0"
"disk.read.average","2014-03-28 12:30:00","421"
"disk.read.average","2014-03-28 12:00:00","0"
"disk.read.average","2014-03-28 11:30:00","0"
"disk.read.average","2014-03-28 11:00:00","0"
"disk.read.average","2014-03-28 10:30:00","0"
"disk.read.average","2014-03-28 10:00:00","1"
