"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","3.34"
"cpu.usage.average","2014-03-28 13:30:00","3.43"
"cpu.usage.average","2014-03-28 13:00:00","3.41"
"cpu.usage.average","2014-03-28 12:30:00","4.05"
"cpu.usage.average","2014-03-28 12:00:00","5.19"
"cpu.usage.average","2014-03-28 11:30:00","5.56"
"cpu.usage.average","2014-03-28 11:00:00","5.31"
"cpu.usage.average","2014-03-28 10:30:00","6.01"
"cpu.usage.average","2014-03-28 10:00:00","3.92"
"cpu.usage.average","2014-03-28 09:30:00","3.78"
"cpu.usage.average","2014-03-28 09:00:00","4.16"
"cpu.usage.average","2014-03-28 08:30:00","3.28"
"cpu.usage.average","2014-03-28 08:00:00","3.29"
"cpu.usage.average","2014-03-28 07:30:00","9.36"
"cpu.usage.average","2014-03-28 07:00:00","31.65"
"cpu.usage.average","2014-03-28 06:30:00","3.28"
"cpu.usage.average","2014-03-28 06:00:00","11.45"
"cpu.usage.average","2014-03-28 05:30:00","3.29"
"cpu.usage.average","2014-03-28 05:00:00","3.27"
"cpu.usage.average","2014-03-28 04:30:00","3.28"
"cpu.usage.average","2014-03-28 04:00:00","7.59"
"cpu.usage.average","2014-03-28 03:30:00","4.4"
"cpu.usage.average","2014-03-28 03:00:00","3.6"
"cpu.usage.average","2014-03-28 02:30:00","3.59"
"cpu.usage.average","2014-03-28 02:00:00","3.68"
"cpu.usage.average","2014-03-28 01:30:00","3.66"
"cpu.usage.average","2014-03-28 01:00:00","4.2"
"cpu.usage.average","2014-03-28 00:30:00","3.96"
"cpu.usage.average","2014-03-28 00:00:00","3.7"
"cpu.usage.average","2014-03-27 23:30:00","3.27"
"cpu.usage.average","2014-03-27 23:00:00","3.23"
"cpu.usage.average","2014-03-27 22:30:00","3.22"
"cpu.usage.average","2014-03-27 22:00:00","3.24"
"cpu.usage.average","2014-03-27 21:30:00","3.29"
"cpu.usage.average","2014-03-27 21:00:00","3.74"
"cpu.usage.average","2014-03-27 20:30:00","3.53"
"cpu.usage.average","2014-03-27 20:00:00","3.44"
"cpu.usage.average","2014-03-27 19:30:00","4.42"
"cpu.usage.average","2014-03-27 19:00:00","5.07"
"cpu.usage.average","2014-03-27 18:30:00","5.09"
"cpu.usage.average","2014-03-27 18:00:00","5.3"
"cpu.usage.average","2014-03-27 17:30:00","6.17"
"cpu.usage.average","2014-03-27 17:00:00","4.21"
"cpu.usage.average","2014-03-27 16:30:00","3.68"
"cpu.usage.average","2014-03-27 16:00:00","3.44"
"cpu.usage.average","2014-03-27 15:30:00","4.27"
"cpu.usage.average","2014-03-27 15:00:00","5.67"
"cpu.usage.average","2014-03-27 14:30:00","5.74"
"cpu.usage.average","2014-03-27 14:00:00","26.76"
"cpu.usage.average","2014-03-27 13:30:00","55.56"
"cpu.usage.average","2014-03-27 13:00:00","56.24"
"cpu.usage.average","2014-03-27 12:30:00","55.19"
"cpu.usage.average","2014-03-27 12:00:00","55.03"
"cpu.usage.average","2014-03-27 11:30:00","56.94"
"cpu.usage.average","2014-03-27 11:00:00","96.31"
"cpu.usage.average","2014-03-27 10:30:00","6.59"
"cpu.usage.average","2014-03-27 10:00:00","3.88"
"cpu.usage.average","2014-03-27 09:30:00","3.93"
"cpu.usage.average","2014-03-27 09:00:00","3.49"
"cpu.usage.average","2014-03-27 08:30:00","3.42"
"cpu.usage.average","2014-03-27 08:00:00","3.27"
"cpu.usage.average","2014-03-27 07:30:00","3.16"
"cpu.usage.average","2014-03-27 07:00:00","9.47"
"cpu.usage.average","2014-03-27 06:30:00","3.56"
"cpu.usage.average","2014-03-27 06:00:00","16.71"
"cpu.usage.average","2014-03-27 05:30:00","3.17"
"cpu.usage.average","2014-03-27 05:00:00","3.14"
"cpu.usage.average","2014-03-27 04:30:00","3.14"
"cpu.usage.average","2014-03-27 04:00:00","7.05"
"cpu.usage.average","2014-03-27 03:30:00","3.47"
"cpu.usage.average","2014-03-27 03:00:00","5.84"
"cpu.usage.average","2014-03-27 02:30:00","5.92"
"cpu.usage.average","2014-03-27 02:00:00","4.72"
"cpu.usage.average","2014-03-27 01:30:00","4.03"
"cpu.usage.average","2014-03-27 01:00:00","3.29"
"cpu.usage.average","2014-03-27 00:30:00","3.1"
"cpu.usage.average","2014-03-27 00:00:00","3.16"
"cpu.usage.average","2014-03-26 23:30:00","5.26"
"cpu.usage.average","2014-03-26 23:00:00","5.45"
"cpu.usage.average","2014-03-26 22:30:00","5.3"
"cpu.usage.average","2014-03-26 22:00:00","5.11"
"cpu.usage.average","2014-03-26 21:30:00","4.89"
"cpu.usage.average","2014-03-26 21:00:00","3.19"
"cpu.usage.average","2014-03-26 20:30:00","2.92"
"cpu.usage.average","2014-03-26 20:00:00","4.17"
"cpu.usage.average","2014-03-26 19:30:00","5.91"
"cpu.usage.average","2014-03-26 19:00:00","5.68"
"cpu.usage.average","2014-03-26 18:30:00","5.34"
"cpu.usage.average","2014-03-26 18:00:00","4.95"
"cpu.usage.average","2014-03-26 17:30:00","38.3"
"cpu.usage.average","2014-03-26 17:00:00","54.5"
"cpu.usage.average","2014-03-26 16:30:00","54.47"
"cpu.usage.average","2014-03-26 16:00:00","53.96"
"cpu.usage.average","2014-03-26 15:30:00","54.43"
"mem.active.average","2014-03-28 14:00:00","67108"
"mem.active.average","2014-03-28 13:30:00","182684"
"mem.active.average","2014-03-28 13:00:00","106255"
"mem.active.average","2014-03-28 12:30:00","305717"
"mem.active.average","2014-03-28 12:00:00","275891"
"mem.active.average","2014-03-28 11:30:00","458576"
"mem.active.average","2014-03-28 11:00:00","326223"
"mem.active.average","2014-03-28 10:30:00","315038"
"mem.active.average","2014-03-28 10:00:00","173364"
"mem.active.average","2014-03-28 09:30:00","234880"
"mem.active.average","2014-03-28 09:00:00","436206"
"mem.active.average","2014-03-28 08:30:00","59652"
"mem.active.average","2014-03-28 08:00:00","124896"
"mem.active.average","2014-03-28 07:30:00","2318982"
"mem.active.average","2014-03-28 07:00:00","635669"
"mem.active.average","2014-03-28 06:30:00","59651"
"mem.active.average","2014-03-28 06:00:00","417565"
"mem.active.average","2014-03-28 05:30:00","123032"
"mem.active.average","2014-03-28 05:00:00","139809"
"mem.active.average","2014-03-28 04:30:00","294532"
"mem.active.average","2014-03-28 04:00:00","1051371"
"mem.active.average","2014-03-28 03:30:00","264706"
"mem.active.average","2014-03-28 03:00:00","93206"
"mem.active.average","2014-03-28 02:30:00","87613"
"mem.active.average","2014-03-28 02:00:00","180820"
"mem.active.average","2014-03-28 01:30:00","154722"
"mem.active.average","2014-03-28 01:00:00","365369"
"mem.active.average","2014-03-28 00:30:00","126760"
"mem.active.average","2014-03-28 00:00:00","29826"
"mem.active.average","2014-03-27 23:30:00","54059"
"mem.active.average","2014-03-27 23:00:00","95070"
"mem.active.average","2014-03-27 22:30:00","39146"
"mem.active.average","2014-03-27 22:00:00","109983"
"mem.active.average","2014-03-27 21:30:00","72700"
"mem.active.average","2014-03-27 21:00:00","301989"
"mem.active.average","2014-03-27 20:30:00","91342"
"mem.active.average","2014-03-27 20:00:00","117439"
"mem.active.average","2014-03-27 19:30:00","251657"
"mem.active.average","2014-03-27 19:00:00","227423"
"mem.active.average","2014-03-27 18:30:00","275891"
"mem.active.average","2014-03-27 18:00:00","281483"
"mem.active.average","2014-03-27 17:30:00","559239"
