"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","8.38"
"cpu.usage.average","2014-03-28 13:30:00","7.98"
"cpu.usage.average","2014-03-28 13:00:00","7.75"
"cpu.usage.average","2014-03-28 12:30:00","7.33"
"cpu.usage.average","2014-03-28 12:00:00","8.41"
"cpu.usage.average","2014-03-28 11:30:00","8.98"
"cpu.usage.average","2014-03-28 11:00:00","8.39"
"cpu.usage.average","2014-03-28 10:30:00","9.69"
"cpu.usage.average","2014-03-28 10:00:00","8.59"
"cpu.usage.average","2014-03-28 09:30:00","7.66"
"cpu.usage.average","2014-03-28 09:00:00","6.63"
"cpu.usage.average","2014-03-28 08:30:00","5.92"
"cpu.usage.average","2014-03-28 08:00:00","6.44"
"cpu.usage.average","2014-03-28 07:30:00","5.25"
"cpu.usage.average","2014-03-28 07:00:00","4.85"
"cpu.usage.average","2014-03-28 06:30:00","4.62"
"cpu.usage.average","2014-03-28 06:00:00","4.74"
"cpu.usage.average","2014-03-28 05:30:00","4.49"
"cpu.usage.average","2014-03-28 05:00:00","4.88"
"cpu.usage.average","2014-03-28 04:30:00","4.73"
"cpu.usage.average","2014-03-28 04:00:00","4.74"
"cpu.usage.average","2014-03-28 03:30:00","4.82"
"cpu.usage.average","2014-03-28 03:00:00","4.89"
"cpu.usage.average","2014-03-28 02:30:00","4.66"
"cpu.usage.average","2014-03-28 02:00:00","5.69"
"cpu.usage.average","2014-03-28 01:30:00","4.89"
"cpu.usage.average","2014-03-28 01:00:00","6.75"
"cpu.usage.average","2014-03-28 00:30:00","5.02"
"cpu.usage.average","2014-03-28 00:00:00","5.12"
"cpu.usage.average","2014-03-27 23:30:00","4.99"
"cpu.usage.average","2014-03-27 23:00:00","5.89"
"cpu.usage.average","2014-03-27 22:30:00","5.77"
"cpu.usage.average","2014-03-27 22:00:00","6.05"
"cpu.usage.average","2014-03-27 21:30:00","6.09"
"cpu.usage.average","2014-03-27 21:00:00","6.42"
"cpu.usage.average","2014-03-27 20:30:00","6.5"
"cpu.usage.average","2014-03-27 20:00:00","6.66"
"cpu.usage.average","2014-03-27 19:30:00","7.33"
"cpu.usage.average","2014-03-27 19:00:00","7.39"
"cpu.usage.average","2014-03-27 18:30:00","8.41"
"cpu.usage.average","2014-03-27 18:00:00","8.63"
"cpu.usage.average","2014-03-27 17:30:00","9.56"
"cpu.usage.average","2014-03-27 17:00:00","8.67"
"cpu.usage.average","2014-03-27 16:30:00","8.65"
"cpu.usage.average","2014-03-27 16:00:00","8.05"
"cpu.usage.average","2014-03-27 15:30:00","8.13"
"cpu.usage.average","2014-03-27 15:00:00","7.68"
"cpu.usage.average","2014-03-27 14:30:00","7.03"
"cpu.usage.average","2014-03-27 14:00:00","8.62"
"cpu.usage.average","2014-03-27 13:30:00","8.17"
"cpu.usage.average","2014-03-27 13:00:00","7.83"
"cpu.usage.average","2014-03-27 12:30:00","7.97"
"cpu.usage.average","2014-03-27 12:00:00","7.87"
"cpu.usage.average","2014-03-27 11:30:00","8.9"
"cpu.usage.average","2014-03-27 11:00:00","8.07"
"cpu.usage.average","2014-03-27 10:30:00","8.16"
"cpu.usage.average","2014-03-27 10:00:00","8.4"
"cpu.usage.average","2014-03-27 09:30:00","8.14"
"cpu.usage.average","2014-03-27 09:00:00","8.54"
"cpu.usage.average","2014-03-27 08:30:00","6.27"
"cpu.usage.average","2014-03-27 08:00:00","5.66"
"cpu.usage.average","2014-03-27 07:30:00","4.99"
"cpu.usage.average","2014-03-27 07:00:00","5.05"
"cpu.usage.average","2014-03-27 06:30:00","5.25"
"cpu.usage.average","2014-03-27 06:00:00","5.31"
"cpu.usage.average","2014-03-27 05:30:00","5.08"
"cpu.usage.average","2014-03-27 05:00:00","4.73"
"cpu.usage.average","2014-03-27 04:30:00","4.82"
"cpu.usage.average","2014-03-27 04:00:00","5.2"
"cpu.usage.average","2014-03-27 03:30:00","4.93"
"cpu.usage.average","2014-03-27 03:00:00","4.89"
"cpu.usage.average","2014-03-27 02:30:00","4.57"
"cpu.usage.average","2014-03-27 02:00:00","5.49"
"cpu.usage.average","2014-03-27 01:30:00","5.46"
"cpu.usage.average","2014-03-27 01:00:00","6.26"
"cpu.usage.average","2014-03-27 00:30:00","5.14"
"cpu.usage.average","2014-03-27 00:00:00","4.86"
"cpu.usage.average","2014-03-26 23:30:00","5.22"
"cpu.usage.average","2014-03-26 23:00:00","5.48"
"cpu.usage.average","2014-03-26 22:30:00","5.53"
"cpu.usage.average","2014-03-26 22:00:00","6.04"
"cpu.usage.average","2014-03-26 21:30:00","6.25"
"cpu.usage.average","2014-03-26 21:00:00","6.4"
"cpu.usage.average","2014-03-26 20:30:00","6.77"
"cpu.usage.average","2014-03-26 20:00:00","6.98"
"cpu.usage.average","2014-03-26 19:30:00","7.41"
"cpu.usage.average","2014-03-26 19:00:00","7.85"
"cpu.usage.average","2014-03-26 18:30:00","8.23"
"cpu.usage.average","2014-03-26 18:00:00","8.93"
"cpu.usage.average","2014-03-26 17:30:00","9.62"
"cpu.usage.average","2014-03-26 17:00:00","8.97"
"cpu.usage.average","2014-03-26 16:30:00","9.43"
"cpu.usage.average","2014-03-26 16:00:00","8.47"
"cpu.usage.average","2014-03-26 15:30:00","8.92"
"mem.active.average","2014-03-28 14:00:00","2270514"
"mem.active.average","2014-03-28 13:30:00","2050546"
"mem.active.average","2014-03-28 13:00:00","2367449"
"mem.active.average","2014-03-28 12:30:00","2024448"
"mem.active.average","2014-03-28 12:00:00","2149345"
"mem.active.average","2014-03-28 11:30:00","2393546"
"mem.active.average","2014-03-28 11:00:00","2097149"
"mem.active.average","2014-03-28 10:30:00","2859580"
"mem.active.average","2014-03-28 10:00:00","2195948"
"mem.active.average","2014-03-28 09:30:00","2253737"
"mem.active.average","2014-03-28 09:00:00","1873453"
"mem.active.average","2014-03-28 08:30:00","1662806"
"mem.active.average","2014-03-28 08:00:00","1783975"
"mem.active.average","2014-03-28 07:30:00","1763469"
"mem.active.average","2014-03-28 07:00:00","1621795"
"mem.active.average","2014-03-28 06:30:00","1610610"
"mem.active.average","2014-03-28 06:00:00","1653485"
"mem.active.average","2014-03-28 05:30:00","1468936"
"mem.active.average","2014-03-28 05:00:00","1962932"
"mem.active.average","2014-03-28 04:30:00","1631116"
"mem.active.average","2014-03-28 04:00:00","1756013"
"mem.active.average","2014-03-28 03:30:00","1504355"
"mem.active.average","2014-03-28 03:00:00","1962932"
"mem.active.average","2014-03-28 02:30:00","1737371"
"mem.active.average","2014-03-28 02:00:00","1834306"
"mem.active.average","2014-03-28 01:30:00","1565871"
"mem.active.average","2014-03-28 01:00:00","2497938"
"mem.active.average","2014-03-28 00:30:00","1681447"
"mem.active.average","2014-03-28 00:00:00","1843627"
"mem.active.average","2014-03-27 23:30:00","1802616"
"mem.active.average","2014-03-27 23:00:00","1970388"
"mem.active.average","2014-03-27 22:30:00","2000214"
"mem.active.average","2014-03-27 22:00:00","1750420"
"mem.active.average","2014-03-27 21:30:00","1737372"
"mem.active.average","2014-03-27 21:00:00","1675855"
"mem.active.average","2014-03-27 20:30:00","1852948"
"mem.active.average","2014-03-27 20:00:00","1869725"
"mem.active.average","2014-03-27 19:30:00","2041225"
"mem.active.average","2014-03-27 19:00:00","2052410"
"mem.active.average","2014-03-27 18:30:00","2356264"
"mem.active.average","2014-03-27 18:00:00","2179171"
"mem.active.average","2014-03-27 17:30:00","1992758"
"mem.active.average","2014-03-27 17:00:00","2199677"
"mem.active.average","2014-03-27 16:30:00","1936834"
