"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","12.51"
"cpu.usage.average","2014-03-28 13:30:00","11.9"
"cpu.usage.average","2014-03-28 13:00:00","12.11"
"cpu.usage.average","2014-03-28 12:30:00","12.54"
"cpu.usage.average","2014-03-28 12:00:00","12.53"
"cpu.usage.average","2014-03-28 11:30:00","12.67"
"cpu.usage.average","2014-03-28 11:00:00","11.75"
"cpu.usage.average","2014-03-28 10:30:00","11.44"
"cpu.usage.average","2014-03-28 10:00:00","10.55"
"cpu.usage.average","2014-03-28 09:30:00","10.3"
"cpu.usage.average","2014-03-28 09:00:00","8.42"
"cpu.usage.average","2014-03-28 08:30:00","8.07"
"cpu.usage.average","2014-03-28 08:00:00","6.54"
"cpu.usage.average","2014-03-28 07:30:00","5.51"
"cpu.usage.average","2014-03-28 07:00:00","4.45"
"cpu.usage.average","2014-03-28 06:30:00","3.54"
"cpu.usage.average","2014-03-28 06:00:00","2.82"
"cpu.usage.average","2014-03-28 05:30:00","2.34"
"cpu.usage.average","2014-03-28 05:00:00","2.22"
"cpu.usage.average","2014-03-28 04:30:00","2.16"
"cpu.usage.average","2014-03-28 04:00:00","2.14"
"cpu.usage.average","2014-03-28 03:30:00","2.29"
"cpu.usage.average","2014-03-28 03:00:00","2.54"
"cpu.usage.average","2014-03-28 02:30:00","3.01"
"cpu.usage.average","2014-03-28 02:00:00","3.36"
"cpu.usage.average","2014-03-28 01:30:00","4.14"
"cpu.usage.average","2014-03-28 01:00:00","5.88"
"cpu.usage.average","2014-03-28 00:30:00","6.65"
"cpu.usage.average","2014-03-28 00:00:00","8.31"
"cpu.usage.average","2014-03-27 23:30:00","11.27"
"cpu.usage.average","2014-03-27 23:00:00","13.81"
"cpu.usage.average","2014-03-27 22:30:00","16.57"
"cpu.usage.average","2014-03-27 22:00:00","19.43"
"cpu.usage.average","2014-03-27 21:30:00","20.84"
"cpu.usage.average","2014-03-27 21:00:00","21.46"
"cpu.usage.average","2014-03-27 20:30:00","20.63"
"cpu.usage.average","2014-03-27 20:00:00","20.23"
"cpu.usage.average","2014-03-27 19:30:00","18.96"
"cpu.usage.average","2014-03-27 19:00:00","18.59"
"cpu.usage.average","2014-03-27 18:30:00","17.43"
"cpu.usage.average","2014-03-27 18:00:00","16.66"
"cpu.usage.average","2014-03-27 17:30:00","15.93"
"cpu.usage.average","2014-03-27 17:00:00","15.37"
"cpu.usage.average","2014-03-27 16:30:00","14.88"
"cpu.usage.average","2014-03-27 16:00:00","14.23"
"cpu.usage.average","2014-03-27 15:30:00","13.91"
"cpu.usage.average","2014-03-27 15:00:00","13.31"
"cpu.usage.average","2014-03-27 14:30:00","13.84"
"cpu.usage.average","2014-03-27 14:00:00","12.9"
