"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","15.57"
"cpu.usage.average","2014-03-28 14:00:00","15.9"
"cpu.usage.average","2014-03-28 13:30:00","16.1"
"cpu.usage.average","2014-03-28 13:00:00","16.65"
"cpu.usage.average","2014-03-28 12:30:00","16.21"
"cpu.usage.average","2014-03-28 12:00:00","15.62"
"cpu.usage.average","2014-03-28 11:30:00","15.42"
"cpu.usage.average","2014-03-28 11:00:00","15.49"
"cpu.usage.average","2014-03-28 10:30:00","15.99"
"cpu.usage.average","2014-03-28 10:00:00","15.41"
"cpu.usage.average","2014-03-28 09:30:00","15.38"
"cpu.usage.average","2014-03-28 09:00:00","16.93"
"cpu.usage.average","2014-03-28 08:30:00","13.92"
"cpu.usage.average","2014-03-28 08:00:00","14.39"
"cpu.usage.average","2014-03-28 07:30:00","13.68"
"cpu.usage.average","2014-03-28 07:00:00","13.26"
"cpu.usage.average","2014-03-28 06:30:00","12.69"
"cpu.usage.average","2014-03-28 06:00:00","12.81"
"cpu.usage.average","2014-03-28 05:30:00","11.91"
"cpu.usage.average","2014-03-28 05:00:00","11.84"
"cpu.usage.average","2014-03-28 04:30:00","11.81"
"cpu.usage.average","2014-03-28 04:00:00","11.8"
"cpu.usage.average","2014-03-28 03:30:00","11.52"
"cpu.usage.average","2014-03-28 03:00:00","11.63"
"cpu.usage.average","2014-03-28 02:30:00","11.85"
"cpu.usage.average","2014-03-28 02:00:00","12.5"
"cpu.usage.average","2014-03-28 01:30:00","12.65"
"cpu.usage.average","2014-03-28 01:00:00","14.13"
"cpu.usage.average","2014-03-28 00:30:00","12.84"
"cpu.usage.average","2014-03-28 00:00:00","13.92"
"cpu.usage.average","2014-03-27 23:30:00","14.21"
"cpu.usage.average","2014-03-27 23:00:00","16.11"
"cpu.usage.average","2014-03-27 22:30:00","17.67"
"cpu.usage.average","2014-03-27 22:00:00","18.56"
"cpu.usage.average","2014-03-27 21:30:00","19.54"
"cpu.usage.average","2014-03-27 21:00:00","20.54"
"cpu.usage.average","2014-03-27 20:30:00","20.63"
"cpu.usage.average","2014-03-27 20:00:00","21.02"
"cpu.usage.average","2014-03-27 19:30:00","20.85"
"cpu.usage.average","2014-03-27 19:00:00","19.53"
"cpu.usage.average","2014-03-27 18:30:00","18.79"
"cpu.usage.average","2014-03-27 18:00:00","18.18"
"cpu.usage.average","2014-03-27 17:30:00","17.34"
"cpu.usage.average","2014-03-27 17:00:00","16.76"
"cpu.usage.average","2014-03-27 16:30:00","20.45"
"cpu.usage.average","2014-03-27 16:00:00","18.85"
"cpu.usage.average","2014-03-27 15:30:00","15.88"
"cpu.usage.average","2014-03-27 15:00:00","16.43"
"cpu.usage.average","2014-03-27 14:30:00","16.63"
"cpu.usage.average","2014-03-27 14:00:00","20.97"
"cpu.usage.average","2014-03-27 13:30:00","16.36"
"cpu.usage.average","2014-03-27 13:00:00","17.3"
"cpu.usage.average","2014-03-27 12:30:00","22"
"cpu.usage.average","2014-03-27 12:00:00","16.33"
"cpu.usage.average","2014-03-27 11:30:00","16.85"
"cpu.usage.average","2014-03-27 11:00:00","16.49"
"cpu.usage.average","2014-03-27 10:30:00","20.69"
"cpu.usage.average","2014-03-27 10:00:00","19.64"
"cpu.usage.average","2014-03-27 09:30:00","15.41"
"cpu.usage.average","2014-03-27 09:00:00","14.38"
"cpu.usage.average","2014-03-27 08:30:00","19.83"
"cpu.usage.average","2014-03-27 08:00:00","16.16"
"cpu.usage.average","2014-03-27 07:30:00","13.28"
"cpu.usage.average","2014-03-27 07:00:00","12.81"
"cpu.usage.average","2014-03-27 06:30:00","12.71"
"cpu.usage.average","2014-03-27 06:00:00","11.97"
"cpu.usage.average","2014-03-27 05:30:00","11.9"
"cpu.usage.average","2014-03-27 05:00:00","12.11"
"cpu.usage.average","2014-03-27 04:30:00","11.75"
"cpu.usage.average","2014-03-27 04:00:00","11.75"
"cpu.usage.average","2014-03-27 03:30:00","11.59"
"cpu.usage.average","2014-03-27 03:00:00","11.63"
"cpu.usage.average","2014-03-27 02:30:00","12.35"
"cpu.usage.average","2014-03-27 02:00:00","12.43"
"cpu.usage.average","2014-03-27 01:30:00","12.65"
"cpu.usage.average","2014-03-27 01:00:00","14.16"
"cpu.usage.average","2014-03-27 00:30:00","14.12"
"cpu.usage.average","2014-03-27 00:00:00","14.52"
"cpu.usage.average","2014-03-26 23:30:00","19.85"
"cpu.usage.average","2014-03-26 23:00:00","20.16"
"cpu.usage.average","2014-03-26 22:30:00","20.72"
"cpu.usage.average","2014-03-26 22:00:00","18.81"
"cpu.usage.average","2014-03-26 21:30:00","23.37"
"cpu.usage.average","2014-03-26 21:00:00","20.5"
"cpu.usage.average","2014-03-26 20:30:00","22.73"
"cpu.usage.average","2014-03-26 20:00:00","25.53"
"cpu.usage.average","2014-03-26 19:30:00","23.96"
"cpu.usage.average","2014-03-26 19:00:00","19.72"
"cpu.usage.average","2014-03-26 18:30:00","18.31"
"cpu.usage.average","2014-03-26 18:00:00","18.37"
"cpu.usage.average","2014-03-26 17:30:00","20.01"
"cpu.usage.average","2014-03-26 17:00:00","19.72"
"cpu.usage.average","2014-03-26 16:30:00","17.25"
"cpu.usage.average","2014-03-26 16:00:00","17.24"
"mem.active.average","2014-03-28 14:30:00","1664670"
"mem.active.average","2014-03-28 14:00:00","1959203"
"mem.active.average","2014-03-28 13:30:00","1810073"
"mem.active.average","2014-03-28 13:00:00","1865997"
"mem.active.average","2014-03-28 12:30:00","2082236"
"mem.active.average","2014-03-28 12:00:00","1770926"
"mem.active.average","2014-03-28 11:30:00","1603154"
"mem.active.average","2014-03-28 11:00:00","1647893"
"mem.active.average","2014-03-28 10:30:00","1826850"
"mem.active.average","2014-03-28 10:00:00","1804480"
"mem.active.average","2014-03-28 09:30:00","1729915"
"mem.active.average","2014-03-28 09:00:00","1974117"
"mem.active.average","2014-03-28 08:30:00","1560279"
"mem.active.average","2014-03-28 08:00:00","1565871"
"mem.active.average","2014-03-28 07:30:00","1452159"
"mem.active.average","2014-03-28 07:00:00","1500626"
"mem.active.average","2014-03-28 06:30:00","1726187"
"mem.active.average","2014-03-28 06:00:00","1480121"
"mem.active.average","2014-03-28 05:30:00","1582648"
"mem.active.average","2014-03-28 05:00:00","1577056"
"mem.active.average","2014-03-28 04:30:00","1431654"
"mem.active.average","2014-03-28 04:00:00","1549094"
"mem.active.average","2014-03-28 03:30:00","1250833"
"mem.active.average","2014-03-28 03:00:00","1258289"
"mem.active.average","2014-03-28 02:30:00","1368273"
"mem.active.average","2014-03-28 02:00:00","1623659"
"mem.active.average","2014-03-28 01:30:00","1577056"
"mem.active.average","2014-03-28 01:00:00","1672127"
"mem.active.average","2014-03-28 00:30:00","1584513"
"mem.active.average","2014-03-28 00:00:00","1550958"
"mem.active.average","2014-03-27 23:30:00","1618067"
"mem.active.average","2014-03-27 23:00:00","1629252"
"mem.active.average","2014-03-27 22:30:00","2002078"
"mem.active.average","2014-03-27 22:00:00","1713138"
"mem.active.average","2014-03-27 21:30:00","1709410"
"mem.active.average","2014-03-27 21:00:00","1673991"
"mem.active.average","2014-03-27 20:30:00","1647893"
"mem.active.average","2014-03-27 20:00:00","1938698"
"mem.active.average","2014-03-27 19:30:00","1715002"
"mem.active.average","2014-03-27 19:00:00","2009535"
"mem.active.average","2014-03-27 18:30:00","1746692"
"mem.active.average","2014-03-27 18:00:00","1517404"
"mem.active.average","2014-03-27 17:30:00","1646029"
"mem.active.average","2014-03-27 17:00:00","1739235"
"mem.active.average","2014-03-27 16:30:00","1677719"
"mem.active.average","2014-03-27 16:00:00","1627388"
"mem.active.average","2014-03-27 15:30:00","1537909"
"mem.active.average","2014-03-27 15:00:00","1847355"
"mem.active.average","2014-03-27 14:30:00","1640437"
"mem.active.average","2014-03-27 14:00:00","1601290"
"mem.active.average","2014-03-27 13:30:00","1655350"
"mem.active.average","2014-03-27 13:00:00","1549094"
"mem.active.average","2014-03-27 12:30:00","1549094"
"mem.active.average","2014-03-27 12:00:00","1875317"
"mem.active.average","2014-03-27 11:30:00","1918192"
"mem.active.average","2014-03-27 11:00:00","1720594"
"mem.active.average","2014-03-27 10:30:00","1481985"
"mem.active.average","2014-03-27 10:00:00","1515540"
"mem.active.average","2014-03-27 09:30:00","1509947"
"mem.active.average","2014-03-27 09:00:00","1819393"
"mem.active.average","2014-03-27 08:30:00","1634844"
"mem.active.average","2014-03-27 08:00:00","1893959"
"mem.active.average","2014-03-27 07:30:00","1543501"
"mem.active.average","2014-03-27 07:00:00","1431654"
"mem.active.average","2014-03-27 06:30:00","1396235"
