"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","11.76"
"cpu.usage.average","2014-03-28 14:00:00","11.51"
"cpu.usage.average","2014-03-28 13:30:00","10.9"
"cpu.usage.average","2014-03-28 13:00:00","10.48"
"cpu.usage.average","2014-03-28 12:30:00","11.11"
"cpu.usage.average","2014-03-28 12:00:00","10.98"
"cpu.usage.average","2014-03-28 11:30:00","11.22"
"cpu.usage.average","2014-03-28 11:00:00","10.82"
"cpu.usage.average","2014-03-28 10:30:00","10.54"
"cpu.usage.average","2014-03-28 10:00:00","10.22"
"cpu.usage.average","2014-03-28 09:30:00","10.24"
"cpu.usage.average","2014-03-28 09:00:00","0.01"
"cpu.usage.average","2014-03-28 08:30:00","8.88"
"cpu.usage.average","2014-03-28 08:00:00","8.44"
"cpu.usage.average","2014-03-28 07:30:00","7.78"
"cpu.usage.average","2014-03-28 07:00:00","6.93"
"cpu.usage.average","2014-03-28 06:30:00","6.46"
"cpu.usage.average","2014-03-28 06:00:00","6.15"
"cpu.usage.average","2014-03-28 05:30:00","6.13"
"cpu.usage.average","2014-03-28 05:00:00","5.9"
"cpu.usage.average","2014-03-28 04:30:00","5.81"
"cpu.usage.average","2014-03-28 04:00:00","5.75"
"cpu.usage.average","2014-03-28 03:30:00","5.77"
"cpu.usage.average","2014-03-28 03:00:00","5.94"
"cpu.usage.average","2014-03-28 02:30:00","6.28"
"cpu.usage.average","2014-03-28 02:00:00","6.49"
"cpu.usage.average","2014-03-28 01:30:00","6.84"
"cpu.usage.average","2014-03-28 01:00:00","9.05"
"cpu.usage.average","2014-03-28 00:30:00","8.89"
"cpu.usage.average","2014-03-28 00:00:00","9.94"
"cpu.usage.average","2014-03-27 23:30:00","11.54"
"cpu.usage.average","2014-03-27 23:00:00","13.06"
"cpu.usage.average","2014-03-27 22:30:00","14.47"
"cpu.usage.average","2014-03-27 22:00:00","16.2"
"cpu.usage.average","2014-03-27 21:30:00","16.65"
"cpu.usage.average","2014-03-27 21:00:00","17.53"
"cpu.usage.average","2014-03-27 20:30:00","17.83"
"cpu.usage.average","2014-03-27 20:00:00","16.49"
"cpu.usage.average","2014-03-27 19:30:00","14.88"
"cpu.usage.average","2014-03-27 19:00:00","13.98"
"cpu.usage.average","2014-03-27 18:30:00","14.06"
"cpu.usage.average","2014-03-27 18:00:00","13.94"
"cpu.usage.average","2014-03-27 17:30:00","13.65"
"cpu.usage.average","2014-03-27 17:00:00","13.19"
"cpu.usage.average","2014-03-27 16:30:00","13.11"
"cpu.usage.average","2014-03-27 16:00:00","12.55"
"cpu.usage.average","2014-03-27 15:30:00","11.98"
"cpu.usage.average","2014-03-27 15:00:00","11.76"
"cpu.usage.average","2014-03-27 14:30:00","11.8"
"cpu.usage.average","2014-03-27 14:00:00","11.75"
"cpu.usage.average","2014-03-27 13:30:00","12.29"
"cpu.usage.average","2014-03-27 13:00:00","12.2"
"cpu.usage.average","2014-03-27 12:30:00","12.45"
"cpu.usage.average","2014-03-27 12:00:00","11.68"
"cpu.usage.average","2014-03-27 11:30:00","11.79"
"cpu.usage.average","2014-03-27 11:00:00","11.36"
"cpu.usage.average","2014-03-27 10:30:00","11.63"
"cpu.usage.average","2014-03-27 10:00:00","10.59"
"cpu.usage.average","2014-03-27 09:30:00","10.36"
"cpu.usage.average","2014-03-27 09:00:00","10.76"
"cpu.usage.average","2014-03-27 08:30:00","8.97"
"cpu.usage.average","2014-03-27 08:00:00","7.88"
"cpu.usage.average","2014-03-27 07:30:00","7.49"
"cpu.usage.average","2014-03-27 07:00:00","6.95"
"cpu.usage.average","2014-03-27 06:30:00","6.43"
"cpu.usage.average","2014-03-27 06:00:00","6.29"
"cpu.usage.average","2014-03-27 05:30:00","5.97"
"cpu.usage.average","2014-03-27 05:00:00","5.87"
"cpu.usage.average","2014-03-27 04:30:00","5.88"
"cpu.usage.average","2014-03-27 04:00:00","5.74"
"cpu.usage.average","2014-03-27 03:30:00","5.86"
"cpu.usage.average","2014-03-27 03:00:00","5.87"
"cpu.usage.average","2014-03-27 02:30:00","6.28"
"cpu.usage.average","2014-03-27 02:00:00","6.54"
"cpu.usage.average","2014-03-27 01:30:00","7.16"
"cpu.usage.average","2014-03-27 01:00:00","9.27"
"cpu.usage.average","2014-03-27 00:30:00","8.78"
"cpu.usage.average","2014-03-27 00:00:00","9.83"
"cpu.usage.average","2014-03-26 23:30:00","11.08"
"cpu.usage.average","2014-03-26 23:00:00","13.04"
"cpu.usage.average","2014-03-26 22:30:00","14.37"
"cpu.usage.average","2014-03-26 22:00:00","16.75"
"cpu.usage.average","2014-03-26 21:30:00","18.19"
"cpu.usage.average","2014-03-26 21:00:00","17.47"
"cpu.usage.average","2014-03-26 20:30:00","17.79"
