"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","18.4"
"cpu.usage.average","2014-03-28 14:00:00","18.87"
"cpu.usage.average","2014-03-28 13:30:00","18.36"
"cpu.usage.average","2014-03-28 13:00:00","17.88"
"cpu.usage.average","2014-03-28 12:30:00","18.57"
"cpu.usage.average","2014-03-28 12:00:00","18.9"
"cpu.usage.average","2014-03-28 11:30:00","18.7"
"cpu.usage.average","2014-03-28 11:00:00","17.85"
"cpu.usage.average","2014-03-28 10:30:00","18.22"
"cpu.usage.average","2014-03-28 10:00:00","17.49"
"cpu.usage.average","2014-03-28 09:30:00","16.31"
"cpu.usage.average","2014-03-28 09:00:00","16.61"
"cpu.usage.average","2014-03-28 08:30:00","14.02"
"cpu.usage.average","2014-03-28 08:00:00","13.48"
"cpu.usage.average","2014-03-28 07:30:00","12.63"
"cpu.usage.average","2014-03-28 07:00:00","12.19"
"cpu.usage.average","2014-03-28 06:30:00","11.16"
"cpu.usage.average","2014-03-28 06:00:00","10.24"
"cpu.usage.average","2014-03-28 05:30:00","9.9"
"cpu.usage.average","2014-03-28 05:00:00","10.33"
"cpu.usage.average","2014-03-28 04:30:00","10.54"
"cpu.usage.average","2014-03-28 04:00:00","10.2"
"cpu.usage.average","2014-03-28 03:30:00","10.44"
"cpu.usage.average","2014-03-28 03:00:00","10.15"
"cpu.usage.average","2014-03-28 02:30:00","10.36"
"cpu.usage.average","2014-03-28 02:00:00","10.76"
"cpu.usage.average","2014-03-28 01:30:00","10.67"
"cpu.usage.average","2014-03-28 01:00:00","14.2"
"cpu.usage.average","2014-03-28 00:30:00","11.9"
"cpu.usage.average","2014-03-28 00:00:00","12.85"
"cpu.usage.average","2014-03-27 23:30:00","13.58"
"cpu.usage.average","2014-03-27 23:00:00","15.9"
"cpu.usage.average","2014-03-27 22:30:00","18.16"
"cpu.usage.average","2014-03-27 22:00:00","19.49"
"cpu.usage.average","2014-03-27 21:30:00","20.01"
"cpu.usage.average","2014-03-27 21:00:00","21.92"
"cpu.usage.average","2014-03-27 20:30:00","21.28"
"cpu.usage.average","2014-03-27 20:00:00","21.8"
"cpu.usage.average","2014-03-27 19:30:00","21.96"
"cpu.usage.average","2014-03-27 19:00:00","22.01"
"cpu.usage.average","2014-03-27 18:30:00","22.76"
"cpu.usage.average","2014-03-27 18:00:00","21.85"
"cpu.usage.average","2014-03-27 17:30:00","23.77"
"cpu.usage.average","2014-03-27 17:00:00","23.6"
"cpu.usage.average","2014-03-27 16:30:00","22.58"
"cpu.usage.average","2014-03-27 16:00:00","22.13"
"cpu.usage.average","2014-03-27 15:30:00","21.07"
"cpu.usage.average","2014-03-27 15:00:00","21"
"cpu.usage.average","2014-03-27 14:30:00","20.34"
"cpu.usage.average","2014-03-27 14:00:00","20.64"
"cpu.usage.average","2014-03-27 13:30:00","20.19"
"cpu.usage.average","2014-03-27 13:00:00","21.87"
"cpu.usage.average","2014-03-27 12:30:00","22.75"
"cpu.usage.average","2014-03-27 12:00:00","24.06"
"cpu.usage.average","2014-03-27 11:30:00","24.57"
"cpu.usage.average","2014-03-27 11:00:00","24.17"
"cpu.usage.average","2014-03-27 10:30:00","23.06"
"cpu.usage.average","2014-03-27 10:00:00","21.98"
"cpu.usage.average","2014-03-27 09:30:00","19.19"
"cpu.usage.average","2014-03-27 09:00:00","14"
"cpu.usage.average","2014-03-27 08:30:00","19.8"
"cpu.usage.average","2014-03-27 08:00:00","16.55"
"cpu.usage.average","2014-03-27 07:30:00","14.3"
"cpu.usage.average","2014-03-27 07:00:00","13.06"
"cpu.usage.average","2014-03-27 06:30:00","11.69"
"cpu.usage.average","2014-03-27 06:00:00","10.79"
"cpu.usage.average","2014-03-27 05:30:00","9.98"
"cpu.usage.average","2014-03-27 05:00:00","10.05"
"cpu.usage.average","2014-03-27 04:30:00","10.05"
"cpu.usage.average","2014-03-27 04:00:00","10.12"
"cpu.usage.average","2014-03-27 03:30:00","10.49"
"cpu.usage.average","2014-03-27 03:00:00","11.01"
"cpu.usage.average","2014-03-27 02:30:00","10.83"
"cpu.usage.average","2014-03-27 02:00:00","11.47"
"cpu.usage.average","2014-03-27 01:30:00","11.78"
"cpu.usage.average","2014-03-27 01:00:00","17.56"
"cpu.usage.average","2014-03-27 00:30:00","18.94"
"cpu.usage.average","2014-03-27 00:00:00","18.65"
"cpu.usage.average","2014-03-26 23:30:00","16.82"
"cpu.usage.average","2014-03-26 23:00:00","20.15"
"cpu.usage.average","2014-03-26 22:30:00","20.64"
"cpu.usage.average","2014-03-26 22:00:00","24.16"
"cpu.usage.average","2014-03-26 21:30:00","26.51"
"cpu.usage.average","2014-03-26 21:00:00","26.49"
"cpu.usage.average","2014-03-26 20:30:00","25.9"
"cpu.usage.average","2014-03-26 20:00:00","25.89"
"cpu.usage.average","2014-03-26 19:30:00","26.75"
"cpu.usage.average","2014-03-26 19:00:00","27.78"
"cpu.usage.average","2014-03-26 18:30:00","27.35"
"cpu.usage.average","2014-03-26 18:00:00","25.89"
"cpu.usage.average","2014-03-26 17:30:00","26.32"
"cpu.usage.average","2014-03-26 17:00:00","25.08"
"cpu.usage.average","2014-03-26 16:30:00","24.51"
"cpu.usage.average","2014-03-26 16:00:00","23.99"
"mem.active.average","2014-03-28 14:30:00","2240687"
"mem.active.average","2014-03-28 14:00:00","2208997"
"mem.active.average","2014-03-28 13:30:00","2216454"
"mem.active.average","2014-03-28 13:00:00","2199677"
"mem.active.average","2014-03-28 12:30:00","2395411"
