"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","5.05"
"cpu.usage.average","2014-03-28 13:30:00","4.98"
"cpu.usage.average","2014-03-28 13:00:00","5.06"
"cpu.usage.average","2014-03-28 12:30:00","5.25"
"cpu.usage.average","2014-03-28 12:00:00","5.26"
"cpu.usage.average","2014-03-28 11:30:00","5.19"
"cpu.usage.average","2014-03-28 11:00:00","5.2"
"cpu.usage.average","2014-03-28 10:30:00","5.1"
"cpu.usage.average","2014-03-28 10:00:00","5.04"
"cpu.usage.average","2014-03-28 09:30:00","4.89"
"cpu.usage.average","2014-03-28 09:00:00","4.58"
"cpu.usage.average","2014-03-28 08:30:00","4.74"
"cpu.usage.average","2014-03-28 08:00:00","4.56"
"cpu.usage.average","2014-03-28 07:30:00","4.48"
"cpu.usage.average","2014-03-28 07:00:00","4.33"
"cpu.usage.average","2014-03-28 06:30:00","4.26"
"cpu.usage.average","2014-03-28 06:00:00","4.24"
"cpu.usage.average","2014-03-28 05:30:00","4.3"
"cpu.usage.average","2014-03-28 05:00:00","4.15"
"cpu.usage.average","2014-03-28 04:30:00","4.12"
"cpu.usage.average","2014-03-28 04:00:00","4.13"
"cpu.usage.average","2014-03-28 03:30:00","4.14"
"cpu.usage.average","2014-03-28 03:00:00","4.06"
"cpu.usage.average","2014-03-28 02:30:00","4.23"
"cpu.usage.average","2014-03-28 02:00:00","4.32"
"cpu.usage.average","2014-03-28 01:30:00","4.28"
"cpu.usage.average","2014-03-28 01:00:00","4.55"
"cpu.usage.average","2014-03-28 00:30:00","4.46"
"cpu.usage.average","2014-03-28 00:00:00","4.59"
"cpu.usage.average","2014-03-27 23:30:00","4.82"
"cpu.usage.average","2014-03-27 23:00:00","5.05"
"cpu.usage.average","2014-03-27 22:30:00","5.13"
"cpu.usage.average","2014-03-27 22:00:00","5.52"
"cpu.usage.average","2014-03-27 21:30:00","5.75"
"cpu.usage.average","2014-03-27 21:00:00","5.63"
"cpu.usage.average","2014-03-27 20:30:00","5.62"
"cpu.usage.average","2014-03-27 20:00:00","5.66"
"cpu.usage.average","2014-03-27 19:30:00","5.63"
"cpu.usage.average","2014-03-27 19:00:00","5.69"
"cpu.usage.average","2014-03-27 18:30:00","5.77"
"cpu.usage.average","2014-03-27 18:00:00","5.63"
"cpu.usage.average","2014-03-27 17:30:00","5.53"
"cpu.usage.average","2014-03-27 17:00:00","5.45"
"cpu.usage.average","2014-03-27 16:30:00","5.28"
"cpu.usage.average","2014-03-27 16:00:00","5.4"
"cpu.usage.average","2014-03-27 15:30:00","5.42"
"cpu.usage.average","2014-03-27 15:00:00","5.38"
"cpu.usage.average","2014-03-27 14:30:00","5.28"
"cpu.usage.average","2014-03-27 14:00:00","5.16"
