"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","16"
"cpu.usage.average","2014-03-28 14:00:00","16.82"
"cpu.usage.average","2014-03-28 13:30:00","17.76"
"cpu.usage.average","2014-03-28 13:00:00","16.78"
"cpu.usage.average","2014-03-28 12:30:00","18.49"
"cpu.usage.average","2014-03-28 12:00:00","17.99"
"cpu.usage.average","2014-03-28 11:30:00","16.37"
"cpu.usage.average","2014-03-28 11:00:00","16.29"
"cpu.usage.average","2014-03-28 10:30:00","16.13"
"cpu.usage.average","2014-03-28 10:00:00","16.01"
"cpu.usage.average","2014-03-28 09:30:00","15.45"
"cpu.usage.average","2014-03-28 09:00:00","14.3"
"cpu.usage.average","2014-03-28 08:30:00","14.07"
"cpu.usage.average","2014-03-28 08:00:00","12.53"
"cpu.usage.average","2014-03-28 07:30:00","12.39"
"cpu.usage.average","2014-03-28 07:00:00","11.65"
"cpu.usage.average","2014-03-28 06:30:00","11.57"
"cpu.usage.average","2014-03-28 06:00:00","11.68"
"cpu.usage.average","2014-03-28 05:30:00","11.69"
"cpu.usage.average","2014-03-28 05:00:00","11.35"
"cpu.usage.average","2014-03-28 04:30:00","11.96"
"cpu.usage.average","2014-03-28 04:00:00","11.63"
"cpu.usage.average","2014-03-28 03:30:00","11.56"
"cpu.usage.average","2014-03-28 03:00:00","11.38"
"cpu.usage.average","2014-03-28 02:30:00","13.16"
"cpu.usage.average","2014-03-28 02:00:00","12.91"
"cpu.usage.average","2014-03-28 01:30:00","14.42"
"cpu.usage.average","2014-03-28 01:00:00","15.41"
"cpu.usage.average","2014-03-28 00:30:00","15.53"
"cpu.usage.average","2014-03-28 00:00:00","17.26"
"cpu.usage.average","2014-03-27 23:30:00","18.16"
"cpu.usage.average","2014-03-27 23:00:00","20.16"
"cpu.usage.average","2014-03-27 22:30:00","19.88"
"cpu.usage.average","2014-03-27 22:00:00","21.05"
"cpu.usage.average","2014-03-27 21:30:00","19.95"
"cpu.usage.average","2014-03-27 21:00:00","21.1"
"cpu.usage.average","2014-03-27 20:30:00","19.67"
"cpu.usage.average","2014-03-27 20:00:00","20.75"
"cpu.usage.average","2014-03-27 19:30:00","19.3"
"cpu.usage.average","2014-03-27 19:00:00","19.12"
"cpu.usage.average","2014-03-27 18:30:00","19.21"
"cpu.usage.average","2014-03-27 18:00:00","18.94"
"cpu.usage.average","2014-03-27 17:30:00","19.81"
"cpu.usage.average","2014-03-27 17:00:00","18.01"
"cpu.usage.average","2014-03-27 16:30:00","17.4"
"cpu.usage.average","2014-03-27 16:00:00","16.89"
"cpu.usage.average","2014-03-27 15:30:00","16.25"
"cpu.usage.average","2014-03-27 15:00:00","15.65"
"cpu.usage.average","2014-03-27 14:30:00","17.76"
"cpu.usage.average","2014-03-27 14:00:00","17.05"
"cpu.usage.average","2014-03-27 13:30:00","17.75"
"cpu.usage.average","2014-03-27 13:00:00","18.74"
"cpu.usage.average","2014-03-27 12:30:00","17.62"
"cpu.usage.average","2014-03-27 12:00:00","19.03"
"cpu.usage.average","2014-03-27 11:30:00","17.52"
"cpu.usage.average","2014-03-27 11:00:00","17.03"
"cpu.usage.average","2014-03-27 10:30:00","17.41"
