"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","11.93"
"cpu.usage.average","2014-03-28 14:00:00","11.97"
"cpu.usage.average","2014-03-28 13:30:00","12.28"
"cpu.usage.average","2014-03-28 13:00:00","12.16"
"cpu.usage.average","2014-03-28 12:30:00","12.46"
"cpu.usage.average","2014-03-28 12:00:00","12.63"
"cpu.usage.average","2014-03-28 11:30:00","12.65"
"cpu.usage.average","2014-03-28 11:00:00","12.68"
"cpu.usage.average","2014-03-28 10:30:00","12.38"
"cpu.usage.average","2014-03-28 10:00:00","11.94"
"cpu.usage.average","2014-03-28 09:30:00","11.6"
"cpu.usage.average","2014-03-28 09:00:00","12.15"
"cpu.usage.average","2014-03-28 08:30:00","9.87"
"cpu.usage.average","2014-03-28 08:00:00","10.02"
"cpu.usage.average","2014-03-28 07:30:00","9.46"
"cpu.usage.average","2014-03-28 07:00:00","8.87"
"cpu.usage.average","2014-03-28 06:30:00","8.42"
"cpu.usage.average","2014-03-28 06:00:00","7.94"
"cpu.usage.average","2014-03-28 05:30:00","7.82"
"cpu.usage.average","2014-03-28 05:00:00","7.88"
"cpu.usage.average","2014-03-28 04:30:00","7.81"
"cpu.usage.average","2014-03-28 04:00:00","7.91"
"cpu.usage.average","2014-03-28 03:30:00","7.95"
"cpu.usage.average","2014-03-28 03:00:00","8.07"
"cpu.usage.average","2014-03-28 02:30:00","8.17"
"cpu.usage.average","2014-03-28 02:00:00","8.27"
"cpu.usage.average","2014-03-28 01:30:00","8.45"
"cpu.usage.average","2014-03-28 01:00:00","9.23"
"cpu.usage.average","2014-03-28 00:30:00","9.08"
"cpu.usage.average","2014-03-28 00:00:00","9.44"
"cpu.usage.average","2014-03-27 23:30:00","10.02"
"cpu.usage.average","2014-03-27 23:00:00","10.57"
"cpu.usage.average","2014-03-27 22:30:00","11.31"
"cpu.usage.average","2014-03-27 22:00:00","11.81"
"cpu.usage.average","2014-03-27 21:30:00","12.2"
"cpu.usage.average","2014-03-27 21:00:00","12.56"
"cpu.usage.average","2014-03-27 20:30:00","12.49"
"cpu.usage.average","2014-03-27 20:00:00","12.5"
"cpu.usage.average","2014-03-27 19:30:00","12.37"
"cpu.usage.average","2014-03-27 19:00:00","12.18"
"cpu.usage.average","2014-03-27 18:30:00","12.22"
"cpu.usage.average","2014-03-27 18:00:00","11.64"
"cpu.usage.average","2014-03-27 17:30:00","11.43"
"cpu.usage.average","2014-03-27 17:00:00","10.89"
"cpu.usage.average","2014-03-27 16:30:00","10.74"
"cpu.usage.average","2014-03-27 16:00:00","10.7"
"cpu.usage.average","2014-03-27 15:30:00","10.54"
"cpu.usage.average","2014-03-27 15:00:00","10.29"
"cpu.usage.average","2014-03-27 14:30:00","9.65"
"cpu.usage.average","2014-03-27 14:00:00","9.59"
"cpu.usage.average","2014-03-27 13:30:00","9.59"
"cpu.usage.average","2014-03-27 13:00:00","9.73"
"cpu.usage.average","2014-03-27 12:30:00","10.01"
"cpu.usage.average","2014-03-27 12:00:00","9.96"
"cpu.usage.average","2014-03-27 11:30:00","9.86"
"cpu.usage.average","2014-03-27 11:00:00","9.8"
"cpu.usage.average","2014-03-27 10:30:00","9.36"
"cpu.usage.average","2014-03-27 10:00:00","9.17"
"cpu.usage.average","2014-03-27 09:30:00","9"
"cpu.usage.average","2014-03-27 09:00:00","9.42"
"cpu.usage.average","2014-03-27 08:30:00","11.31"
"cpu.usage.average","2014-03-27 08:00:00","10.59"
"cpu.usage.average","2014-03-27 07:30:00","9.88"
"cpu.usage.average","2014-03-27 07:00:00","9.12"
"cpu.usage.average","2014-03-27 06:30:00","8.83"
"cpu.usage.average","2014-03-27 06:00:00","8.29"
"cpu.usage.average","2014-03-27 05:30:00","8.12"
"cpu.usage.average","2014-03-27 05:00:00","8.09"
"cpu.usage.average","2014-03-27 04:30:00","8.06"
"cpu.usage.average","2014-03-27 04:00:00","8.31"
"cpu.usage.average","2014-03-27 03:30:00","8.22"
"cpu.usage.average","2014-03-27 03:00:00","8.37"
"cpu.usage.average","2014-03-27 02:30:00","8.39"
