"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","20.44"
"cpu.usage.average","2014-03-28 14:00:00","21.09"
"cpu.usage.average","2014-03-28 13:30:00","19.89"
"cpu.usage.average","2014-03-28 13:00:00","20.57"
"cpu.usage.average","2014-03-28 12:30:00","18.79"
"cpu.usage.average","2014-03-28 12:00:00","18.22"
"cpu.usage.average","2014-03-28 11:30:00","18.6"
"cpu.usage.average","2014-03-28 11:00:00","19.65"
"cpu.usage.average","2014-03-28 10:30:00","20.06"
"cpu.usage.average","2014-03-28 10:00:00","19.93"
"cpu.usage.average","2014-03-28 09:30:00","18.51"
"cpu.usage.average","2014-03-28 09:00:00","16.71"
"cpu.usage.average","2014-03-28 08:30:00","17.23"
"cpu.usage.average","2014-03-28 08:00:00","15.87"
"cpu.usage.average","2014-03-28 07:30:00","14.83"
"cpu.usage.average","2014-03-28 07:00:00","13.67"
"cpu.usage.average","2014-03-28 06:30:00","13.67"
"cpu.usage.average","2014-03-28 06:00:00","12.86"
"cpu.usage.average","2014-03-28 05:30:00","12.96"
"cpu.usage.average","2014-03-28 05:00:00","12.93"
"cpu.usage.average","2014-03-28 04:30:00","12.92"
"cpu.usage.average","2014-03-28 04:00:00","13.01"
"cpu.usage.average","2014-03-28 03:30:00","14.11"
"cpu.usage.average","2014-03-28 03:00:00","13.29"
"cpu.usage.average","2014-03-28 02:30:00","13.53"
"cpu.usage.average","2014-03-28 02:00:00","13.95"
"cpu.usage.average","2014-03-28 01:30:00","14.65"
"cpu.usage.average","2014-03-28 01:00:00","16.2"
"cpu.usage.average","2014-03-28 00:30:00","16.36"
"cpu.usage.average","2014-03-28 00:00:00","16.27"
"cpu.usage.average","2014-03-27 23:30:00","19.55"
"cpu.usage.average","2014-03-27 23:00:00","21.44"
"cpu.usage.average","2014-03-27 22:30:00","21.32"
"cpu.usage.average","2014-03-27 22:00:00","24.76"
"cpu.usage.average","2014-03-27 21:30:00","24.19"
"cpu.usage.average","2014-03-27 21:00:00","24.77"
"cpu.usage.average","2014-03-27 20:30:00","25.04"
"cpu.usage.average","2014-03-27 20:00:00","24.28"
"cpu.usage.average","2014-03-27 19:30:00","22.9"
"cpu.usage.average","2014-03-27 19:00:00","22.54"
"cpu.usage.average","2014-03-27 18:30:00","19.94"
"cpu.usage.average","2014-03-27 18:00:00","21.67"
"cpu.usage.average","2014-03-27 17:30:00","20.79"
"cpu.usage.average","2014-03-27 17:00:00","20.96"
"cpu.usage.average","2014-03-27 16:30:00","21.69"
"cpu.usage.average","2014-03-27 16:00:00","20.63"
"cpu.usage.average","2014-03-27 15:30:00","19.29"
"cpu.usage.average","2014-03-27 15:00:00","20.61"
