"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","12.06"
"cpu.usage.average","2014-03-28 13:30:00","12.85"
"cpu.usage.average","2014-03-28 13:00:00","11.53"
"cpu.usage.average","2014-03-28 12:30:00","11.72"
"cpu.usage.average","2014-03-28 12:00:00","11.84"
"cpu.usage.average","2014-03-28 11:30:00","12.65"
"cpu.usage.average","2014-03-28 11:00:00","11.8"
"cpu.usage.average","2014-03-28 10:30:00","11.57"
"cpu.usage.average","2014-03-28 10:00:00","11.46"
"cpu.usage.average","2014-03-28 09:30:00","11.77"
"cpu.usage.average","2014-03-28 09:00:00","10.8"
"cpu.usage.average","2014-03-28 08:30:00","11.3"
"cpu.usage.average","2014-03-28 08:00:00","10.91"
"cpu.usage.average","2014-03-28 07:30:00","10.78"
"cpu.usage.average","2014-03-28 07:00:00","10.54"
"cpu.usage.average","2014-03-28 06:30:00","10.39"
"cpu.usage.average","2014-03-28 06:00:00","10.3"
"cpu.usage.average","2014-03-28 05:30:00","10.3"
"cpu.usage.average","2014-03-28 05:00:00","10.29"
"cpu.usage.average","2014-03-28 04:30:00","10.17"
"cpu.usage.average","2014-03-28 04:00:00","10.23"
"cpu.usage.average","2014-03-28 03:30:00","10.31"
"cpu.usage.average","2014-03-28 03:00:00","10.24"
"cpu.usage.average","2014-03-28 02:30:00","10.26"
"cpu.usage.average","2014-03-28 02:00:00","10.33"
"cpu.usage.average","2014-03-28 01:30:00","10.37"
"cpu.usage.average","2014-03-28 01:00:00","10.54"
"cpu.usage.average","2014-03-28 00:30:00","10.5"
"cpu.usage.average","2014-03-28 00:00:00","10.7"
"cpu.usage.average","2014-03-27 23:30:00","10.85"
"cpu.usage.average","2014-03-27 23:00:00","11.54"
"cpu.usage.average","2014-03-27 22:30:00","11.56"
"cpu.usage.average","2014-03-27 22:00:00","12.11"
"cpu.usage.average","2014-03-27 21:30:00","11.93"
"cpu.usage.average","2014-03-27 21:00:00","12.25"
"cpu.usage.average","2014-03-27 20:30:00","12.25"
"cpu.usage.average","2014-03-27 20:00:00","12.53"
"cpu.usage.average","2014-03-27 19:30:00","12.44"
"cpu.usage.average","2014-03-27 19:00:00","12.41"
"cpu.usage.average","2014-03-27 18:30:00","12.27"
"cpu.usage.average","2014-03-27 18:00:00","12.62"
"cpu.usage.average","2014-03-27 17:30:00","13.41"
"cpu.usage.average","2014-03-27 17:00:00","12.35"
"cpu.usage.average","2014-03-27 16:30:00","12.63"
"cpu.usage.average","2014-03-27 16:00:00","12.2"
"cpu.usage.average","2014-03-27 15:30:00","11.85"
"cpu.usage.average","2014-03-27 15:00:00","12.02"
"cpu.usage.average","2014-03-27 14:30:00","11.99"
"cpu.usage.average","2014-03-27 14:00:00","12.56"
"cpu.usage.average","2014-03-27 13:30:00","12.2"
"cpu.usage.average","2014-03-27 13:00:00","12.08"
"cpu.usage.average","2014-03-27 12:30:00","12.01"
"cpu.usage.average","2014-03-27 12:00:00","11.79"
"cpu.usage.average","2014-03-27 11:30:00","12.38"
"cpu.usage.average","2014-03-27 11:00:00","11.88"
"cpu.usage.average","2014-03-27 10:30:00","11.94"
"cpu.usage.average","2014-03-27 10:00:00","11.97"
"cpu.usage.average","2014-03-27 09:30:00","11.66"
"cpu.usage.average","2014-03-27 09:00:00","11.39"
"cpu.usage.average","2014-03-27 08:30:00","11.24"
"cpu.usage.average","2014-03-27 08:00:00","11.17"
"cpu.usage.average","2014-03-27 07:30:00","10.99"
"cpu.usage.average","2014-03-27 07:00:00","10.73"
"cpu.usage.average","2014-03-27 06:30:00","10.45"
"cpu.usage.average","2014-03-27 06:00:00","10.38"
"cpu.usage.average","2014-03-27 05:30:00","10.29"
"cpu.usage.average","2014-03-27 05:00:00","10.26"
"cpu.usage.average","2014-03-27 04:30:00","10.31"
"cpu.usage.average","2014-03-27 04:00:00","10.26"
"cpu.usage.average","2014-03-27 03:30:00","10.29"
"cpu.usage.average","2014-03-27 03:00:00","10.28"
"cpu.usage.average","2014-03-27 02:30:00","10.41"
"cpu.usage.average","2014-03-27 02:00:00","10.38"
"cpu.usage.average","2014-03-27 01:30:00","10.54"
"cpu.usage.average","2014-03-27 01:00:00","10.61"
"cpu.usage.average","2014-03-27 00:30:00","10.55"
"cpu.usage.average","2014-03-27 00:00:00","10.86"
"cpu.usage.average","2014-03-26 23:30:00","11.1"
"cpu.usage.average","2014-03-26 23:00:00","11.55"
"cpu.usage.average","2014-03-26 22:30:00","12.14"
"cpu.usage.average","2014-03-26 22:00:00","12.34"
"cpu.usage.average","2014-03-26 21:30:00","12.47"
"cpu.usage.average","2014-03-26 21:00:00","12.54"
"cpu.usage.average","2014-03-26 20:30:00","12.63"
"cpu.usage.average","2014-03-26 20:00:00","12.7"
"cpu.usage.average","2014-03-26 19:30:00","12.59"
"cpu.usage.average","2014-03-26 19:00:00","12.97"
"cpu.usage.average","2014-03-26 18:30:00","12.4"
"cpu.usage.average","2014-03-26 18:00:00","12.7"
"cpu.usage.average","2014-03-26 17:30:00","13.09"
"cpu.usage.average","2014-03-26 17:00:00","12.85"
"cpu.usage.average","2014-03-26 16:30:00","12.59"
"cpu.usage.average","2014-03-26 16:00:00","12.13"
"cpu.usage.average","2014-03-26 15:30:00","12.51"
"mem.active.average","2014-03-28 14:00:00","1392507"
"mem.active.average","2014-03-28 13:30:00","1463344"
"mem.active.average","2014-03-28 13:00:00","1517404"
"mem.active.average","2014-03-28 12:30:00","1673991"
"mem.active.average","2014-03-28 12:00:00","1342175"
"mem.active.average","2014-03-28 11:30:00","1414876"
"mem.active.average","2014-03-28 11:00:00","1332854"
"mem.active.average","2014-03-28 10:30:00","1213550"
"mem.active.average","2014-03-28 10:00:00","1332854"
"mem.active.average","2014-03-28 09:30:00","1709037"
"mem.active.average","2014-03-28 09:00:00","1168811"
"mem.active.average","2014-03-28 08:30:00","1744828"
"mem.active.average","2014-03-28 08:00:00","1280659"
"mem.active.average","2014-03-28 07:30:00","1457751"
"mem.active.average","2014-03-28 07:00:00","1377594"
"mem.active.average","2014-03-28 06:30:00","1286251"
"mem.active.average","2014-03-28 06:00:00","1381322"
"mem.active.average","2014-03-28 05:30:00","1422333"
"mem.active.average","2014-03-28 05:00:00","1332854"
"mem.active.average","2014-03-28 04:30:00","1219142"
"mem.active.average","2014-03-28 04:00:00","1282523"
"mem.active.average","2014-03-28 03:30:00","1157626"
"mem.active.average","2014-03-28 03:00:00","1362681"
"mem.active.average","2014-03-28 02:30:00","1323534"
"mem.active.average","2014-03-28 02:00:00","1390643"
"mem.active.average","2014-03-28 01:30:00","1752284"
"mem.active.average","2014-03-28 01:00:00","1323534"
"mem.active.average","2014-03-28 00:30:00","1230327"
"mem.active.average","2014-03-28 00:00:00","1291844"
"mem.active.average","2014-03-27 23:30:00","1418605"
"mem.active.average","2014-03-27 23:00:00","1442838"
"mem.active.average","2014-03-27 22:30:00","1429789"
"mem.active.average","2014-03-27 22:00:00","1640437"
"mem.active.average","2014-03-27 21:30:00","1493170"
"mem.active.average","2014-03-27 21:00:00","1524860"
"mem.active.average","2014-03-27 20:30:00","1636708"
"mem.active.average","2014-03-27 20:00:00","1444702"
"mem.active.average","2014-03-27 19:30:00","1467072"
"mem.active.average","2014-03-27 19:00:00","1519268"
"mem.active.average","2014-03-27 18:30:00","1448431"
"mem.active.average","2014-03-27 18:00:00","1508083"
"mem.active.average","2014-03-27 17:30:00","1625523"
"mem.active.average","2014-03-27 17:00:00","1528588"
"mem.active.average","2014-03-27 16:30:00","1750421"
"mem.active.average","2014-03-27 16:00:00","1362681"
"mem.active.average","2014-03-27 15:30:00","1549094"
"mem.active.average","2014-03-27 15:00:00","1752285"
"mem.active.average","2014-03-27 14:30:00","1273202"
"mem.active.average","2014-03-27 14:00:00","1672127"
"mem.active.average","2014-03-27 13:30:00","1506219"
"mem.active.average","2014-03-27 13:00:00","1353360"
"mem.active.average","2014-03-27 12:30:00","1344039"
