"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","12.93"
"cpu.usage.average","2014-03-28 13:30:00","14.07"
"cpu.usage.average","2014-03-28 13:00:00","13.74"
"cpu.usage.average","2014-03-28 12:30:00","14.91"
"cpu.usage.average","2014-03-28 12:00:00","13.27"
"cpu.usage.average","2014-03-28 11:30:00","12.42"
"cpu.usage.average","2014-03-28 11:00:00","12.1"
"cpu.usage.average","2014-03-28 10:30:00","23.16"
"cpu.usage.average","2014-03-28 10:00:00","37.21"
"cpu.usage.average","2014-03-28 09:30:00","25.53"
"cpu.usage.average","2014-03-28 09:00:00","10.8"
"cpu.usage.average","2014-03-28 08:30:00","10.93"
"cpu.usage.average","2014-03-28 08:00:00","10.61"
"cpu.usage.average","2014-03-28 07:30:00","8.88"
"cpu.usage.average","2014-03-28 07:00:00","8.01"
"cpu.usage.average","2014-03-28 06:30:00","6.92"
"cpu.usage.average","2014-03-28 06:00:00","5.12"
"cpu.usage.average","2014-03-28 05:30:00","6.78"
"cpu.usage.average","2014-03-28 05:00:00","15.2"
"cpu.usage.average","2014-03-28 04:30:00","14.77"
"cpu.usage.average","2014-03-28 04:00:00","14.48"
"cpu.usage.average","2014-03-28 03:30:00","10.22"
"cpu.usage.average","2014-03-28 03:00:00","3.15"
"cpu.usage.average","2014-03-28 02:30:00","3.12"
"cpu.usage.average","2014-03-28 02:00:00","3.57"
"cpu.usage.average","2014-03-28 01:30:00","4.39"
"cpu.usage.average","2014-03-28 01:00:00","5.36"
"cpu.usage.average","2014-03-28 00:30:00","7.21"
"cpu.usage.average","2014-03-28 00:00:00","8.19"
"cpu.usage.average","2014-03-27 23:30:00","10.45"
"cpu.usage.average","2014-03-27 23:00:00","14.37"
"cpu.usage.average","2014-03-27 22:30:00","17.1"
"cpu.usage.average","2014-03-27 22:00:00","18.32"
"cpu.usage.average","2014-03-27 21:30:00","20.4"
"cpu.usage.average","2014-03-27 21:00:00","21.77"
"cpu.usage.average","2014-03-27 20:30:00","23.28"
"cpu.usage.average","2014-03-27 20:00:00","20.84"
"cpu.usage.average","2014-03-27 19:30:00","20.09"
"cpu.usage.average","2014-03-27 19:00:00","18.66"
"cpu.usage.average","2014-03-27 18:30:00","17.46"
"cpu.usage.average","2014-03-27 18:00:00","18.13"
"cpu.usage.average","2014-03-27 17:30:00","16.26"
"cpu.usage.average","2014-03-27 17:00:00","21.13"
"cpu.usage.average","2014-03-27 16:30:00","33.34"
"cpu.usage.average","2014-03-27 16:00:00","36.61"
"cpu.usage.average","2014-03-27 15:30:00","27.85"
"cpu.usage.average","2014-03-27 15:00:00","27.68"
"cpu.usage.average","2014-03-27 14:30:00","27.78"
"cpu.usage.average","2014-03-27 14:00:00","26.45"
"cpu.usage.average","2014-03-27 13:30:00","27.8"
"cpu.usage.average","2014-03-27 13:00:00","15.08"
"cpu.usage.average","2014-03-27 12:30:00","15.37"
"cpu.usage.average","2014-03-27 12:00:00","16.3"
"cpu.usage.average","2014-03-27 11:30:00","14.2"
"cpu.usage.average","2014-03-27 11:00:00","12.85"
"cpu.usage.average","2014-03-27 10:30:00","15.73"
"cpu.usage.average","2014-03-27 10:00:00","15.31"
"cpu.usage.average","2014-03-27 09:30:00","12.67"
"cpu.usage.average","2014-03-27 09:00:00","33.3"
"cpu.usage.average","2014-03-27 08:30:00","11.38"
"cpu.usage.average","2014-03-27 08:00:00","11.41"
"cpu.usage.average","2014-03-27 07:30:00","9.24"
"cpu.usage.average","2014-03-27 07:00:00","8.3"
"cpu.usage.average","2014-03-27 06:30:00","6.62"
"cpu.usage.average","2014-03-27 06:00:00","5.77"
"cpu.usage.average","2014-03-27 05:30:00","7.19"
"cpu.usage.average","2014-03-27 05:00:00","4.56"
"cpu.usage.average","2014-03-27 04:30:00","4.73"
"cpu.usage.average","2014-03-27 04:00:00","4.69"
"cpu.usage.average","2014-03-27 03:30:00","5.59"
"cpu.usage.average","2014-03-27 03:00:00","3.13"
"cpu.usage.average","2014-03-27 02:30:00","3.56"
"cpu.usage.average","2014-03-27 02:00:00","6.04"
"cpu.usage.average","2014-03-27 01:30:00","3.92"
"cpu.usage.average","2014-03-27 01:00:00","5.33"
"cpu.usage.average","2014-03-27 00:30:00","16.4"
"cpu.usage.average","2014-03-27 00:00:00","20.9"
"cpu.usage.average","2014-03-26 23:30:00","11.02"
"cpu.usage.average","2014-03-26 23:00:00","21.25"
"cpu.usage.average","2014-03-26 22:30:00","27.97"
"cpu.usage.average","2014-03-26 22:00:00","21.28"
"cpu.usage.average","2014-03-26 21:30:00","19.21"
"cpu.usage.average","2014-03-26 21:00:00","21.3"
"cpu.usage.average","2014-03-26 20:30:00","20.98"
"cpu.usage.average","2014-03-26 20:00:00","21.62"
"cpu.usage.average","2014-03-26 19:30:00","20.35"
"cpu.usage.average","2014-03-26 19:00:00","17.87"
"cpu.usage.average","2014-03-26 18:30:00","17.59"
"cpu.usage.average","2014-03-26 18:00:00","18.69"
"cpu.usage.average","2014-03-26 17:30:00","17.88"
"cpu.usage.average","2014-03-26 17:00:00","16.92"
"cpu.usage.average","2014-03-26 16:30:00","2.42"
"cpu.usage.average","2014-03-26 16:00:00","9.64"
"mem.active.average","2014-03-28 14:00:00","613298"
"mem.active.average","2014-03-28 13:30:00","547121"
"mem.active.average","2014-03-28 13:00:00","661765"
"mem.active.average","2014-03-28 12:30:00","581608"
"mem.active.average","2014-03-28 12:00:00","864956"
"mem.active.average","2014-03-28 11:30:00","506110"
"mem.active.average","2014-03-28 11:00:00","626347"
"mem.active.average","2014-03-28 10:30:00","3576341"
"mem.active.average","2014-03-28 10:00:00","4055423"
"mem.active.average","2014-03-28 09:30:00","2618175"
"mem.active.average","2014-03-28 09:00:00","1163218"
"mem.active.average","2014-03-28 08:30:00","926472"
"mem.active.average","2014-03-28 08:00:00","630075"
"mem.active.average","2014-03-28 07:30:00","649648"
"mem.active.average","2014-03-28 07:00:00","578811"
"mem.active.average","2014-03-28 06:30:00","603977"
"mem.active.average","2014-03-28 06:00:00","589064"
"mem.active.average","2014-03-28 05:30:00","541529"
"mem.active.average","2014-03-28 05:00:00","875209"
"mem.active.average","2014-03-28 04:30:00","718622"
"mem.active.average","2014-03-28 04:00:00","668290"
"mem.active.average","2014-03-28 03:30:00","586268"
"mem.active.average","2014-03-28 03:00:00","643124"
"mem.active.average","2014-03-28 02:30:00","466964"
"mem.active.average","2014-03-28 02:00:00","522887"
"mem.active.average","2014-03-28 01:30:00","764293"
"mem.active.average","2014-03-28 01:00:00","521023"
"mem.active.average","2014-03-28 00:30:00","643124"
"mem.active.average","2014-03-28 00:00:00","644056"
"mem.active.average","2014-03-27 23:30:00","561102"
"mem.active.average","2014-03-27 23:00:00","699980"
"mem.active.average","2014-03-27 22:30:00","683203"
"mem.active.average","2014-03-27 22:00:00","748448"
"mem.active.average","2014-03-27 21:30:00","948842"
"mem.active.average","2014-03-27 21:00:00","725146"
"mem.active.average","2014-03-27 20:30:00","727942"
"mem.active.average","2014-03-27 20:00:00","696252"
"mem.active.average","2014-03-27 19:30:00","768953"
"mem.active.average","2014-03-27 19:00:00","707437"
"mem.active.average","2014-03-27 18:30:00","685999"
"mem.active.average","2014-03-27 18:00:00","933929"
"mem.active.average","2014-03-27 17:30:00","620754"
"mem.active.average","2014-03-27 17:00:00","736331"
"mem.active.average","2014-03-27 16:30:00","836062"
"mem.active.average","2014-03-27 16:00:00","927405"
"mem.active.average","2014-03-27 15:30:00","805304"
"mem.active.average","2014-03-27 15:00:00","817421"
"mem.active.average","2014-03-27 14:30:00","1096109"
"mem.active.average","2014-03-27 14:00:00","996377"
"mem.active.average","2014-03-27 13:30:00","682271"
"mem.active.average","2014-03-27 13:00:00","720486"
"mem.active.average","2014-03-27 12:30:00","666426"
"mem.active.average","2014-03-27 12:00:00","704640"
"mem.active.average","2014-03-27 11:30:00","656173"
"mem.active.average","2014-03-27 11:00:00","678543"
"mem.active.average","2014-03-27 10:30:00","1313280"
"mem.active.average","2014-03-27 10:00:00","932997"
"mem.active.average","2014-03-27 09:30:00","791323"
"mem.active.average","2014-03-27 09:00:00","1432584"
"mem.active.average","2014-03-27 08:30:00","619822"
"mem.active.average","2014-03-27 08:00:00","584404"
"mem.active.average","2014-03-27 07:30:00","663630"
"mem.active.average","2014-03-27 07:00:00","833266"
"mem.active.average","2014-03-27 06:30:00","571355"
"mem.active.average","2014-03-27 06:00:00","539665"
"mem.active.average","2014-03-27 05:30:00","656173"
"mem.active.average","2014-03-27 05:00:00","517295"
"mem.active.average","2014-03-27 04:30:00","548986"
"mem.active.average","2014-03-27 04:00:00","608638"
"mem.active.average","2014-03-27 03:30:00","785730"
"mem.active.average","2014-03-27 03:00:00","589997"
"mem.active.average","2014-03-27 02:30:00","453915"
"mem.active.average","2014-03-27 02:00:00","531276"
"mem.active.average","2014-03-27 01:30:00","496790"
"mem.active.average","2014-03-27 01:00:00","556442"
"mem.active.average","2014-03-27 00:30:00","636600"
"mem.active.average","2014-03-27 00:00:00","947910"
"mem.active.average","2014-03-26 23:30:00","648716"
"mem.active.average","2014-03-26 23:00:00","655241"
"mem.active.average","2014-03-26 22:30:00","665494"
"mem.active.average","2014-03-26 22:00:00","575083"
"mem.active.average","2014-03-26 21:30:00","662698"
"mem.active.average","2014-03-26 21:00:00","705573"
"mem.active.average","2014-03-26 20:30:00","869617"
"mem.active.average","2014-03-26 20:00:00","726078"
"mem.active.average","2014-03-26 19:30:00","757768"
"mem.active.average","2014-03-26 19:00:00","698116"
"mem.active.average","2014-03-26 18:30:00","741924"
"mem.active.average","2014-03-26 18:00:00","664562"
"mem.active.average","2014-03-26 17:30:00","713029"
"mem.active.average","2014-03-26 17:00:00","2333429"
"mem.active.average","2014-03-26 16:30:00","1741100"
"mem.active.average","2014-03-26 16:00:00","6819586"
"disk.read.average","2014-03-28 14:00:00","31"
"disk.read.average","2014-03-28 13:30:00","31"
"disk.read.average","2014-03-28 13:00:00","31"
"disk.read.average","2014-03-28 12:30:00","38"
"disk.read.average","2014-03-28 12:00:00","31"
"disk.read.average","2014-03-28 11:30:00","31"
"disk.read.average","2014-03-28 11:00:00","54"
"disk.read.average","2014-03-28 10:30:00","591"
"disk.read.average","2014-03-28 10:00:00","1169"
"disk.read.average","2014-03-28 09:30:00","438"
"disk.read.average","2014-03-28 09:00:00","0"
"disk.read.average","2014-03-28 08:30:00","62"
"disk.read.average","2014-03-28 08:00:00","31"
"disk.read.average","2014-03-28 07:30:00","30"
"disk.read.average","2014-03-28 07:00:00","30"
"disk.read.average","2014-03-28 06:30:00","30"
"disk.read.average","2014-03-28 06:00:00","30"
"disk.read.average","2014-03-28 05:30:00","30"
"disk.read.average","2014-03-28 05:00:00","61"
"disk.read.average","2014-03-28 04:30:00","30"
"disk.read.average","2014-03-28 04:00:00","30"
"disk.read.average","2014-03-28 03:30:00","30"
"disk.read.average","2014-03-28 03:00:00","30"
"disk.read.average","2014-03-28 02:30:00","32"
"disk.read.average","2014-03-28 02:00:00","30"
"disk.read.average","2014-03-28 01:30:00","30"
"disk.read.average","2014-03-28 01:00:00","30"
"disk.read.average","2014-03-28 00:30:00","30"
"disk.read.average","2014-03-28 00:00:00","30"
"disk.read.average","2014-03-27 23:30:00","30"
"disk.read.average","2014-03-27 23:00:00","30"
"disk.read.average","2014-03-27 22:30:00","31"
"disk.read.average","2014-03-27 22:00:00","30"
"disk.read.average","2014-03-27 21:30:00","31"
"disk.read.average","2014-03-27 21:00:00","31"
"disk.read.average","2014-03-27 20:30:00","31"
"disk.read.average","2014-03-27 20:00:00","30"
"disk.read.average","2014-03-27 19:30:00","30"
"disk.read.average","2014-03-27 19:00:00","31"
"disk.read.average","2014-03-27 18:30:00","31"
"disk.read.average","2014-03-27 18:00:00","61"
"disk.read.average","2014-03-27 17:30:00","31"
"disk.read.average","2014-03-27 17:00:00","31"
"disk.read.average","2014-03-27 16:30:00","31"
"disk.read.average","2014-03-27 16:00:00","31"
"disk.read.average","2014-03-27 15:30:00","31"
"disk.read.average","2014-03-27 15:00:00","30"
"disk.read.average","2014-03-27 14:30:00","31"
"disk.read.average","2014-03-27 14:00:00","32"
"disk.read.average","2014-03-27 13:30:00","31"
"disk.read.average","2014-03-27 13:00:00","31"
"disk.read.average","2014-03-27 12:30:00","31"
"disk.read.average","2014-03-27 12:00:00","31"
"disk.read.average","2014-03-27 11:30:00","31"
"disk.read.average","2014-03-27 11:00:00","31"
"disk.read.average","2014-03-27 10:30:00","32"
"disk.read.average","2014-03-27 10:00:00","31"
"disk.read.average","2014-03-27 09:30:00","31"
"disk.read.average","2014-03-27 09:00:00","33"
"disk.read.average","2014-03-27 08:30:00","31"
"disk.read.average","2014-03-27 08:00:00","30"
"disk.read.average","2014-03-27 07:30:00","30"
"disk.read.average","2014-03-27 07:00:00","30"
"disk.read.average","2014-03-27 06:30:00","30"
"disk.read.average","2014-03-27 06:00:00","30"
"disk.read.average","2014-03-27 05:30:00","30"
"disk.read.average","2014-03-27 05:00:00","30"
"disk.read.average","2014-03-27 04:30:00","30"
"disk.read.average","2014-03-27 04:00:00","30"
"disk.read.average","2014-03-27 03:30:00","30"
"disk.read.average","2014-03-27 03:00:00","30"
"disk.read.average","2014-03-27 02:30:00","30"
"disk.read.average","2014-03-27 02:00:00","30"
"disk.read.average","2014-03-27 01:30:00","30"
"disk.read.average","2014-03-27 01:00:00","30"
"disk.read.average","2014-03-27 00:30:00","30"
"disk.read.average","2014-03-27 00:00:00","31"
"disk.read.average","2014-03-26 23:30:00","30"
"disk.read.average","2014-03-26 23:00:00","30"
"disk.read.average","2014-03-26 22:30:00","30"
"disk.read.average","2014-03-26 22:00:00","30"
"disk.read.average","2014-03-26 21:30:00","0"
"disk.read.average","2014-03-26 21:00:00","0"
"disk.read.average","2014-03-26 20:30:00","0"
"disk.read.average","2014-03-26 20:00:00","0"
"disk.read.average","2014-03-26 19:30:00","34"
"disk.read.average","2014-03-26 19:00:00","32"
"disk.read.average","2014-03-26 18:30:00","0"
"disk.read.average","2014-03-26 18:00:00","1"
"disk.read.average","2014-03-26 17:30:00","1"
"disk.read.average","2014-03-26 17:00:00","15"
"disk.read.average","2014-03-26 16:30:00","686"
"disk.read.average","2014-03-26 16:00:00","2482"
"disk.write.average","2014-03-28 14:00:00","16"
"disk.write.average","2014-03-28 13:30:00","14"
"disk.write.average","2014-03-28 13:00:00","16"
"disk.write.average","2014-03-28 12:30:00","22"
"disk.write.average","2014-03-28 12:00:00","19"
"disk.write.average","2014-03-28 11:30:00","15"
"disk.write.average","2014-03-28 11:00:00","21"
"disk.write.average","2014-03-28 10:30:00","676"
"disk.write.average","2014-03-28 10:00:00","4677"
"disk.write.average","2014-03-28 09:30:00","4807"
"disk.write.average","2014-03-28 09:00:00","15"
"disk.write.average","2014-03-28 08:30:00","20"
"disk.write.average","2014-03-28 08:00:00","13"
"disk.write.average","2014-03-28 07:30:00","12"
"disk.write.average","2014-03-28 07:00:00","11"
"disk.write.average","2014-03-28 06:30:00","10"
"disk.write.average","2014-03-28 06:00:00","10"
"disk.write.average","2014-03-28 05:30:00","9"
"disk.write.average","2014-03-28 05:00:00","14"
"disk.write.average","2014-03-28 04:30:00","9"
"disk.write.average","2014-03-28 04:00:00","10"
"disk.write.average","2014-03-28 03:30:00","9"
"disk.write.average","2014-03-28 03:00:00","8"
"disk.write.average","2014-03-28 02:30:00","11"
"disk.write.average","2014-03-28 02:00:00","9"
"disk.write.average","2014-03-28 01:30:00","11"
"disk.write.average","2014-03-28 01:00:00","10"
"disk.write.average","2014-03-28 00:30:00","13"
"disk.write.average","2014-03-28 00:00:00","11"
"disk.write.average","2014-03-27 23:30:00","12"
"disk.write.average","2014-03-27 23:00:00","13"
"disk.write.average","2014-03-27 22:30:00","15"
"disk.write.average","2014-03-27 22:00:00","15"
"disk.write.average","2014-03-27 21:30:00","20"
