"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:00:00","7.67"
"cpu.usage.average","2014-03-28 13:30:00","6.94"
"cpu.usage.average","2014-03-28 13:00:00","7.32"
"cpu.usage.average","2014-03-28 12:30:00","7.79"
"cpu.usage.average","2014-03-28 12:00:00","7.25"
"cpu.usage.average","2014-03-28 11:30:00","7.13"
"cpu.usage.average","2014-03-28 11:00:00","7.07"
"cpu.usage.average","2014-03-28 10:30:00","7.27"
"cpu.usage.average","2014-03-28 10:00:00","6.8"
"cpu.usage.average","2014-03-28 09:30:00","6.73"
"cpu.usage.average","2014-03-28 09:00:00","6.21"
"cpu.usage.average","2014-03-28 08:30:00","5.96"
"cpu.usage.average","2014-03-28 08:00:00","5.41"
"cpu.usage.average","2014-03-28 07:30:00","4.85"
"cpu.usage.average","2014-03-28 07:00:00","4.35"
"cpu.usage.average","2014-03-28 06:30:00","4"
"cpu.usage.average","2014-03-28 06:00:00","3.71"
"cpu.usage.average","2014-03-28 05:30:00","3.43"
"cpu.usage.average","2014-03-28 05:00:00","3.49"
"cpu.usage.average","2014-03-28 04:30:00","3.05"
"cpu.usage.average","2014-03-28 04:00:00","2.9"
"cpu.usage.average","2014-03-28 03:30:00","2.87"
"cpu.usage.average","2014-03-28 03:00:00","2.95"
"cpu.usage.average","2014-03-28 02:30:00","3.16"
"cpu.usage.average","2014-03-28 02:00:00","3.46"
"cpu.usage.average","2014-03-28 01:30:00","3.81"
"cpu.usage.average","2014-03-28 01:00:00","4.16"
"cpu.usage.average","2014-03-28 00:30:00","4.59"
"cpu.usage.average","2014-03-28 00:00:00","5.68"
"cpu.usage.average","2014-03-27 23:30:00","7.57"
"cpu.usage.average","2014-03-27 23:00:00","8.36"
"cpu.usage.average","2014-03-27 22:30:00","9.86"
"cpu.usage.average","2014-03-27 22:00:00","11.55"
"cpu.usage.average","2014-03-27 21:30:00","12.68"
"cpu.usage.average","2014-03-27 21:00:00","13.73"
"cpu.usage.average","2014-03-27 20:30:00","12.93"
"cpu.usage.average","2014-03-27 20:00:00","12.52"
"cpu.usage.average","2014-03-27 19:30:00","12.34"
"cpu.usage.average","2014-03-27 19:00:00","11.12"
"cpu.usage.average","2014-03-27 18:30:00","10.12"
"cpu.usage.average","2014-03-27 18:00:00","9.72"
"cpu.usage.average","2014-03-27 17:30:00","9.37"
"cpu.usage.average","2014-03-27 17:00:00","8.81"
"cpu.usage.average","2014-03-27 16:30:00","8.59"
"cpu.usage.average","2014-03-27 16:00:00","8.44"
"cpu.usage.average","2014-03-27 15:30:00","8.52"
"cpu.usage.average","2014-03-27 15:00:00","8.26"
"cpu.usage.average","2014-03-27 14:30:00","8.46"
"cpu.usage.average","2014-03-27 14:00:00","8.66"
"cpu.usage.average","2014-03-27 13:30:00","8.08"
"cpu.usage.average","2014-03-27 13:00:00","8.08"
"cpu.usage.average","2014-03-27 12:30:00","8.34"
"cpu.usage.average","2014-03-27 12:00:00","7.96"
"cpu.usage.average","2014-03-27 11:30:00","8.07"
"cpu.usage.average","2014-03-27 11:00:00","7.46"
"cpu.usage.average","2014-03-27 10:30:00","7.45"
"cpu.usage.average","2014-03-27 10:00:00","7.39"
"cpu.usage.average","2014-03-27 09:30:00","7.19"
"cpu.usage.average","2014-03-27 09:00:00","7.08"
"cpu.usage.average","2014-03-27 08:30:00","6.11"
"cpu.usage.average","2014-03-27 08:00:00","5.47"
"cpu.usage.average","2014-03-27 07:30:00","5.25"
"cpu.usage.average","2014-03-27 07:00:00","4.37"
"cpu.usage.average","2014-03-27 06:30:00","4.11"
"cpu.usage.average","2014-03-27 06:00:00","3.52"
"cpu.usage.average","2014-03-27 05:30:00","3.36"
"cpu.usage.average","2014-03-27 05:00:00","3.09"
"cpu.usage.average","2014-03-27 04:30:00","3"
"cpu.usage.average","2014-03-27 04:00:00","2.97"
"cpu.usage.average","2014-03-27 03:30:00","3.12"
"cpu.usage.average","2014-03-27 03:00:00","2.94"
"cpu.usage.average","2014-03-27 02:30:00","3.01"
"cpu.usage.average","2014-03-27 02:00:00","3.31"
"cpu.usage.average","2014-03-27 01:30:00","3.39"
"cpu.usage.average","2014-03-27 01:00:00","3.94"
"cpu.usage.average","2014-03-27 00:30:00","5.19"
"cpu.usage.average","2014-03-27 00:00:00","6.46"
"cpu.usage.average","2014-03-26 23:30:00","6.76"
"cpu.usage.average","2014-03-26 23:00:00","7.94"
"cpu.usage.average","2014-03-26 22:30:00","9.32"
"cpu.usage.average","2014-03-26 22:00:00","10.92"
"cpu.usage.average","2014-03-26 21:30:00","12.66"
"cpu.usage.average","2014-03-26 21:00:00","13.67"
"cpu.usage.average","2014-03-26 20:30:00","12.84"
"cpu.usage.average","2014-03-26 20:00:00","12.81"
"cpu.usage.average","2014-03-26 19:30:00","12.47"
"cpu.usage.average","2014-03-26 19:00:00","10.66"
"cpu.usage.average","2014-03-26 18:30:00","9.92"
"cpu.usage.average","2014-03-26 18:00:00","9.82"
"cpu.usage.average","2014-03-26 17:30:00","9.17"
"cpu.usage.average","2014-03-26 17:00:00","9.07"
"cpu.usage.average","2014-03-26 16:30:00","9.74"
"cpu.usage.average","2014-03-26 16:00:00","8.61"
"cpu.usage.average","2014-03-26 15:30:00","7.96"
"mem.active.average","2014-03-28 14:00:00","782468"
"mem.active.average","2014-03-28 13:30:00","772215"
"mem.active.average","2014-03-28 13:00:00","745651"
