"MetricId","Timestamp","Value"
"cpu.usage.average","2014-03-28 14:30:00","6.26"
"cpu.usage.average","2014-03-28 14:00:00","6.43"
"cpu.usage.average","2014-03-28 13:30:00","6.13"
"cpu.usage.average","2014-03-28 13:00:00","5.99"
"cpu.usage.average","2014-03-28 12:30:00","6.36"
"cpu.usage.average","2014-03-28 12:00:00","6.01"
"cpu.usage.average","2014-03-28 11:30:00","5.73"
"cpu.usage.average","2014-03-28 11:00:00","5.51"
"cpu.usage.average","2014-03-28 10:30:00","5.9"
"cpu.usage.average","2014-03-28 10:00:00","5.37"
"cpu.usage.average","2014-03-28 09:30:00","5.36"
"cpu.usage.average","2014-03-28 09:00:00","0.01"
"cpu.usage.average","2014-03-28 08:30:00","5.07"
"cpu.usage.average","2014-03-28 08:00:00","4.39"
"cpu.usage.average","2014-03-28 07:30:00","3.97"
"cpu.usage.average","2014-03-28 07:00:00","3.73"
"cpu.usage.average","2014-03-28 06:30:00","3.66"
"cpu.usage.average","2014-03-28 06:00:00","3.21"
"cpu.usage.average","2014-03-28 05:30:00","2.92"
"cpu.usage.average","2014-03-28 05:00:00","2.89"
"cpu.usage.average","2014-03-28 04:30:00","3.01"
"cpu.usage.average","2014-03-28 04:00:00","2.79"
"cpu.usage.average","2014-03-28 03:30:00","2.86"
"cpu.usage.average","2014-03-28 03:00:00","2.79"
"cpu.usage.average","2014-03-28 02:30:00","3.22"
"cpu.usage.average","2014-03-28 02:00:00","3.25"
"cpu.usage.average","2014-03-28 01:30:00","3.27"
"cpu.usage.average","2014-03-28 01:00:00","4.02"
"cpu.usage.average","2014-03-28 00:30:00","3.89"
"cpu.usage.average","2014-03-28 00:00:00","4.18"
"cpu.usage.average","2014-03-27 23:30:00","4.99"
"cpu.usage.average","2014-03-27 23:00:00","5.93"
"cpu.usage.average","2014-03-27 22:30:00","6.44"
"cpu.usage.average","2014-03-27 22:00:00","7.39"
"cpu.usage.average","2014-03-27 21:30:00","8.22"
"cpu.usage.average","2014-03-27 21:00:00","9.05"
"cpu.usage.average","2014-03-27 20:30:00","9.23"
"cpu.usage.average","2014-03-27 20:00:00","9.35"
"cpu.usage.average","2014-03-27 19:30:00","8.53"
"cpu.usage.average","2014-03-27 19:00:00","8.47"
"cpu.usage.average","2014-03-27 18:30:00","7.85"
"cpu.usage.average","2014-03-27 18:00:00","7.46"
"cpu.usage.average","2014-03-27 17:30:00","7.07"
"cpu.usage.average","2014-03-27 17:00:00","6.79"
"cpu.usage.average","2014-03-27 16:30:00","6.31"
"cpu.usage.average","2014-03-27 16:00:00","6.23"
"cpu.usage.average","2014-03-27 15:30:00","6.04"
"cpu.usage.average","2014-03-27 15:00:00","6.17"
"cpu.usage.average","2014-03-27 14:30:00","5.85"
"cpu.usage.average","2014-03-27 14:00:00","5.85"
"cpu.usage.average","2014-03-27 13:30:00","5.64"
"cpu.usage.average","2014-03-27 13:00:00","5.88"
"cpu.usage.average","2014-03-27 12:30:00","5.9"
"cpu.usage.average","2014-03-27 12:00:00","5.75"
"cpu.usage.average","2014-03-27 11:30:00","5.7"
"cpu.usage.average","2014-03-27 11:00:00","5.76"
"cpu.usage.average","2014-03-27 10:30:00","5.24"
"cpu.usage.average","2014-03-27 10:00:00","5.27"
"cpu.usage.average","2014-03-27 09:30:00","5.01"
"cpu.usage.average","2014-03-27 09:00:00","4.69"
"cpu.usage.average","2014-03-27 08:30:00","4.52"
"cpu.usage.average","2014-03-27 08:00:00","4.38"
"cpu.usage.average","2014-03-27 07:30:00","4.08"
"cpu.usage.average","2014-03-27 07:00:00","3.54"
"cpu.usage.average","2014-03-27 06:30:00","3.56"
"cpu.usage.average","2014-03-27 06:00:00","2.92"
"cpu.usage.average","2014-03-27 05:30:00","2.99"
"cpu.usage.average","2014-03-27 05:00:00","2.83"
"cpu.usage.average","2014-03-27 04:30:00","3.02"
"cpu.usage.average","2014-03-27 04:00:00","2.74"
"cpu.usage.average","2014-03-27 03:30:00","2.79"
"cpu.usage.average","2014-03-27 03:00:00","2.98"
"cpu.usage.average","2014-03-27 02:30:00","3.22"
"cpu.usage.average","2014-03-27 02:00:00","3.1"
"cpu.usage.average","2014-03-27 01:30:00","3.46"
"cpu.usage.average","2014-03-27 01:00:00","4.3"
"cpu.usage.average","2014-03-27 00:30:00","4.04"
"cpu.usage.average","2014-03-27 00:00:00","4.39"
"cpu.usage.average","2014-03-26 23:30:00","5.05"
"cpu.usage.average","2014-03-26 23:00:00","5.82"
"cpu.usage.average","2014-03-26 22:30:00","6.59"
"cpu.usage.average","2014-03-26 22:00:00","7.49"
"cpu.usage.average","2014-03-26 21:30:00","7.71"
"cpu.usage.average","2014-03-26 21:00:00","9.39"
"cpu.usage.average","2014-03-26 20:30:00","9.43"
"cpu.usage.average","2014-03-26 20:00:00","9.25"
"cpu.usage.average","2014-03-26 19:30:00","8.78"
