"Name","NumCpu","MemoryMB","UsedSpaceGB","HostName","OS"
"LORAADK003","2","4096","34.042555259540677070617675781","mesxc02k104.management.local","Red Hat Enterprise Linux 6 (64-Bit)"
"LSQLTRK001","1","2048","36.340796713717281818389892578","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBCMK001","4","4096","39.550921472720801830291748047","mesxc04k118.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LSQLTRK002","1","2048","37.343335933983325958251953125","mesxc04k116.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDEK024","8","16384","54.144484653137624263763427734","mesxc04k112.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LAPPJOK001","1","4096","31.188095670193433761596679688","mesxc04k117.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBCMK002","4","4096","27.856347212567925453186035156","mesxc04k113.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LSQLSEK002","2","32768","53.349734482355415821075439453","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LSQLSEK001","2","32768","82.64642736688256263732910156","mesxc04k122.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LDCOWSK002","1","4096","146.09449922386556863784790039","mesxc04k122.management.local","Microsoft Windows Server 2003 Standard (32-Bit)"
"LADMADK001","8","16384","44.875012850388884544372558594","mesxc04k119.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LAPPMSK002","8","16384","35.548463686369359493255615234","mesxc04k103.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LAPPMSK001","8","16384","35.237997371703386306762695312","mesxc04k116.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LRPCEDK002","4","32768","68.591725176200270652770996094","mesxc04k111.management.local","Microsoft Windows Server 2008 (64-Bit)"
"LRPCEDK003","4","32768","68.316447212360799312591552734","mesxc04k117.management.local","Microsoft Windows Server 2008 (64-Bit)"
"LRPCEDK004","4","32768","68.274725765921175479888916016","mesxc04k109.management.local","Microsoft Windows Server 2008 (64-Bit)"
"LRPCEDK001","4","32768","68.510734187439084053039550781","mesxc04k122.management.local","Microsoft Windows Server 2008 (64-Bit)"
"LRPCEDK005","4","32768","68.632567813619971275329589844","mesxc04k112.management.local","Microsoft Windows Server 2008 (64-Bit)"
"LCDNCPK001","8","16384","44.89214585721492767333984375","mesxc04k112.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LCDNCPK002","8","16384","44.843674133531749248504638672","mesxc04k121.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LCDNCPK003","8","16384","44.851301709190011024475097656","mesxc04k116.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LCDNCPK004","8","16384","44.970539011992514133453369141","mesxc04k121.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBACK001","8","16384","44.889680389314889907836914062","mesxc04k121.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBACK002","8","16384","44.788834727369248867034912109","mesxc04k114.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBADK001","8","16384","44.903991256840527057647705078","mesxc04k113.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBADK002","8","16384","44.832765788771212100982666016","mesxc04k117.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBADK003","8","16384","44.862523697316646575927734375","mesxc04k109.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBADK004","8","16384","45.310285052284598350524902344","mesxc04k111.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBADK005","8","16384","44.836805935017764568328857422","mesxc04k116.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBADK006","8","16384","44.843268832191824913024902344","mesxc04k119.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBADK007","8","16384","44.717979971319437026977539062","mesxc04k110.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBADK008","8","16384","44.862515020184218883514404297","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBCTK002","8","16384","44.793283483013510704040527344","mesxc04k109.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBCTK003","8","16384","44.773713140748441219329833984","mesxc04k115.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBCTK004","8","16384","44.791960840113461017608642578","mesxc04k108.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBCTK001","8","16384","44.760463053360581398010253906","mesxc04k119.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDIK001","8","16384","44.864447257481515407562255859","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDIK002","8","16384","44.796248024329543113708496094","mesxc04k113.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDIK003","8","16384","44.856147999875247478485107422","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBDIK004","8","16384","45.059029795229434967041015625","mesxc04k118.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBEWK002","6","16384","44.992240292951464653015136719","mesxc04k119.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBEWK003","6","16384","45.229221200570464134216308594","mesxc04k121.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBEWK001","6","16384","44.023239025846123695373535156","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBEWK004","6","16384","44.613010236062109470367431641","mesxc04k119.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBIDK001","8","16384","47.160862027667462825775146484","mesxc04k106.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBIDK002","8","16384","46.854413745924830436706542969","mesxc04k120.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBIDK003","8","16384","46.981153027154505252838134766","mesxc04k118.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBIDK004","8","16384","47.934979436919093132019042969","mesxc04k105.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBPSK001","8","16384","44.939944290556013584136962891","mesxc04k112.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBPSK002","8","16384","45.068806225433945655822753906","mesxc04k111.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBPSK003","8","16384","44.994896989315748214721679688","mesxc04k122.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
"LWEBPSK004","8","16384","44.932443129830062389373779297","mesxc04k111.management.local","Microsoft Windows Server 2008 R2 (64-Bit)"
