"Id","Name","MemoryMB","NumCpu","VMApp"
"VirtualMachine-vm-5902","DNFSRBV001","4096","2",
"VirtualMachine-vm-16702","OAPPIEV001","1024","2",
"VirtualMachine-vm-19844","OTSTW7V006","1024","2",
"VirtualMachine-vm-19845","OTSTW7V007","1024","2",
"VirtualMachine-vm-27739","OW2K12V007","0","0",
"VirtualMachine-vm-19843","OTSTW7V005","4096","2",
"VirtualMachine-vm-22678","ASDV9031","8192","4",
"VirtualMachine-vm-19846","OTSTW7V008","1024","2",
"VirtualMachine-vm-19847","OTSTW7V009","1024","2",
"VirtualMachine-vm-7822","dapplcv003","2048","4",
"VirtualMachine-vm-10459","TMPTSTV001","1024","2",
"VirtualMachine-vm-10157","TMGRPDV002","2048","2",
"VirtualMachine-vm-10158","TMGRPDV003","2048","2",
"VirtualMachine-vm-10156","TMGRPDV001","2048","2",
"VirtualMachine-vm-5234","TestWin8Sysprep","4096","1",
"VirtualMachine-vm-3842","Template_Enteo_W2K8R2","4096","2",
"VirtualMachine-vm-6342","Template_W2k8R2_Prod_SalesForce","1024","2",
"VirtualMachine-vm-4490","Template_Master_Web_Farm_Laender","16384","4",
"VirtualMachine-vm-20315","LAPPISV002ex3_nicht_l?schen","32768","8",
"VirtualMachine-vm-3984","Template_Master_Web_Farm","16384","4",
"VirtualMachine-vm-5008","CAPPBTV001","2048","2",
"VirtualMachine-vm-2393","CORAMPV002","9216","2",
"VirtualMachine-vm-6741","CMYQNSV001","4096","2",
"VirtualMachine-vm-2365","CORADLV001","8192","2",
"VirtualMachine-vm-2803","CORAMPV001","8192","2",
"VirtualMachine-vm-4646","CORASRV001","2048","1",
"VirtualMachine-vm-5831","CELAVMV001","20480","2",
"VirtualMachine-vm-8168","TPUPDBV101","8192","2",
"VirtualMachine-vm-8166","TPUPPMV101","8192","2",
"VirtualMachine-vm-677","CORATSV001","8192","2",
"VirtualMachine-vm-4955","CWEBROV001","16384","4",
"VirtualMachine-vm-5017","CWEBSEV001","16384","4",
"VirtualMachine-vm-2015","CWEBADV001","8192","2",
"VirtualMachine-vm-5029","CAPPDLV002","8192","2",
"VirtualMachine-vm-4950","CWEBBEV001","16384","4",
"VirtualMachine-vm-2146","CCDNSCV001","4096","2",
"VirtualMachine-vm-1956","CWEBFAV001","8192","2",
"VirtualMachine-vm-1907","CWEBACV001","8192","2",
"VirtualMachine-vm-2136","CWEBDEV001","8192","2",
"VirtualMachine-vm-5774","CWEBATV001","16384","4",
"VirtualMachine-vm-5047","CFTPMV001","1024","1",
"VirtualMachine-vm-4952","CWEBLUV001","16384","4",
"VirtualMachine-vm-1904","CWEBITV001","8192","2",
"VirtualMachine-vm-4953","CWEBNLV001","16384","4",
"VirtualMachine-vm-2117","CWEBESV001","8192","2",
"VirtualMachine-vm-5030","CAPPDLV003","8192","4",
"VirtualMachine-vm-4869","CAPPJOV003","8192","2",
"VirtualMachine-vm-4836","CAPPJOV004","8192","2",
"VirtualMachine-vm-5989","CAPPMSV001","16384","8",
"VirtualMachine-vm-2201","CTEROPV001","8192","4",
"VirtualMachine-vm-1962","CWEBAPR001","2048","1",
"VirtualMachine-vm-5778","CWEBBGV001","16384","4",
"VirtualMachine-vm-2154","CWEBFRV001","8192","2",
"VirtualMachine-vm-2194","CADMADV001","4096","2",
"VirtualMachine-vm-2080","CAPPDLV001","4096","2",
"VirtualMachine-vm-2053","CWEBLDV001","8192","2",
"VirtualMachine-vm-2033","CAPPJOV001","8192","2",
"VirtualMachine-vm-2137","CWEBTSV001","2048","1",
"VirtualMachine-vm-2014","CWEBWSV001","16384","2",
"VirtualMachine-vm-5031","CAPPDLV004","8192","2",
"VirtualMachine-vm-2057","CWEBABV001","8192","2",
"VirtualMachine-vm-2200","CWEBVCV001","8192","2",
"VirtualMachine-vm-2050","CWEBRWV001","8192","2",
"VirtualMachine-vm-4829","CAPPJOV002","8192","2",
"VirtualMachine-vm-18191","CSQLSSV001","16384","2",
"VirtualMachine-vm-2103","CWEBPIV001","8192","2",
"VirtualMachine-vm-4954","CWEBPLV001","16384","4",
"VirtualMachine-vm-8106","vmdimi","8192","4",
"VirtualMachine-vm-5009","DAPPBTV001","2048","2",
"VirtualMachine-vm-5280","DAPPCVV001","3072","1",
"VirtualMachine-vm-4687","DAPPLCV001","2048","4",
"VirtualMachine-vm-8022","DORAJOV001","9216","4",
"VirtualMachine-vm-1853","DSVNCGV002","2048","2",
"VirtualMachine-vm-3041","DCHECKV001","1024","1",
"VirtualMachine-vm-24413","DNETLBV003","4096","2",
"VirtualMachine-vm-525","doraadv001","2048","2",
