Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-02-28 16:18:56 +0100,40,11.0,11.0,11.0,12.0,13.0,11.43,0.79,40,14.0,23.0,24.0,27.0,38.0,24.55,5.94,40,24.0,27.0,33.5,38.25,54.01,33.73,7.56
2014-02-28 16:23:55 +0100,40,11.0,11.0,11.0,12.0,14.0,11.45,0.92,40,14.0,14.0,15.0,18.0,34.0,18.13,6.16,40,20.0,26.0,27.0,31.5,47.0,29.45,5.32
2014-02-28 16:49:00 +0100,40,11.0,11.0,11.0,12.0,14.0,11.43,0.89,40,14.0,16.75,24.0,27.0,34.0,23.28,5.92,40,22.0,26.0,27.0,32.25,48.0,29.33,5.56
2014-02-28 17:19:03 +0100,40,11.0,11.0,11.0,12.0,70.01,14.35,12.2,40,14.0,14.0,15.0,21.0,29.0,17.53,4.24,40,19.0,25.0,26.0,27.0,34.0,26.08,2.98
2014-02-28 17:49:06 +0100,40,11.0,11.0,11.0,11.0,12.0,11.18,0.66,40,14.0,14.0,15.0,23.0,31.0,18.28,5.43,40,19.0,26.0,26.0,27.25,40.0,27.2,3.63
2014-02-28 18:18:50 +0100,40,11.0,11.0,11.5,12.0,22.0,11.83,1.84,40,14.0,22.5,24.0,26.0,43.0,24.0,6.81,40,22.0,27.0,30.0,38.0,51.01,32.58,6.73
2014-02-28 18:48:49 +0100,40,9.0,11.0,11.0,12.0,12.0,11.38,0.69,40,14.0,16.75,22.5,24.0,32.0,21.13,4.67,40,22.0,26.0,26.5,27.0,37.0,27.2,2.98
2014-02-28 19:19:07 +0100,40,11.0,11.0,11.0,12.0,13.0,11.5,0.83,40,14.0,14.0,15.0,20.25,35.0,17.55,5.09,40,19.0,25.0,26.5,27.25,37.0,27.25,3.58
2014-02-28 19:49:07 +0100,40,11.0,11.0,11.0,11.0,12.0,11.2,0.67,40,14.0,15.75,24.0,25.0,35.0,22.45,5.38,40,21.0,26.0,26.5,28.5,39.0,28.15,4.34
2014-02-28 20:19:04 +0100,40,11.0,11.0,11.0,12.0,13.0,11.5,0.83,40,14.0,14.0,15.0,21.0,33.0,17.85,5.54,40,18.0,25.0,26.5,28.0,47.0,27.3,4.64
2014-02-28 20:49:04 +0100,40,11.0,11.0,11.0,12.0,13.0,11.4,0.79,40,14.0,16.5,24.0,27.25,35.0,23.18,5.85,40,21.0,25.0,27.0,28.25,37.0,27.53,3.87
2014-02-28 21:19:03 +0100,40,11.0,11.0,11.0,12.0,14.0,11.38,0.82,40,14.0,16.0,22.0,24.0,31.0,21.23,5.01,40,23.0,26.0,26.0,27.25,33.0,27.05,2.27
2014-02-28 21:49:03 +0100,40,11.0,11.0,11.0,11.0,73.01,14.4,13.44,40,14.0,14.0,16.5,22.25,34.0,18.9,5.59,40,23.0,26.0,27.0,28.75,38.0,28.28,3.78
2014-02-28 22:19:01 +0100,40,9.0,11.0,11.0,12.0,13.0,11.53,0.83,40,14.0,15.0,22.0,24.0,35.0,21.25,5.9,40,23.0,26.0,27.0,31.0,39.0,28.3,3.93
2014-02-28 22:48:58 +0100,40,11.0,11.0,11.0,12.0,14.0,11.5,0.89,40,14.0,15.0,21.5,25.0,35.0,21.13,6.11,40,22.0,26.0,26.0,28.0,42.0,27.45,3.74
2014-02-28 23:18:59 +0100,40,11.0,11.0,11.0,12.0,13.0,11.48,0.8,40,14.0,14.0,21.0,24.25,38.0,20.6,6.54,40,23.0,25.0,26.0,28.0,56.01,28.53,6.57
2014-02-28 23:48:56 +0100,40,11.0,11.0,11.0,11.0,12.0,11.03,0.55,40,14.0,14.0,15.0,21.0,32.0,17.45,4.93,40,22.0,25.0,26.0,28.0,37.0,27.13,3.1
2014-03-01 00:49:09 +0100,40,11.0,12.0,12.0,12.0,13.0,11.95,0.6,40,15.0,25.0,27.0,28.0,44.0,27.03,5.83,40,20.0,27.0,30.5,33.0,49.0,30.55,5.55
2014-03-01 01:30:02 +0100,40,11.0,11.0,11.0,11.25,16.0,11.35,1.01,40,14.0,17.75,18.0,20.25,27.0,19.0,3.56,40,20.0,25.0,27.0,29.0,93.01,29.63,13.09
2014-03-01 01:48:55 +0100,40,11.0,11.0,11.0,12.0,12.0,11.3,0.7,40,14.0,18.75,24.0,27.0,34.0,23.65,5.2,40,26.0,27.75,30.5,33.0,41.0,30.98,4.09
2014-03-01 02:18:49 +0100,40,11.0,12.0,12.0,12.0,20.0,12.38,1.86,40,14.0,15.0,23.0,25.0,33.0,21.35,5.39,40,19.0,27.0,31.0,32.0,36.0,28.6,4.51
2014-03-01 02:49:18 +0100,40,11.0,12.0,12.0,12.0,13.0,11.98,0.58,40,14.0,21.0,24.5,28.5,34.0,24.4,5.66,40,25.0,27.0,32.0,33.5,46.01,32.03,5.06
2014-03-01 03:18:55 +0100,40,9.0,11.0,11.0,12.0,20.0,11.65,1.54,40,14.0,18.0,24.0,25.0,39.0,22.65,5.42,40,24.0,27.0,30.0,37.0,47.01,31.8,6.1
2014-03-01 03:49:12 +0100,40,11.0,11.0,12.0,12.0,13.0,11.8,0.76,40,17.0,26.75,27.0,28.0,36.0,27.38,3.72,40,25.0,33.0,39.0,42.25,51.01,38.18,6.66
2014-03-01 04:18:58 +0100,40,11.0,11.0,11.0,11.0,12.0,11.15,0.64,40,14.0,18.0,24.0,27.25,77.01,25.98,12.31,40,19.0,25.0,26.0,27.25,34.0,26.13,3.65
2014-03-01 04:48:50 +0100,40,11.0,11.0,11.0,12.0,12.0,11.3,0.7,40,13.0,17.0,18.0,20.75,28.0,18.9,3.9,40,20.0,25.75,27.0,32.25,54.01,29.2,6.76
2014-03-01 05:19:13 +0100,40,11.0,11.0,11.0,11.25,21.0,11.68,2.16,40,14.0,25.0,26.5,30.0,39.0,26.65,5.35,40,20.0,29.75,32.0,37.25,49.01,32.78,5.82
2014-03-01 05:49:12 +0100,40,11.0,12.0,12.0,12.0,13.0,12.03,0.62,40,14.0,15.75,17.5,18.25,26.0,17.93,3.14,40,19.0,26.0,29.0,33.25,50.01,30.3,6.28
2014-03-01 06:18:53 +0100,40,9.0,11.0,11.0,11.0,19.0,11.28,1.38,40,14.0,17.0,18.0,25.0,33.0,20.73,5.1,40,20.0,27.0,32.0,34.25,45.01,31.68,5.47
2014-03-01 06:48:48 +0100,40,11.0,12.0,12.0,12.0,13.0,11.98,0.62,40,14.0,18.0,18.0,25.0,31.0,20.58,4.56,40,23.0,27.75,31.5,37.0,48.01,32.28,5.86
2014-03-01 07:19:03 +0100,40,11.0,12.0,12.0,12.0,13.0,12.03,0.62,40,14.0,15.0,17.5,21.25,29.0,18.85,4.63,40,19.0,26.0,27.5,31.0,34.0,28.05,3.47
2014-03-01 07:48:58 +0100,40,11.0,12.0,12.0,12.0,20.0,12.35,1.87,40,15.0,24.0,25.5,28.0,38.0,25.78,4.78,40,21.0,31.75,33.5,41.0,50.01,35.4,6.61
2014-03-01 08:18:55 +0100,40,11.0,11.0,12.0,12.0,24.0,12.13,2.32,40,15.0,17.0,18.0,21.0,31.0,19.88,4.11,40,19.0,26.0,27.0,30.0,40.0,27.6,3.82
2014-03-01 08:48:47 +0100,40,11.0,12.0,12.0,12.0,13.0,11.9,0.64,40,14.0,18.0,25.0,27.25,34.0,23.6,5.05,40,21.0,32.75,36.0,39.0,50.01,36.03,6.6
2014-03-01 09:19:03 +0100,40,9.0,11.0,11.0,11.0,12.0,11.03,0.55,40,14.0,17.0,18.0,23.25,35.0,19.78,4.97,40,19.0,25.0,27.0,30.0,40.0,27.43,4.58
2014-03-01 09:48:58 +0100,40,11.0,12.0,12.0,12.0,13.0,12.0,0.64,40,14.0,15.0,18.0,21.0,27.0,18.5,3.88,40,24.0,27.0,31.0,34.25,40.0,30.98,4.4
2014-03-01 10:18:52 +0100,40,11.0,12.0,12.0,12.0,14.0,12.05,0.75,40,14.0,18.75,23.5,25.0,34.0,22.45,4.44,40,20.0,26.0,27.5,32.0,82.01,31.2,12.38
2014-03-01 10:48:51 +0100,40,11.0,11.0,11.0,12.0,15.0,11.53,1.02,40,14.0,15.0,18.0,25.0,31.0,19.8,5.09,40,20.0,25.0,27.0,30.0,35.0,27.48,3.45
2014-03-01 11:18:48 +0100,40,9.0,11.0,12.0,12.0,20.0,11.83,1.49,40,14.0,17.75,18.0,23.0,27.0,19.65,3.8,40,19.0,25.75,27.0,30.25,40.0,27.58,4.81
2014-03-01 11:49:04 +0100,40,11.0,11.0,11.0,12.0,14.0,11.45,0.86,40,17.0,25.0,27.5,34.0,46.0,28.88,7.22,40,21.0,29.0,32.0,36.25,48.01,32.48,5.24
2014-03-01 12:19:00 +0100,40,9.0,12.0,12.0,12.0,13.0,11.9,0.75,40,14.0,16.0,19.0,24.25,35.0,20.68,5.39,40,20.0,26.0,27.0,28.0,37.0,27.18,3.26
