Time,Small_count,Small_min,Small_q1,Small_median,Small_q3,Small_max,Small_avg,Small_stddev,Large_count,Large_min,Large_q1,Large_median,Large_q3,Large_max,Large_avg,Large_stddev,Big_count,Big_min,Big_q1,Big_median,Big_q3,Big_max,Big_avg,Big_stddev
2014-02-28 16:18:45 +0100,40,11.0,11.0,11.0,12.0,12.0,11.45,0.73,40,13.0,14.0,16.5,19.25,29.0,17.5,4.11,40,16.0,17.0,21.0,25.25,38.0,22.28,6.25
2014-02-28 16:23:45 +0100,40,10.0,11.0,11.0,12.0,19.0,11.5,1.41,40,13.0,14.0,15.0,18.0,30.0,16.48,3.35,40,15.0,17.0,26.0,27.0,41.0,24.08,6.84
2014-02-28 16:48:50 +0100,40,11.0,11.0,11.0,12.0,12.0,11.38,0.72,40,14.0,14.0,16.0,18.0,32.0,17.45,4.38,40,16.0,25.0,26.0,31.0,40.0,26.85,5.13
2014-02-28 17:18:53 +0100,40,11.0,11.0,11.0,11.0,12.0,11.13,0.63,40,13.0,14.0,15.5,20.25,30.0,17.4,4.06,40,16.0,17.75,25.0,27.25,39.0,24.05,6.18
2014-02-28 17:48:56 +0100,40,10.0,11.0,11.0,12.0,18.0,11.5,1.36,40,14.0,15.0,18.0,18.25,31.0,17.73,3.81,40,16.0,18.0,23.0,27.25,34.0,23.8,5.55
2014-02-28 18:18:40 +0100,40,10.0,11.0,11.0,11.0,17.0,11.45,1.32,40,14.0,15.0,18.5,24.0,35.0,20.1,5.88,40,16.0,18.0,25.0,27.0,38.0,24.25,5.74
2014-02-28 18:48:39 +0100,40,11.0,11.0,11.0,12.0,12.0,11.3,0.7,40,13.0,14.0,16.0,18.25,34.0,17.85,5.19,40,16.0,20.75,26.0,31.25,44.01,26.78,7.14
2014-02-28 19:18:57 +0100,40,11.0,11.0,11.0,11.0,13.0,11.2,0.7,40,14.0,14.0,15.0,17.25,30.0,17.03,4.53,40,16.0,20.0,26.0,28.25,32.0,24.58,5.06
2014-02-28 19:48:57 +0100,40,9.0,11.0,11.0,11.0,21.0,11.45,1.76,40,14.0,16.0,22.0,25.25,35.0,21.75,5.92,40,16.0,23.0,26.0,29.0,39.0,25.65,5.4
2014-02-28 20:18:54 +0100,40,11.0,11.0,12.0,12.0,14.0,11.73,0.94,40,14.0,14.0,17.0,22.0,29.0,18.3,4.68,40,16.0,26.0,28.5,32.0,40.0,28.48,4.86
